raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] S. Garfinkel, “Digital forensics research: The next 10 years,” Digital Investigation, vol. 7, pp. S64-S73, 2010. DOI: 10.1016/j.diin.2010.05.009",journal_article,Digital forensics research: The next 10 years,S. Garfinkel,2010,Digital Investigation,7,,S64-S73,10.1016/j.diin.2010.05.009,,,,,,verified,1.0,Digital forensics research: The next 10 years,Simson L. Garfinkel,Digital Investigation,10.1016/j.diin.2010.05.009,https://doi.org/10.1016/j.diin.2010.05.009,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),15.75,0,0,0,0.0,0.0,0.0
"[2] N. Moustafa and J. Slay, “The evaluation of Network Anomaly Detection Systems: Statistical analysis of the UNSW-NB15 data set and the comparison with the KDD99 data set,” Information Security Journal: A Global Perspective, vol. 25, no. 1-3, pp. 18-31, 2016.",journal_article,The evaluation of Network Anomaly Detection Systems: Statistical analysis of the UNSW-NB15 data set and the comparison with the KDD99 data set,N. Moustafa | J. Slay,2016,Information Security Journal: A Global Perspective,25,1-3,18-31,,,,,,,verified,1.0,The evaluation of Network Anomaly Detection Systems: Statistical analysis of the UNSW-NB15 data set and the comparison with the KDD99 data set,Nour Moustafa | Jill Slay,Information Security Journal: A Global Perspective,10.1080/19393555.2015.1125974,https://doi.org/10.1080/19393555.2015.1125974,crossref_title_static,Verified via static CrossRef title search (score: 1.00),16.3,0,0,0,0.0,0.0,0.0
"[3] E. Casey, Digital Evidence and Computer Crime: Forensic Science, Computers, and the Internet, 3rd ed. Academic Press, 2011.",book,"Digital Evidence and Computer Crime: Forensic Science, Computers, and the Internet",E. Casey,2011,,,,,,,,Academic Press,,,verified,1.0,"Digital Evidence and Computer Crime: Forensic Science, Computers, and the Internet",Eoghan Casey,Academic Press,,https://shop.elsevier.com/books/digital-evidence-and-computer-crime/casey/978-0-08-092148-8,web_search,The 3rd edition and 2011 publication year match the publisher’s bibliographic details. No substantive discrepancy was found.,110.65,33080,677,1,0.007428,0.01,0.017428
"[4] K. Kent, S. Chevalier, T. Grance, and H. Dang, “Guide to integrating forensic techniques into incident response,” NIST Special Publication 800-86, 2006.",book,Guide to integrating forensic techniques into incident response,K. Kent | S. Chevalier | T. Grance | H. Dang,2006,,,,,,,,NIST Special Publication 800-86,,,verified,1.0,Guide to Integrating Forensic Techniques into Incident Response,Karen Kent | Suzanne Chevalier | Tim Grance | Hung Dang,NIST Special Publication 800-86,10.6028/NIST.SP.800-86,https://doi.org/10.6028/NIST.SP.800-86,web_search,"The work is a genuine NIST report. The title, authors, venue, and year are consistent with the cited reference.",113.66,35819,932,1,0.008282,0.01,0.018282
"[5] R. Poisel, S. Tjoa, and P. Tavolato, “Towards reproducible forensic investigation process,” in Proc. IEEE Int. Conf. Availability, Reliability and Security (ARES), 2021, pp. 1-9.",conference_paper,Towards reproducible forensic investigation process,R. Poisel | S. Tjoa | P. Tavolato,2021,,,,1-9,,,"Proc. IEEE Int. Conf. Availability, Reliability and Security (ARES)",,,,not_found,0.97,,,,,,web_search,"No primary record was found confirming the cited title, author list, venue, year, or pages “1–9.” No conflicting real article was found occupying those exact coordinates. The evidence supports an unconfirmed citation rather than affirmative proof of fabrication or a demonstrable metadata chimera. No source_url is provided because no visited primary source confirmed the specific cited work.",119.49,47437,1413,3,0.011183,0.03,0.041183
"[6] G. Combs et al., “Wireshark network protocol analyzer,” Available: https://www.wireshark.org, 2023.",web,Wireshark network protocol analyzer,G. Combs,2023,,,,,,,,,https://www.wireshark.org,,verified,0.95,The world's leading network protocol analyzer,,Wireshark official website,,https://www.wireshark.org/,web_search,The cited URL resolves to the official Wireshark project website. No specific publication year or individual author was established.,110.16,25080,752,0,0.005918,0.0,0.005918
"[7] V. Paxson, “Bro: A system for detecting network intruders in real-time,” Computer Networks, vol. 31, no. 23-24, pp. 2435-2463, 1999.",journal_article,Bro: A system for detecting network intruders in real-time,V. Paxson,1999,Computer Networks,31,23-24,2435-2463,,,,,,,verified,1.0,Bro: a system for detecting network intruders in real-time,Vern Paxson,Computer Networks,10.1016/s1389-1286(99)00112-7,https://doi.org/10.1016/s1389-1286(99)00112-7,crossref_title_static,Verified via static CrossRef title search (score: 1.00),17.84,0,0,0,0.0,0.0,0.0
"[8] M. Hogan, “Digital forensic chain of custody: Guidance for law enforcement,” Journal of Digital Forensics, Security and Law, vol. 14, no. 2, pp. 7-24, 2019.",journal_article,Digital forensic chain of custody: Guidance for law enforcement,M. Hogan,2019,"Journal of Digital Forensics, Security and Law",14,2,7-24,,,,,,,hallucination,0.99,Examining the Correlates of Failed DRDoS Attacks,,"Journal of Digital Forensics, Security and Law",10.15394/jdfsl.2019.1605,https://commons.erau.edu/jdfsl/vol14/iss2/2/,web_search,"The title, author, and page information do not correspond to a single real article in the cited journal issue. The citation represents a fabricated or conflated bibliographic identity rather than a minor formatting error.",120.91,40812,1169,1,0.009565,0.01,0.019565
"[9] K. Hausknecht, D. Foit, and J. Buric, “Heterogeneous data integration in digital forensics,” in Proc. IEEE Int. Conf. Software Quality, Reliability and Security Companion (QRS-C), 2017, pp. 129-136.",conference_paper,Heterogeneous data integration in digital forensics,K. Hausknecht | D. Foit | J. Buric,2017,,,,129-136,,,"Proc. IEEE Int. Conf. Software Quality, Reliability and Security Companion (QRS-C)",,,,hallucination,0.98,RAM data significance in digital forensics,,"2015 38th International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)",10.1109/MIPRO.2015.7160488,,web_search,"The cited QRS-C paper could not be matched to a primary bibliographic record, while the same author set was documented for a materially different 2015 MIPRO paper. The report characterizes the citation as fabricated or conflated rather than a minor bibliographic error. The confirming results for the matched work were secondary references rather than a directly visited publisher or DOI landing page.",122.26,50412,1352,2,0.011705,0.02,0.031705
"[10] A. Bouchti, S. Haddad, and A. Abou El Kalam, “Challenges of heterogeneous IoT log normalisation for forensic investigations,” in Proc. IEEE Int. Conf. Internet of Things (iThings), 2022, pp. 1-8.",conference_paper,Challenges of heterogeneous IoT log normalisation for forensic investigations,A. Bouchti | S. Haddad | A. Abou El Kalam,2022,,,,1-8,,,Proc. IEEE Int. Conf. Internet of Things (iThings),,,,not_found,0.98,,,"2022 IEEE International Conferences on Internet of Things (iThings 2022) and IEEE Green Computing & Communications (GreenCom 2022) and IEEE Cyber, Physical & Social Computing (CPSCom 2022) and IEEE Smart Data (SmartData 2022) and IEEE Congress on Cybermatics (Cybermatics)",,,web_search,"The 2022 IEEE iThings conference and its proceedings volume are confirmed, but no primary source was found for the cited title, authors, or pages 1–8. No affirmative conflicting record was found, so this is `not_found` rather than `hallucination`.",119.04,43414,1390,2,0.010351,0.02,0.030351
