raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] W. Busza, K. Rajagopal, and W. van der Schee, Heavy Ion Collisions: The Big Picture, and the Big Questions, Ann. Rev. Nucl. Part. Sci. 68, 339 (2018), arXiv:1802.04801 [hep-ph].",journal_article,"Heavy Ion Collisions: The Big Picture, and the Big Questions",W. Busza | K. Rajagopal | W. van der Schee,2018,Ann. Rev. Nucl. Part. Sci.,68,,339,,,,,,,verified,1.0,Heavy Ion Collisions: The Big Picture and the Big Questions,Wit Busza | Krishna Rajagopal | Wilke van der Schee,Annual Review of Nuclear and Particle Science,10.1146/annurev-nucl-101917-020852,https://doi.org/10.1146/annurev-nucl-101917-020852,crossref_title_static,Verified via static CrossRef title search (score: 1.00),35.9,0,0,0,0.0,0.0,0.0
"[2] S. Borsanyi, Z. Fodor, J. N. Guenther, S. K. Katz, K. K. Szabo, A. Pasztor, I. Portillo, and C. Ratti, Higher order fluctuations and correlations of conserved charges from lattice QCD, JHEP 10, 205, arXiv:1805.04445 [hep-lat].",journal_article,Higher order fluctuations and correlations of conserved charges from lattice QCD,S. Borsanyi | Z. Fodor | J. N. Guenther | S. K. Katz | K. K. Szabo | A. Pasztor | I. Portillo | C. Ratti,,JHEP,10,,205,,,,,,,verified,0.95,Higher order fluctuations and correlations of conserved charges from lattice QCD,Szabolcs Borsanyi | Zoltan Fodor | Jana N. Guenther | Sandor K. Katz | Attila Pasztor | Israel Portillo | Claudia Ratti | K. K. Szabó,Journal of High Energy Physics,10.1007/jhep10(2018)205,https://doi.org/10.1007/jhep10(2018)205,crossref_title_static,Verified via static CrossRef title search (score: 0.95),36.3,0,0,0,0.0,0.0,0.0
"[3] A. Bazavov et al. (HotQCD), Chiral crossover in QCD at zero and non-zero chemical potentials, Phys. Lett. B 795, 15 (2019), arXiv:1812.08235 [hep-lat].",journal_article,Chiral crossover in QCD at zero and non-zero chemical potentials,A. Bazavov | HotQCD,2019,Phys. Lett. B,795,,15,,,,,,,verified,0.99,Chiral crossover in QCD at zero and non-zero chemical potentials,A. Bazavov | H.-T. Ding | P. Hegde | O. Kaczmarek | F. Karsch | N. Karthik | E. Laermann | Anirban Lahiri | R. Larsen | S.-T. Li | Swagato Mukherjee | H. Ohno | P. Petreczky | H. Sandmeyer | C. Schmidt | S. Sharma | P. Steinbrecher,Physics Letters B,10.1016/j.physletb.2019.05.013,https://doi.org/10.1016/j.physletb.2019.05.013,crossref_title_static,Verified via static CrossRef title search (score: 0.99),36.58,0,0,0,0.0,0.0,0.0
"[4] A. Andronic, P. Braun-Munzinger, K. Redlich, J. Stachel, et al., Decoding the phase structure of QCD via particle production at high energy, Nature 561, 321 (2018), arXiv:1710.09425 [nucl-th].",journal_article,Decoding the phase structure of QCD via particle production at high energy,A. Andronic | P. Braun-Munzinger | K. Redlich | J. Stachel,2018,Nature,561,,321,,,,,,,verified,1.0,Decoding the phase structure of QCD via particle production at high energy,Anton Andronic | Peter Braun-Munzinger | Krzysztof Redlich | Johanna Stachel,Nature,10.1038/s41586-018-0491-6,https://doi.org/10.1038/s41586-018-0491-6,crossref_title_static,Verified via static CrossRef title search (score: 1.00),36.96,0,0,0,0.0,0.0,0.0
"[5] J. Adam et al. (ALICE), Direct photon production in Pb-Pb collisions at √sNN = 2.76 TeV, Phys. Lett. B 754, 235 (2016), arXiv:1509.07324 [nucl-ex].",journal_article,Direct photon production in Pb-Pb collisions at √sNN = 2.76 TeV,J. Adam | ALICE,2016,Phys. Lett. B,754,,235,,,,,,,verified,1.0,Direct photon production in Pb-Pb collisions at \(\sqrt{s_\mathrm{NN}}\) = 2.76 TeV,ALICE Collaboration,Phys. Lett. B,10.1016/j.physletb.2016.01.020,https://arxiv.org/abs/1509.07324,web_search,"The cited title matches the arXiv record’s title, differing only in mathematical formatting and dash typography. The primary record gives the journal reference as Phys. Lett. B 754 (2016) 235–248, matching the cited journal, volume, year, and starting page 235. The arXiv record attributes the work to the ALICE Collaboration. The citation’s “J. Adam et al. (ALICE)” is consistent with the collaboration author convention and intentionally truncates the full author list with “et al.” The arXiv record links the published article to DOI 10.1016/j.physletb.2016.01.020.",144.86,33178,1030,1,0.007872,0.01,0.017872
"[6] G. David, Direct real photons in relativistic heavy ion collisions, Rept. Prog. Phys. 83, 046301 (2020), arXiv:1907.08893 [nucl-ex].",journal_article,Direct real photons in relativistic heavy ion collisions,G. David,2020,Rept. Prog. Phys.,83,,46301,,,,,,,verified,1.0,Direct real photons in relativistic heavy ion collisions,Gabor David,Reports on Progress in Physics,10.1088/1361-6633/ab6f57,https://doi.org/10.1088/1361-6633/ab6f57,crossref_title_static,Verified via static CrossRef title search (score: 1.00),37.74,0,0,0,0.0,0.0,0.0
"[7] A. Mazeliauskas and V. Vislavicius, Temperature and fluid velocity on the freeze-out surface from π, K, p spectra in pp, p-Pb and Pb-Pb collisions, Phys. Rev. C 101, 014910 (2020), arXiv:1907.11059 [hep-ph].",journal_article,"Temperature and fluid velocity on the freeze-out surface from π, K, p spectra in pp, p-Pb and Pb-Pb collisions",A. Mazeliauskas | V. Vislavicius,2020,Phys. Rev. C,101,,14910,,,,,,,verified,0.983177570093458,"Temperature and fluid velocity on the freeze-out surface from π, K, and p spectra in p p, p -Pb, and Pb-Pb collisions",Aleksas Mazeliauskas | Vytautas Vislavicius,Physical Review C,10.1103/physrevc.101.014910,https://doi.org/10.1103/physrevc.101.014910,crossref_title_static,Verified via static CrossRef title search (score: 0.98),37.93,0,0,0,0.0,0.0,0.0
"[8] M. M. Aggarwal et al. (WA98), Observation of direct photons in central 158-A-GeV Pb-208 + Pb-208 collisions, Phys. Rev. Lett. 85, 3595 (2000), arXiv:nucl-ex/0006008.",journal_article,Observation of direct photons in central 158-A-GeV Pb-208 + Pb-208 collisions,M. M. Aggarwal | WA98,2000,Phys. Rev. Lett.,85,,3595,,,,,,,verified,1.0,Observation of Direct Photons in Central 158 A GeV 208Pb+208Pb Collisions,,Physical Review Letters,10.1103/PhysRevLett.85.3595,https://arxiv.org/abs/nucl-ex/0006008,web_search,The upstream report did not establish a complete matched author list or a standalone matched year field.,125.38,33085,911,1,0.00771,0.01,0.01771
"[9] R. Albrecht et al. (WA80), Production of π0, η and direct photons in O+Au collisions at 200A GeV, Phys. Rev. C 44, 2736 (1991).",journal_article,"Production of π0, η and direct photons in O+Au collisions at 200A GeV",R. Albrecht | WA80,1991,Phys. Rev. C,44,,2736,,,,,,,hallucination,1.0,Distributions of transverse energy and forward energy in \(^{16}O\) and induced \(^{32}S\) heavy ion collisions at 60A and 200A GeV,,Physical review / C,10.1103/PhysRevC.44.2736,https://repository.gsi.de/record/51510,web_search,"The citation appears to be a metadata chimera: the real Physical Review C 44, 2736 article and its authors/coordinates were paired with an unrelated title.",146.89,57793,1710,5,0.013611,0.05,0.063611
"[10] A. Adare et al. (PHENIX), Enhanced production of direct photons in Au+Au collisions at √sNN = 200 GeV and implications for the initial temperature, Phys. Rev. Lett. 104, 132301 (2010), arXiv:0804.4168 [nucl-ex].",journal_article,Enhanced production of direct photons in Au+Au collisions at √sNN = 200 GeV and implications for the initial temperature,A. Adare | PHENIX,2010,Phys. Rev. Lett.,104,,132301,,,,,,,verified,0.99,Enhanced production of direct photons in Au+Au collisions at √sNN=200 GeV and implications for the initial temperature,The PHENIX Collaboration | A. Adare,Physical Review Letters,10.1103/PhysRevLett.104.132301,https://arxiv.org/abs/0804.4168,web_search,"arXiv:0804.4168 resolves to the same work. The title, PHENIX collaboration, journal coordinates, year, article number, and arXiv identifier all identify the same publication.",150.99,48094,1122,3,0.010965,0.03,0.040965
