raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"1. Boerma T, Mathers CD. The World Health Organization and global health estimates: improving collaboration and capacity. BMC Med. 2015;13:50.",journal_article,The World Health Organization and global health estimates: improving collaboration and capacity,Boerma T; Mathers CD,2015,BMC Medicine,13,,50,,129-1-601-50286-7,,,,,verified,1.0,The World Health Organization and global health estimates: improving collaboration and capacity,Ties Boerma | Colin D Mathers,BMC Medicine,10.1186/s12916-015-0286-7,https://link.springer.com/article/10.1186/s12916-015-0286-7,web_search,The publisher record confirms the DOI and cited volume/article-number coordinates. The ISBN appearing in the structured input is not part of the raw citation and does not affect verification.,171.19,33248,920,1,0.007754,0.01,0.017754
"2. Casey BJ, Jones RM. Neurobiology of the adolescent brain and behavior: implications for substance use disorders. J Am Acad Child Adolesc Psychiatry. 2010;49(12):1189-201.",journal_article,Neurobiology of the adolescent brain and behavior: implications for substance use disorders,Casey BJ; Jones RM,2010,Journal of the American Academy of Child & Adolescent Psychiatry,49,12,1189-201,,,,,,,verified,1.0,Neurobiology of the adolescent brain and behavior: implications for substance use disorders,B. J. Casey | Rebecca M. Jones,Journal of the American Academy of Child & Adolescent Psychiatry,10.1016/j.jaac.2010.08.017,https://pubmed.ncbi.nlm.nih.gov/21093769/,web_search,"The cited abbreviated page range “1189-201” corresponds to pages 1189–1201. No DOI was included in the citation, so no DOI error was identified.",177.75,32976,1022,2,0.007822,0.02,0.027822
"3. Qu Y, Pomerantz EM, Deng C. Mothers' goals for adolescents in the United States and China: Content and transmission. J Res Adolesc. 2016;26(1):126-41.",journal_article,Mothers' goals for adolescents in the United States and China: Content and transmission,Qu Y; Pomerantz EM; Deng C,2016,Journal of Research on Adolescence,26,1,126-41,,,,,,,verified,1.0,Mothers' Goals for Adolescents in the United States and China: Content and Transmission,Yang Qu | Eva M. Pomerantz | Ciping Deng,Journal of Research on Adolescence,10.1111/jora.12176,https://experts.illinois.edu/en/publications/mothers-goals-for-adolescents-in-the-united-states-and-china-cont/,web_search,"The title, authors, journal, year, volume, issue, and pages identify the same article. The DOI was present on the record but omitted from the citation; this omission is optional and not an error.",167.05,29663,852,1,0.006955,0.01,0.016955
"4. Bhagavathi P, Vitone T. Analysis of adolescent barriers in seeking help for mental health issues. J Stud Res. 2022;11(3).",journal_article,Analysis of adolescent barriers in seeking help for mental health issues,Bhagavathi P; Vitone T,2022,Journal of Student Research,11,3,,,,,,,,verified,1.0,Analysis of Adolescent Barriers in Seeking Help for Mental Health Issues,Prisha Bhagavathi | Tyler Vitone,Journal of Student Research,10.47611/jsrhs.v11i3.2670,,web_search,"The title, authors, journal, volume, issue, and year identify the same work. The citation omits the DOI, but omission of an optional DOI is not an error.",169.64,34484,869,1,0.00794,0.01,0.01794
"5. Robbins DR, Alessi NE. Depressive symptoms and suicidal behavior in adolescents. In: 1986 Annual Progress In Child Psychiatry. Routledge; 1991. pp. 492-502.",book_chapter,Depressive symptoms and suicidal behavior in adolescents,Robbins DR; Alessi NE,1991,,,,492-502,,,1986 Annual Progress In Child Psychiatry,Routledge,,,verified,0.98,Depressive Symptoms and Suicidal Behavior,D. R. Robbins | N. E. Alessi,"Annual Progress in Child Psychiatry and Child Development, 1986",,,web_search,"The cited 1991 year corresponds to the book edition, while the underlying journal article was published in 1985. The chapter’s appearance in the annual-progress volume is supported by the book record and page 492 listing; this is consistent with a reprinted or reproduced work.",193.63,40636,1467,2,0.009888,0.02,0.029888
"6. Wilcox HC, Arria AM, Caldeira KM, Vincent KB, Pinchevsky GM, O'Grady KE. Prevalence and predictors of persistent suicide ideation, plans, and attempts during college. J Affect Disord. 2010;127(1-3):287-94.",journal_article,"Prevalence and predictors of persistent suicide ideation, plans, and attempts during college",Wilcox HC; Arria AM; Caldeira KM; Vincent KB; Pinchevsky GM; O'Grady KE,2010,Journal of Affective Disorders,127,1-3,287-94,,,,,,,verified,1.0,"Prevalence and predictors of persistent suicide ideation, plans, and attempts during college",Holly C. Wilcox | Amelia M. Arria | Kimberly M. Caldeira | Kathryn B. Vincent | Gillian M. Pinchevsky | Kevin E. O’Grady,Journal of Affective Disorders,10.1016/j.jad.2010.04.017,https://pubmed.ncbi.nlm.nih.gov/20471691,web_search,All substantive bibliographic fields match; the work is not a chimera or fabrication. DOI omission from the citation is not an error.,172.4,26928,863,1,0.006421,0.01,0.016421
"7. Wang Z, Zhang L, Liu X, Li Y. Risk and protective factors of suicidal tendencies among freshmen in China revealed by a hierarchical regression model. Eur Child Adolesc Psychiatry. 2024;33(9):3043-53.",journal_article,Risk and protective factors of suicidal tendencies among freshmen in China revealed by a hierarchical regression model,Wang Z; Zhang L; Liu X; Li Y,2024,European Child & Adolescent Psychiatry,33,9,3043-53,,,,,,,hallucination,1.0,Risk and protective factors of suicidal tendencies among freshmen in China revealed by a hierarchical regression model,Zhongrui Wang | Xiyu Li | Haiyu Xu | Tao Zhang,European Child & Adolescent Psychiatry,10.1007/s00787-024-02370-5,https://link.springer.com/article/10.1007/s00787-024-02370-5,web_search,"The bibliographic shell is real, but the cited author list is substantially wrong; therefore this is a metadata chimera rather than a verified citation. The upstream report also established volume 33, issue 9, and pages 3043–3053, but those fields are not part of the requested schema.",173.03,36909,1111,1,0.008715,0.01,0.018715
"8. Ray JV, Poythress NG, Weir JM, Rickelm A. Relationships between psychopathy and impulsivity in the domain of self-reported personality features. Pers Individ Differ. 2009;46(2):83-7.",journal_article,Relationships between psychopathy and impulsivity in the domain of self-reported personality features,Ray JV; Poythress NG; Weir JM; Rickelm A,2009,Personality and Individual Differences,46,2,83-7,,,,,,,verified,1.0,Relationships Between Psychopathy and Impulsivity in the Domain of Self-Reported Personality Features,James Ray | Norman Poythress | John M. Weir | Angela Rickelm,Personality and Individual Differences,10.1016/j.paid.2008.09.005,https://digitalcommons.usf.edu/mhlp_facpub/62/,web_search,The institutional record confirms the cited work. The DOI was present on the record but omitted from the citation; this omission is not an error.,171.14,28342,874,1,0.006717,0.01,0.016717
"9. Cheung VHM, Chan CY, Au RKC. The influence of resilience and coping strategies on suicidal ideation among Chinese undergraduate freshmen in Hong Kong. Asia-Pac Psychiatry. 2019;11(2):e12339.",journal_article,The influence of resilience and coping strategies on suicidal ideation among Chinese undergraduate freshmen in Hong Kong,Cheung VHM; Chan CY; Au RKC,2019,Asia-Pacific Psychiatry,11,2,e12339,,,,,,,verified,1.0,The influence of resilience and coping strategies on suicidal ideation among Chinese undergraduate freshmen in Hong Kong,Vanessa H. M. Cheung | Chui Yi Chan | Ricky K. C. Au,Asia-Pacific Psychiatry,10.1111/appy.12339,https://onlinelibrary.wiley.com/doi/10.1111/appy.12339,web_search,All substantive bibliographic fields match; the citation merely omits the DOI.,174.88,30792,950,1,0.007298,0.01,0.017298
"10. Jacobucci R, Littlefield AK, Millner AJ, Kleiman E, Steinley D. Pairing machine learning and clinical psychology: how you evaluate predictive performance matters. PsyArXiv. 2020. https://doi.org/10.31234/osf.io/2yber",working_paper,Pairing machine learning and clinical psychology: how you evaluate predictive performance matters,Jacobucci R; Littlefield AK; Millner AJ; Kleiman E; Steinley D,2020,PsyArXiv,,,,10.31234/osf.io/2yber,,,,,,verified,0.9536231884057972,Pairing Machine Learning and Clinical Psychology: How You Evaluate Predictive Performance Matters,Ross Jacobucci | Andrew K. Littlefield | Alex J. Millner | Evan Kleiman | Douglas Steinley,,10.31234/osf.io/2yber,https://doi.org/10.31234/osf.io/2yber,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 0.95),31.78,0,0,0,0.0,0.0,0.0
"11. Vally Z, Helmy M. The prevalence of suicidal behaviour and its associated risk factors among school-going adolescents resident in the United Arab Emirates. Sci Rep.",journal_article,The prevalence of suicidal behaviour and its associated risk factors among school-going adolescents resident in the United Arab Emirates,Vally Z; Helmy M,,Scientific Reports,,,,,,,,,,verified,1.0,The prevalence of suicidal behaviour and its associated risk factors among school-going adolescents resident in the United Arab Emirates,Zahir Vally | Mai Helmy,Sci Rep.,10.1038/s41598-023-47305-3,https://pubmed.ncbi.nlm.nih.gov/37968503/,web_search,"The title, authors, and journal identify the same work. Omitted DOI, publication date, volume, issue, and article number are not citation errors because the journal and identifying title/authors are present.",179.39,31033,1166,1,0.007606,0.01,0.017606
"12. Yan J, Liu Y, Yu J, Liao L, Wang H. Establishment and validation of a nomogram for suicidality in Chinese secondary school students. J Affect Disord. 2023;330:148-57.",journal_article,Establishment and validation of a nomogram for suicidality in Chinese secondary school students,Yan J; Liu Y; Yu J; Liao L; Wang H,2023,J Affect Disord,,,148-57,,,,,,,verified,1.0,Establishment and validation of a nomogram for suicidality in Chinese secondary school students,Jie Yan | Yang Liu | Junjie Yu | Lipin Liao | Hong Wang,Journal of Affective Disorders,10.1016/j.jad.2023.02.062,https://pubmed.ncbi.nlm.nih.gov/36801419/,web_search,"The title, authors, journal, year, volume, and starting page identify the same article. The abbreviated page range “148-57” is equivalent to 148–157.",182.55,38619,1310,4,0.009296,0.04,0.049296
"13. Lee J, Choi H, Kim MJ, Park CG. Anger as a predictor of suicidal ideation in middle￾school students in Korea: gender difference in threshold point. Adolescence. 2009;44(174).",journal_article,Anger as a predictor of suicidal ideation in middle￾school students in Korea: gender difference in threshold point,Lee J; Choi H; Kim MJ; Park CG,2009,Adolescence,44,174,,,,,,,,minor_error,1.0,Anger as a predictor of suicidal ideation in middle-school students in Korea: Gender difference in threshold point,Jongeun Lee | Heeseung Choi | Mi Ja Kim | Chang Gi Park | Dong Soo Shin,Adolescence,,https://snu.elsevierpure.com/en/publications/anger-as-a-predictor-of-suicidal-ideation-in-middle-school-studen/,web_search,"The title, journal, year, volume, and issue identify the same article. The concrete error is omission of the fifth author, Dong Soo Shin. The primary record gives volume/issue/pages 44(174):433–446.",181.48,34075,1133,1,0.008175,0.01,0.018175
"14. Lew B, Huen J, Yu P, Yuan L, Wang DF, Ping F, et al. Meaning in life as a protective factor against suicidal tendency in Chinese University students. BMC Psychiatry. 2020;20(1):73.",journal_article,Meaning in life as a protective factor against suicidal tendency in Chinese University students,Lew B; Huen J; Yu P; Yuan L; Wang DF; Ping F,2020,BMC Psychiatry,20,1,73,,,,,,,hallucination,0.99,Meaning in life as a protective factor against suicidal tendencies in Chinese University students,Bob Lew | Ksenia Chistopolskaya | Augustine Osman | Jenny Mei Yiu Huen | Mansor Abu Talib | Angel Nga Man Leung,BMC Psychiatry,10.1186/s12888-020-02485-4,https://link.springer.com/article/10.1186/s12888-020-02485-4,web_search,"The citation combines the real article’s title, journal, year, volume, and article number with a substantially incorrect author list, making it a metadata chimera rather than a minor citation error.",174.94,39688,1123,1,0.009285,0.01,0.019285
"15. Kroenke K, Spitzer RL, Williams JBW. The PHQ-9: validity of a brief depression severity measure. J Gen Intern Med. 2001;16(9):606-13.",journal_article,The PHQ-9: validity of a brief depression severity measure,Kroenke K; Spitzer RL; Williams JBW,2001,J Gen Intern Med,16,9,606-13,,,,,,,verified,1.0,The PHQ-9: validity of a brief depression severity measure,K. Kroenke | R. L. Spitzer | J. B. Williams,Journal of General Internal Medicine,10.1046/j.1525-1497.2001.016009606.x,https://pubmed.ncbi.nlm.nih.gov/11556941/?utm_source=openai,web_search,"The cited title, authors, venue, year, and pages match the primary PubMed record. The abbreviated page range “606-13” correctly represents pages 606–613, and omission of the DOI is not an error.",176.34,32887,919,2,0.00768,0.02,0.02768
16. World Health Organization. Global recommendations on physical activity for health. World Health Organization; 2010. https://apps.who.int/iris/handle/10665/44399,web,Global recommendations on physical activity for health,World Health Organization,2010,,,,,,9-789-24159-9,,World Health Organization,https://apps.who.int/iris/handle/10665/44399,,minor_error,0.98,Global Recommendations on Physical Activity for Health,World Health Organization,World Health Organization,,https://iris.who.int/bitstream/handle/10665/44399/9789241599979_eng.pdf%2CGlobal?sequence=1,web_search,"The supplied apps.who.int/iris/handle/10665/44399 URL was not reachable during verification, although the cited WHO publication is confirmed at the current WHO repository location. The apparent ISBN transcription error was not present in the supplied raw_text and was therefore not counted as a citation error.",189.49,30720,1177,1,0.007556,0.01,0.017556
"17. Zheng R, Wang H, Li W, Xing Y. The prevalence of bullying behavior among primary and secondary school students in a northern Chinese city. Chin Sch Health. 2018;39(1):76 -80.",journal_article,The prevalence of bullying behavior among primary and secondary school students in a northern Chinese city,Zheng R; Wang H; Li W; Xing Y,2018,Chin Sch Health,39,1,76-80,,,,,,,verified,0.98,北方某城市中小学生欺凌行为流行现状,Zheng R | Wang H W | Li W M | et al.,Chinese Journal of School Health,10.16835/j.cnki.1000-9817.2018.01.022,,web_search,"The title, journal, year, volume, issue, pages, and author group identify the same underlying article. No source_url is supplied because a directly opened publisher page for this specific article was not successfully retrieved, although the journal DOI and full bibliographic coordinates were independently corroborated.",185.38,66184,1882,5,0.015495,0.05,0.065495
"18. Sheehan DV, Lecrubier Y, Sheehan KH, Amorim P, Janavs J, Weiller E, et al. The Mini￾International Neuropsychiatric Interview (M.I.N.I.): the development and validation of a structured diagnostic psychiatric interview for DSM-IV and ICD-10. J Clin Psychiatry. 1998;59(Suppl 20):22-33.",journal_article,The Mini￾International Neuropsychiatric Interview (M.I.N.I.): the development and validation of a structured diagnostic psychiatric interview for DSM-IV and ICD-10,Sheehan DV; Lecrubier Y; Sheehan KH; Amorim P; Janavs J; Weiller E,1998,J Clin Psychiatry,59,Suppl 20,22-33,,,,,,,minor_error,0.99,The Mini-International Neuropsychiatric Interview (M.I.N.I.): The Development and Validation of a Structured Diagnostic Psychiatric Interview for DSM-IV and ICD-10,,The Journal of Clinical Psychiatry,,https://www.psychiatrist.com/jcp/mini-international-neuropsychiatric-interview-mini/,web_search,"The publisher’s article page confirms the title, complete author list, date, and bibliographic coordinates. The concrete error is that the author order is incorrect, with Weiller and K. Harnett Sheehan transposed.",177.26,31255,1118,1,0.007593,0.01,0.017593
"19. Lundberg SM, Lee SI. A unified approach to interpreting model predictions. Adv Neural Inf Process Syst. 2017;30.",conference_paper,A unified approach to interpreting model predictions,Lundberg SM; Lee SI,2017,Adv Neural Inf Process Syst,30,,,,,,,,,verified,1.0,A Unified Approach to Interpreting Model Predictions,Scott M. Lundberg | Su-In Lee,Advances in Neural Information Processing Systems 30 (NIPS 2017),,https://papers.neurips.cc/paper_files/paper/2017/hash/8a20a8621978632d76c43dfd28b67767-Abstract.html,web_search,The citation accurately identifies the specific conference paper. The omitted page range is an acceptable incomplete bibliographic detail and does not constitute an error.,176.61,32152,731,1,0.007308,0.01,0.017308
