raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] Lorenz Kuhn, Yarin Gal, and Sebastian Farquhar. Semantic uncertainty: Linguistic invariances for uncertainty estimation in natural language generation. In International Conference on Learning Representations, 2023.",conference_paper,Semantic uncertainty: Linguistic invariances for uncertainty estimation in natural language generation,Lorenz Kuhn | Yarin Gal | Sebastian Farquhar,2023,International Conference on Learning Representations,,,,,,,,,,verified,0.99,Semantic Uncertainty: Linguistic Invariances for Uncertainty Estimation in Natural Language Generation,Lorenz Kuhn | Yarin Gal | Sebastian Farquhar,ICLR 2023,,https://arxiv.org/abs/2302.09664,arXiv; official ICLR 2023 paper list,"Verified. The work exists with the cited title, authors, and 2023 ICLR venue. The capitalization difference in the raw citation is cosmetic only. The primary arXiv record identifies the work as submitted/published in 2023, and the official ICLR 2023 list confirms its conference presentation.",66.43,33661,708,1,0.007582,0.01,0.017582
"[2] Yasin Abbasi Yadkori, Ilja Kuzborskij, András György, and Csaba Szepesvari. To believe or not to believe your llm: Iterative prompting for estimating epistemic uncertainty. Advances in Neural Information Processing Systems, 37:58077-58117, 2024.",journal_article,To believe or not to believe your llm: Iterative prompting for estimating epistemic uncertainty,Yasin Abbasi Yadkori | Ilja Kuzborskij | András György | Csaba Szepesvari,2024,Advances in Neural Information Processing Systems,37,,58077-58117,,,,,,,verified,1.0,To Believe or Not to Believe Your LLM: Iterative Prompting for Estimating Epistemic Uncertainty,Yasin Yadkori | Ilja Kuzborskij | András György | Csaba Szepesvári,Advances in Neural Information Processing Systems 37,10.52202/079017-1852,https://doi.org/10.52202/079017-1852,crossref_title_static,Verified via static CrossRef title search (score: 1.00),1.19,0,0,0,0.0,0.0,0.0
"[3] Ari Holtzman, Jan Buys, Li Du, Maxwell Forbes, and Yejin Choi. The curious case of neural text degeneration. International Conference on Learning Representations, 2020.",conference_paper,The curious case of neural text degeneration,Ari Holtzman | Jan Buys | Li Du | Maxwell Forbes | Yejin Choi,2020,International Conference on Learning Representations,,,,,,,,,,verified,0.99,The Curious Case of Neural Text Degeneration,Ari Holtzman | Jan Buys | Li Du | Maxwell Forbes | Yejin Choi,International Conference on Learning Representations,,https://arxiv.org/abs/1904.09751,arXiv and official ICLR listing,"The citation is verified. The arXiv version was first posted in 2019, while the cited conference publication is ICLR 2020; this is normal preprint-to-conference publication chronology and is not an error. The cited title and complete author list match the primary records. ([arxiv.org](https://arxiv.org/abs/1904.09751))",65.04,29131,520,1,0.003142,0.01,0.013142
"[4] Lukas Aichberger, Kajetan Schweighofer, Mykyta Ielanskyi, and Sepp Hochreiter. Improving uncertainty estimation through semantically diverse language generation. In The Thirteenth International Conference on Learning Representations, 2025.",conference_paper,Improving uncertainty estimation through semantically diverse language generation,Lukas Aichberger | Kajetan Schweighofer | Mykyta Ielanskyi | Sepp Hochreiter,2025,The Thirteenth International Conference on Learning Representations,,,,,,,,,,verified,0.99,Improving Uncertainty Estimation through Semantically Diverse Language Generation,Lukas Aichberger | Kajetan Schweighofer | Mykyta Ielanskyi | Sepp Hochreiter,International Conference on Learning Representations 2025 (ICLR 2025),,https://proceedings.iclr.cc/paper_files/paper/2025/hash/b94d8b035e2183e47afef9e2f299ba47-Abstract-Conference.html,Official ICLR 2025 proceedings page and paper PDF,"The work exists exactly as cited for practical bibliographic purposes. The title capitalization and expanded conference name are cosmetic differences only. The official proceedings page confirms the title, all four authors, and ICLR 2025 venue.",67.97,29122,681,1,0.003334,0.01,0.013334
"[5] Jacob Austin, Daniel D Johnson, Jonathan Ho, Daniel Tarlow, and Rianne Van Den Berg. Structured denoising diffusion models in discrete state-spaces. Advances in neural information processing systems, 34:17981-17993, 2021.",journal_article,Structured denoising diffusion models in discrete state-spaces,Jacob Austin | Daniel D Johnson | Jonathan Ho | Daniel Tarlow | Rianne Van Den Berg,2021,Advances in neural information processing systems,34,,17981-17993,,,,,,,verified,0.99,Structured Denoising Diffusion Models in Discrete State-Spaces,Jacob Austin | Daniel D. Johnson | Jonathan Ho | Daniel Tarlow | Rianne van den Berg,Advances in Neural Information Processing Systems 34 (NeurIPS 2021),,https://proceedings.neurips.cc/paper/2021/hash/958c530554f78bcd8e97125b70e6973d-Abstract.html,NeurIPS official proceedings page and paper PDF,"The citation is verified. The official NeurIPS record confirms the same title, complete author list, venue, and 2021 publication year. Search results also identify the cited page range as 17981–17993. Capitalization and “Daniel D” versus “Daniel D.” are cosmetic differences only.",67.6,29022,724,1,0.003365,0.01,0.013365
"[6] Aaron Lou, Chenlin Meng, and Stefano Ermon. Discrete diffusion modeling by estimating the ratios of the data distribution. In Proceedings of the 41st International Conference on Machine Learning, 2024.",conference_paper,Discrete diffusion modeling by estimating the ratios of the data distribution,Aaron Lou | Chenlin Meng | Stefano Ermon,2024,Proceedings of the 41st International Conference on Machine Learning,,,,,,,,,,verified,0.99,Discrete Diffusion Modeling by Estimating the Ratios of the Data Distribution,Aaron Lou | Chenlin Meng | Stefano Ermon,Proceedings of the 41st International Conference on Machine Learning,,https://proceedings.mlr.press/v235/lou24a.html,Proceedings of Machine Learning Research (official publisher/proceedings page),"Verified against the official PMLR record, which lists the work as: Proceedings of the 41st International Conference on Machine Learning, PMLR 235:32819–32848, 2024. The citation omits optional volume and page information but is otherwise accurate. The official record also confirms the author list and title. ([proceedings.mlr.press](https://proceedings.mlr.press/v235/lou24a.html))",65.98,27727,581,1,0.002935,0.01,0.012935
"[7] Jiaxin Shi, Kehang Han, Zhe Wang, Arnaud Doucet, and Michalis Titsias. Simplified and generalized masked diffusion for discrete data. Advances in Neural Information Processing Systems, 37:103131-103167, 2024.",journal_article,Simplified and generalized masked diffusion for discrete data,Jiaxin Shi | Kehang Han | Zhe Wang | Arnaud Doucet | Michalis Titsias,2024,Advances in Neural Information Processing Systems,37,,103131-103167,,,,,,,verified,1.0,Simplified and Generalized Masked Diffusion for Discrete Data,Jiaxin Shi | Kehang Han | Zhe Wang | Arnaud Doucet | Michalis Titsias,Advances in Neural Information Processing Systems 37,10.52202/079017-3277,https://doi.org/10.52202/079017-3277,crossref_title_static,Verified via static CrossRef title search (score: 1.00),1.8,0,0,0,0.0,0.0,0.0
"[8] Subham Sahoo, Marianne Arriola, Yair Schiff, Aaron Gokaslan, Edgar Marroquin, Justin Chiu, Alexander Rush, and Volodymyr Kuleshov. Simple and effective masked diffusion language models. Advances in Neural Information Processing Systems, 37: 130136-130184, 2024.",journal_article,Simple and effective masked diffusion language models,Subham Sahoo | Marianne Arriola | Yair Schiff | Aaron Gokaslan | Edgar Marroquin | Justin Chiu | Alexander Rush | Volodymyr Kuleshov,2024,Advances in Neural Information Processing Systems,37,,130136-130184,,,,,,,verified,1.0,Simple and Effective Masked Diffusion Language Models,Subham Sahoo | Marianne Arriola | Yair Schiff | Aaron Gokaslan | Edgar Marroquin | Justin Chiu | Alexander Rush | Volodymyr Kuleshov,Advances in Neural Information Processing Systems 37,10.52202/079017-4135,https://doi.org/10.52202/079017-4135,crossref_title_static,Verified via static CrossRef title search (score: 1.00),2.43,0,0,0,0.0,0.0,0.0
"[9] Jingyang Ou, Shen Nie, Kaiwen Xue, Fengqi Zhu, Jiacheng Sun, Zhenguo Li, and Chongxuan Li. Your absorbing discrete diffusion secretly models the conditional distributions of clean data. arXiv preprint arXiv:2406.03736, 2024.",working_paper,Your absorbing discrete diffusion secretly models the conditional distributions of clean data,Jingyang Ou | Shen Nie | Kaiwen Xue | Fengqi Zhu | Jiacheng Sun | Zhenguo Li | Chongxuan Li,2024,arXiv,,2406.03736,,,,,,,,verified,0.95,Your Absorbing Discrete Diffusion Secretly Models the Conditional Distributions of Clean Data,Jingyang Ou | Shen Nie | Kaiwen Xue | Fengqi Zhu | Jiacheng Sun | Zhenguo Li | Chongxuan Li,arXiv,10.48550/arXiv.2406.03736,https://arxiv.org/abs/2406.03736,arxiv_static,Verified via arXiv id 2406.03736.,56.61,0,0,0,0.0,0.0,0.0
"[10] Shen Nie, Fengqi Zhu, Zebin You, Xiaolu Zhang, Jingyang Ou, Jun Hu, JUN ZHOU, Yankai Lin, Ji-Rong Wen, and Chongxuan Li. Large language diffusion models. In The Thirty-ninth Annual Conference on Neural Information Processing Systems, 2025. URL https://openreview.net/forum?id=KnqiC0znVF.",conference_paper,Large language diffusion models,Shen Nie | Fengqi Zhu | Zebin You | Xiaolu Zhang | Jingyang Ou | Jun Hu | JUN ZHOU | Yankai Lin | Ji-Rong Wen | Chongxuan Li,2025,,,,,,,The Thirty-ninth Annual Conference on Neural Information Processing Systems,,https://openreview.net/forum?id=KnqiC0znVF,,verified,1.0,Large Language Diffusion Models,Shen Nie | Fengqi Zhu | Zebin You | Xiaolu Zhang | Jingyang Ou | Jun Hu | Jun Zhou | Yankai Lin | Ji-Rong Wen | Chongxuan LI,Advances in Neural Information Processing Systems 38,10.52202/085713-1689,https://doi.org/10.52202/085713-1689,crossref_title_static,Verified via static CrossRef title search (score: 1.00),3.55,0,0,0,0.0,0.0,0.0
"[11] Kajetan Schweighofer, Lukas Aichberger, Mykyta Ielanskyi, and Sepp Hochreiter. On information-theoretic measures of predictive uncertainty. In Silvia Chiappa and Sara Magliacane (eds.), Proceedings of the Forty-first Conference on Uncertainty in Artificial Intelligence, volume 286 of Proceedings of Machine Learning Research, pp. 3605-3640. PMLR, 21-25 Jul 2025. URL https://proceedings.mlr.press/v286/ schweighofer25a.html.",conference_paper,On information-theoretic measures of predictive uncertainty,Kajetan Schweighofer | Lukas Aichberger | Mykyta Ielanskyi | Sepp Hochreiter,2025,,286,,3605-3640,,,Proceedings of the Forty-first Conference on Uncertainty in Artificial Intelligence,PMLR,https://proceedings.mlr.press/v286/schweighofer25a.html,,verified,0.99,On Information-Theoretic Measures of Predictive Uncertainty,Kajetan Schweighofer | Lukas Aichberger | Mykyta Ielanskyi | Sepp Hochreiter,"Proceedings of the Forty-first Conference on Uncertainty in Artificial Intelligence, PMLR 286:3605-3640",,https://proceedings.mlr.press/v286/schweighofer25a.html,"Proceedings of Machine Learning Research (PMLR), the publisher’s primary article page","The cited URL is live and resolves to the specific PMLR article. The citation is verified; capitalization differences in the title are cosmetic only. The PMLR page gives the matching BibTeX record, authors, venue, volume 286, pages 3605–3640, year 2025, editors, and URL. ([proceedings.mlr.press](https://proceedings.mlr.press/v286/schweighofer25a.html?utm_source=openai))",66.76,26894,678,1,0.002884,0.01,0.012884
"[12] Adina Williams, Nikita Nangia, and Samuel Bowman. A broad-coverage challenge corpus for sentence understanding through inference. In Marilyn Walker, Heng Ji, and Amanda Stent (eds.), Proceedings of the 2018 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long Papers), pp. 1112-1122, New Orleans, Louisiana, June 2018. Association for Computational Linguistics. doi: 10.18653/v1/N18-1101. URL https://aclanthology. org/N18-1101/.",conference_paper,A broad-coverage challenge corpus for sentence understanding through inference,Adina Williams | Nikita Nangia | Samuel Bowman,2018,,,,1112-1122,10.18653/v1/N18-1101,,"Proceedings of the 2018 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long Papers)",Association for Computational Linguistics,https://aclanthology.org/N18-1101/,,verified,1.0,A Broad-Coverage Challenge Corpus for Sentence Understanding through Inference,Adina Williams | Nikita Nangia | Samuel Bowman,"Proceedings of the 2018 Conference of the North American Chapter of
          the Association for Computational Linguistics: Human Language
          Technologies, Volume 1 (Long Papers)",10.18653/v1/n18-1101,https://doi.org/10.18653/v1/n18-1101,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),3.86,0,0,0,0.0,0.0,0.0
"[13] Pengcheng He, Xiaodong Liu, Jianfeng Gao, and Weizhu Chen. Deberta: Decoding-enhanced bert with disentangled attention. In International Conference on Learning Representations, 2021. URL https://openreview.net/forum?id=XPZIaotutsD.",conference_paper,Deberta: Decoding-enhanced bert with disentangled attention,Pengcheng He | Xiaodong Liu | Jianfeng Gao | Weizhu Chen,2021,,,,,,,International Conference on Learning Representations,,https://openreview.net/forum?id=XPZIaotutsD,,verified,0.99,DeBERTa: Decoding-Enhanced BERT with Disentangled Attention,Pengcheng He | Xiaodong Liu | Jianfeng Gao | Weizhu Chen,International Conference on Learning Representations,,https://www.microsoft.com/en-us/research/publication/deberta-decoding-enhanced-bert-with-disentangled-attention-2/,"Microsoft Research publication record, corroborated by the OpenReview ICLR record","The citation is verified. The title differs only in capitalization (“Deberta”/“DeBERTa” and sentence-case styling), which is cosmetic. The cited OpenReview URL is the correct identifier for the work, although direct URL access was redirected to an OpenReview verification page during checking. The Microsoft Research page independently identifies the same title, authorship, and ICLR 2021 venue; its display of the fourth author as “Wei Chen” conflicts with the OpenReview record, which lists the author as Weizhu Chen. This discrepancy is on the supporting Microsoft page, not in the citation under review.",70.41,28760,835,1,0.003446,0.01,0.013446
"[14] Alex Wang, Amanpreet Singh, Julian Michael, Felix Hill, Omer Levy, and Samuel Bowman. GLUE: A multi-task benchmark and analysis platform for natural language understanding. In Tal Linzen, Grzegorz Chrupała, and Afra Alishahi (eds.), Proceedings of the 2018 EMNLP Workshop BlackboxNLP: Analyzing and Interpreting Neural Networks for NLP, pp. 353-355, Brussels, Belgium, November 2018. Association for Computational Linguistics. doi: 10.18653/v1/W18-5446. URL https://aclanthology.org/W18-5446/.",conference_paper,GLUE: A multi-task benchmark and analysis platform for natural language understanding,Alex Wang | Amanpreet Singh | Julian Michael | Felix Hill | Omer Levy | Samuel Bowman,2018,,,,353-355,10.18653/v1/W18-5446,,Proceedings of the 2018 EMNLP Workshop BlackboxNLP: Analyzing and Interpreting Neural Networks for NLP,Association for Computational Linguistics,https://aclanthology.org/W18-5446/,,verified,1.0,GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding,Alex Wang | Amanpreet Singh | Julian Michael | Felix Hill | Omer Levy | Samuel Bowman,Proceedings of the 2018 EMNLP Workshop BlackboxNLP: Analyzing and Interpreting Neural Networks for NLP,10.18653/v1/w18-5446,https://doi.org/10.18653/v1/w18-5446,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),4.54,0,0,0,0.0,0.0,0.0
"[15] Yarin Gal and Zoubin Ghahramani. Dropout as a bayesian approximation: Representing model uncertainty in deep learning. In Maria Florina Balcan and Kilian Q. Weinberger (eds.), Proceedings of The 33rd International Conference on Machine Learning, volume 48 of Proceedings of Machine Learning Research, pp. 1050-1059, New York, New York, USA, 20-22 Jun 2016. PMLR.",conference_paper,Dropout as a bayesian approximation: Representing model uncertainty in deep learning,Yarin Gal | Zoubin Ghahramani,2016,,48,,1050-1059,,,Proceedings of The 33rd International Conference on Machine Learning,PMLR,,,verified,1.0,Dropout as a Bayesian Approximation: Representing Model Uncertainty in Deep Learning,Yarin Gal | Zoubin Ghahramani,"Proceedings of The 33rd International Conference on Machine Learning, in Proceedings of Machine Learning Research 48:1050-1059",,https://proceedings.mlr.press/v48/gal16,Proceedings of Machine Learning Research (official publisher page),"The citation is verified. The official PMLR record confirms the title, both authors, editors, book title, volume 48, pages 1050–1059, location, dates, publisher, and year. The capitalization difference (“bayesian” versus “Bayesian”) is cosmetic.",138.56,24897,533,1,0.002311,0.01,0.012311
"[16] Balaji Lakshminarayanan, Alexander Pritzel, and Charles Blundell. Simple and scalable predictive uncertainty estimation using deep ensembles. In Proceedings of the 31st International Conference on Neural Information Processing Systems, pp. 6405-6416, Red Hook, NY, USA, 2017. Curran Associates Inc. ISBN 9781510860964.",conference_paper,Simple and scalable predictive uncertainty estimation using deep ensembles,Balaji Lakshminarayanan | Alexander Pritzel | Charles Blundell,2017,,,,6405-6416,,,Proceedings of the 31st International Conference on Neural Information Processing Systems,Curran Associates Inc.,,,verified,0.99,Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles,Balaji Lakshminarayanan | Alexander Pritzel | Charles Blundell,Advances in Neural Information Processing Systems 30 (NIPS 2017),,https://papers.nips.cc/paper_files/paper/2017/hash/9ef2ed4b7fd2c810847ffa5fa85bce38-Abstract.html,Official NeurIPS paper record and paper PDF,"The cited work exists and is correctly identified. The official NeurIPS metadata endpoint reports page_first 6402 and page_last 6413, while the canonical proceedings citation widely associated with this paper reports pp. 6405–6416; this appears to be a pagination/metadata inconsistency in the online record rather than evidence of a different work. The title, venue, year, authors, and conference identity are confirmed by the official NeurIPS page and PDF. ([papers.nips.cc](https://papers.nips.cc/paper_files/paper/2017/hash/9ef2ed4b7fd2c810847ffa5fa85bce38-Abstract.html))",146.08,41362,1185,2,0.006386,0.02,0.026386
"[17] Andrey Malinin and Mark Gales. Predictive uncertainty estimation via prior networks. In Proceedings of the 32nd International Conference on Neural Information Processing Systems, pp. 7047-7058, Red Hook, NY, USA, 2018. Curran Associates Inc.",conference_paper,Predictive uncertainty estimation via prior networks,Andrey Malinin | Mark Gales,2018,,,,7047-7058,,,Proceedings of the 32nd International Conference on Neural Information Processing Systems,Curran Associates Inc.,,,verified,0.99,Predictive Uncertainty Estimation via Prior Networks,Andrey Malinin | Mark Gales,Advances in Neural Information Processing Systems 31 (NeurIPS 2018),,https://papers.neurips.cc/paper_files/paper/2018/hash/3ea2db50e62ceefceaf70a9d9a56a6f4-Abstract.html,Official NeurIPS Proceedings,"Verified against the official NeurIPS proceedings page and paper PDF. The citation’s title, authors, 2018 publication, conference identity, and pages 7047–7058 match the published work. The official record labels the proceedings volume as Advances in Neural Information Processing Systems 31 (NeurIPS 2018), while the citation uses the conference title Proceedings of the 32nd International Conference on Neural Information Processing Systems; these are compatible publication/conference descriptions, not a bibliographic error.",138.66,37094,863,2,0.008454,0.02,0.028454
"[18] Andrey Malinin, Bruno Mlodozeniec, and Mark Gales. Ensemble distribution distillation. Proceedings of The 8th International Conference on Learning Representations, 2020.",conference_paper,Ensemble distribution distillation,Andrey Malinin | Bruno Mlodozeniec | Mark Gales,2020,,,,,,,Proceedings of The 8th International Conference on Learning Representations,,,,verified,0.99,Ensemble Distribution Distillation,Andrey Malinin | Bruno Mlodozeniec | Mark Gales,ICLR 2020,,https://arxiv.org/abs/1905.00076,arXiv primary record and OpenReview conference record,"Verified. The work exists with the cited title and authors and was published as a conference paper at ICLR 2020. The arXiv record shows an earlier April 30, 2019 posting date, but the cited 2020 year correctly refers to the ICLR 2020 conference publication. ([arxiv.org](https://arxiv.org/abs/1905.00076))",117.3,35247,660,1,0.004533,0.01,0.014533
"[19] Alexander Amini, Wilko Schwarting, Ava Soleimany, and Daniela Rus. Deep evidential regression. Advances in neural information processing systems, 33:14927-14937, 2020.",journal_article,Deep evidential regression,Alexander Amini | Wilko Schwarting | Ava Soleimany | Daniela Rus,2020,Advances in neural information processing systems,33,,14927-14937,,,,,,,verified,0.99,Deep Evidential Regression,Alexander Amini | Wilko Schwarting | Ava Soleimany | Daniela Rus,Advances in Neural Information Processing Systems 33 (NeurIPS 2020),,https://papers.nips.cc/paper_files/paper/2020/hash/aab085461de182608ee9f607f3f7d18f-Abstract.html,Official NeurIPS proceedings page,"The citation is verified. The official NeurIPS page confirms the title, all four authors, and the NeurIPS 2020 venue. Official proceedings citations corroborate volume 33 and pages 14927–14937. Sources: https://papers.nips.cc/paper_files/paper/2020/hash/aab085461de182608ee9f607f3f7d18f-Abstract.html ; https://papers.nips.cc/paper/2020/file/aab085461de182608ee9f607f3f7d18f-Paper.pdf",71.38,27434,794,2,0.003132,0.02,0.023132
