raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
1. Utah Division of Water Resources. Why Utah cloud seeds. https://water.utah.gov/cloudseeding/ Accessed 2025 August 25.,web,Why Utah cloud seeds,,,,,,,,,,,https://water.utah.gov/cloudseeding/,,verified,0.99,Cloud Seeding,Utah Division of Water Resources,Utah Division of Water Resources website,,https://water.utah.gov/cloudseeding/,Official Utah Division of Water Resources webpage,"The cited URL was opened successfully and displays the official page titled ""Cloud Seeding."" The exact cited wording, ""Why Utah cloud seeds,"" appears as a section heading on that page. Under the government-page short-label rule, this is a verified citation rather than a title error. The access date, August 25, 2025, is a past date relative to the current date, August 13, 2026.",73.75,21769,475,0,0.001616,0.0,0.001616
2. Munich Re. Natural disasters in 2024: climate change is showing its claws. https://www.munichre.com/en/company/media-relations/media-informa￾tion-and-corporate-news/media-information/2025/natural-disaster-figures-2024.html. 2025. Accessed 2025 August 25.,web,Natural disasters in 2024: climate change is showing its claws,,2025,,,,,,,,,https://www.munichre.com/en/company/media-relations/media-information-and-corporate-news/media-information/2025/natural-disaster-figures-2024.html,,verified,0.99,"Climate change is showing its claws: The world is getting hotter, resulting in severe hurricanes, thunderstorms and floods",Munich Re,Munich Re,,https://www.munichre.com/en/company/media-relations/media-information-and-corporate-news/media-information/2025/natural-disaster-figures-2024.html,Official Munich Re media-information page,"The cited URL is live and resolves to the specific Munich Re publication. The official page displays the headline “Climate change is showing its claws: The world is getting hotter, resulting in severe hurricanes, thunderstorms and floods,” dated January 9, 2025, and discusses natural disasters during 2024. The cited wording is a shortened/alternate label for the same web publication, not a different work.",75.98,26990,651,1,0.002871,0.01,0.012871
3. Gallagher R. Natural catastrophe and climate report: 2024. https://www.ajg.com/gallagherre/news-and-insights/gallagherre-natural-catastro￾phe-and-climate-report-2024/ 2024. Accessed 2025 August 25.,web,Natural catastrophe and climate report: 2024,Gallagher R,2024,,,,,,,,,https://www.ajg.com/gallagherre/news-and-insights/gallagherre-natural-catastrophe-and-climate-report-2024/,,verified,0.96,Gallagher Re Natural Catastrophe and Climate Report 2024,Gallagher Re,Gallagher Re,,https://www.ajg.com/gallagherre/news-and-insights/gallagherre-natural-catastrophe-and-climate-report-2024/,Official Gallagher Re page on ajg.com,"The cited URL is live and resolves to the specific 2024 Gallagher Re report. The page states that it summarizes major catastrophe events occurring throughout 2024 and provides the report's subject matter and institutional attribution. The citation's access date, August 25, 2025, is in the past relative to the verification date of August 13, 2026.",78.04,26906,879,1,0.006436,0.01,0.016436
"4. World Meteorological Organization. WMO atlas of mortality and economic losses from weather, climate and water extremes (1970-2019). Geneva: WMO. 2021. https://wmo.int/publication-series/wmo-atlas-of-mortality-and-economic-losses-from-weather-climate-and-water-extremes-1970-2019",book,"WMO atlas of mortality and economic losses from weather, climate and water extremes (1970-2019)",,2021,,,,,,9789263112675,,WMO,https://wmo.int/publication-series/wmo-atlas-of-mortality-and-economic-losses-from-weather-climate-and-water-extremes-1970-2019,,verified,0.99,"WMO Atlas of Mortality and Economic Losses from Weather, Climate and Water Extremes (1970–2019)",WMO,World Meteorological Organization,,,World Meteorological Organization official publication page,"The cited URL is live and redirects to the official WMO page for the specific publication. The title, corporate author, publisher, and year are confirmed. The ISBN formatting in the citation (978-9-263-11267-5) is consistent with the official catalog ISBN 9789263112675 after removal of nonstandard hyphenation. Title capitalization and 1970-2019 versus 1970–2019 punctuation are cosmetic differences only.",79.91,27064,739,1,0.002992,0.01,0.012992
"5. Zscheischler J, Martius O, Westra S, Bevacqua E, Raymond C, Horton RM, et al. A typology of compound weather and climate events. Nat Rev Earth Environ. 2020;1(7):333-47. https://doi.org/10.1038/s43017-020-0060-z",journal_article,A typology of compound weather and climate events,Zscheischler J; Martius O; Westra S; Bevacqua E; Raymond C; Horton RM,2020,Nat Rev Earth Environ,1,7,333-47,10.1038/s43017-020-0060-z,,,,,,verified,0.99,A typology of compound weather and climate events,Jakob Zscheischler | Olivia Martius | Seth Westra | Emanuele Bevacqua | Colin Raymond | Radley M. Horton | Bart van den Hurk | Amir AghaKouchak | Aglaé Jézéquel | Miguel D. Mahecha | Douglas Maraun | Alexandre M. Ramos | Nina N. Ridder | Wim Thiery | Edoardo Vignotto,Nature Reviews Earth & Environment,10.1038/s43017-020-0060-z,https://www.nature.com/articles/s43017-020-0060-z,Nature publisher article page,"The publisher record confirms the article title, author list, venue, volume 1, pages 333–347, 2020 publication, issue date July 2020, and DOI 10.1038/s43017-020-0060-z. The abbreviated journal name, abbreviated page range, and use of “et al.” are bibliographically acceptable. ([nature.com](https://www.nature.com/articles/s43017-020-0060-z))",79.68,34273,708,1,0.004396,0.01,0.014396
"6. Dettinger MD, Martin Ralph F, Abel MR, Das T, Neiman P, Cox D, et al. Correction to: Design and quantification of an extreme winter storm scenario for emergency preparedness and planning exercises in California. Nat Hazards. 2024;120(13):12571-12571. https://doi.org/10.1007/ s11069-024-06865-x",journal_article,Correction to: Design and quantification of an extreme winter storm scenario for emergency preparedness and planning exercises in California,Dettinger MD; Martin Ralph F; Abel MR; Das T; Neiman P; Cox D,2024,Nat Hazards,120,13,12571-12571,10.1007/s11069-024-06865-x,1-257-11257-1,,,,,verified,0.99,Correction to: Design and quantification of an extreme winter storm scenario for emergency preparedness and planning exercises in California,Michael D. Dettinger | F. Martin Ralph | Mimi Rose Abel | Tapash Das | Paul Neiman | Dale Cox | Gary Estes | David Reynolds | Robert Hartman | Daniel Cayan | Lucy Jones,Natural Hazards,10.1007/s11069-024-06865-x,,"CrossRef DOI metadata, corroborated by the Springer correction record indexed for the DOI.","Verified. The citation correctly identifies the 2024 correction article. “et al.” appropriately truncates the author list. The DOI contains an OCR/spacing artifact in the raw citation (“10.1007/ s11069…”), but it normalizes to the correct DOI. The direct DOI context request returned an internal tool error, so no source URL is supplied; the DOI metadata and publisher-indexed record nevertheless affirm the work’s identity. The underlying corrected article is the 2012 Natural Hazards article with DOI 10.1007/s11069-011-9894-5; the 2024 item is specifically its correction notice. ([ideas.repec.org](https://ideas.repec.org/a/spr/nathaz/v120y2024i13d10.1007_s11069-024-06865-x.html?utm_source=openai))",82.91,33555,995,2,0.004597,0.02,0.024597
"7. Porter K, Wein A, Alpers C, Baez A, Barnard P, Carter J. Overview of the ARkStorm scenario. Reston (VA): US Geological Survey. 2011. http:// pubs.usgs.gov/of/2010/1312/",book,Overview of the ARkStorm scenario,Porter K; Wein A; Alpers C; Baez A; Barnard P; Carter J,2011,,,,,,,,US Geological Survey,http://pubs.usgs.gov/of/2010/1312/,,minor_error,0.99,Overview of the ARkStorm Scenario,Keith Porter | Anne Wein | Charles Alpers | Allan Baez | Patrick Barnard | James Carter | Alessandra Corsi | James Costner | Dale Cox | Tapash Das | Michael Dettinger | James Done | Charles Eadie | Marcia Eymann | Justin Ferris | Prasad Gunturi | Mimi Hughes | Robert Jarrett | Laurie Johnson | Hanh Dam Le-Griffin | David Mitchell | Suzette Morman | Paul Neiman | Anna Olsen | Suzanne Perry | Geoffrey Plumlee | Martin Ralph | David Reynolds | Adam Rose | Kathleen Schaefer | Julie Serakos | William Siembieda | Jonathon Stock | David Strong | Ian Sue Wing | Alex Tang | Pete Thomas | Ken Topping | Chris Wills | Lucile Jones,U.S. Geological Survey Open-File Report 2010-1312,,,U.S. Geological Survey publication page and report record,"The cited URL is an older HTTP form of the USGS publication URL; the search result identifies the specific live USGS report page, whose current URL is https://pubs.usgs.gov/of/2010/1312/. The work itself is confirmed by the official USGS record. The concrete citation error is that the raw entry lists only six of the report’s numerous authors without “et al.” or another indication that the list is abbreviated. The title, venue, report number, and year otherwise match.",89.01,27258,1022,1,0.00337,0.01,0.01337
"8. Stendel M, Francis J, White R, Williams PD, Woollings T. The jet stream and climate change. Climate Change. Elsevier. 2021:327-57. https://doi. org/10.1016/b978-0-12-821575-3.00015-3",book_chapter,The jet stream and climate change,Stendel M; Francis J; White R; Williams PD; Woollings T,2021,,,,327-57,10.1016/b978-0-12-821575-3.00015-3,9780128215753,Climate Change,Elsevier,,,verified,0.99,The jet stream and climate change,Martin Stendel | Jennifer Francis | Rachel White | Paul D. Williams | Tim Woollings,"Climate Change: Observed Impacts on Planet Earth, Third Edition",10.1016/B978-0-12-821575-3.00015-3,,Rutgers institutional research repository; corroborated by an official University of Reading-hosted chapter PDF,"The work is Chapter 15, published by Elsevier in 2021, on pages 327–357. The DOI resolves to the same chapter record, with capitalization differences only. The citation’s “327-57” is a standard abbreviated page range and is not an error.",88.45,33740,627,1,0.004192,0.01,0.014192
"9. Kautz L-A, Martius O, Pfahl S, Pinto JG, Ramos AM, Sousa PM, et al. Atmospheric blocking and weather extremes over the Euro-Atlantic sector - a review. Weather Clim Dynam. 2022;3(1):305-36. https://doi.org/10.5194/wcd-3-305-2022",journal_article,Atmospheric blocking and weather extremes over the Euro-Atlantic sector - a review,Kautz L-A; Martius O; Pfahl S; Pinto JG; Ramos AM; Sousa PM,2022,Weather Clim Dynam,3,1,305-36,10.5194/wcd-3-305-2022,,,,,,verified,0.99,Atmospheric blocking and weather extremes over the Euro-Atlantic sector – a review,Lisa-Ann Kautz | Olivia Martius | Stephan Pfahl | Joaquim G. Pinto | Alexandre M. Ramos | Pedro M. Sousa | Tim Woollings,Weather and Climate Dynamics,10.5194/wcd-3-305-2022,https://wcd.copernicus.org/articles/3/305/2022/,"Publisher article page, Copernicus Weather and Climate Dynamics","The publisher’s citation confirms: Kautz, L.-A., Martius, O., Pfahl, S., Pinto, J. G., Ramos, A. M., Sousa, P. M., and Woollings, T., “Atmospheric blocking and weather extremes over the Euro-Atlantic sector – a review,” Weather Clim. Dynam., 3, 305–336, 2022, DOI 10.5194/wcd-3-305-2022. The cited page range 305–36 is an accepted abbreviated form of 305–336. ([doi.org](https://doi.org/10.5194/wcd-3-305-2022))",85.22,27285,630,1,0.002905,0.01,0.012905
"10. Lau WKM, Kim KM. The 2010 Pakistan flood and Russian heat wave: teleconnection of hydrometeorological extremes. J Hydrometeorol. 2012;13:392-403. https://doi.org/10.1175/JHM-D-11-016.1",journal_article,The 2010 Pakistan flood and Russian heat wave: teleconnection of hydrometeorological extremes,Lau WKM; Kim KM,2012,J Hydrometeorol,13,,392-403,10.1175/JHM-D-11-016.1,,,,,,verified,0.99,The 2010 Pakistan Flood and Russian Heat Wave: Teleconnection of Hydrometeorological Extremes,William K. M. Lau | Kyu-Myong Kim,Journal of Hydrometeorology,10.1175/JHM-D-11-016.1,https://journals.ametsoc.org/abstract/journals/hydr/13/1/jhm-d-11-016_1.xml,Journal of Hydrometeorology / American Meteorological Society,"Verified. The publisher record confirms the same title, authors, journal, volume 13, issue 1, pages 392–403, publication year 2012, and DOI 10.1175/JHM-D-11-016.1. Differences are limited to capitalization, journal abbreviation, and initials versus full names.",87.2,27260,673,1,0.002952,0.01,0.012952
11. Tabari H. Climate change impact on flood and extreme precipitation increases with water availability. Sci Rep. 2020;10(1):13768. https://doi. org/10.1038/s41598-020-70816-2 PMID: 32792563,journal_article,Climate change impact on flood and extreme precipitation increases with water availability,Tabari H,2020,Sci Rep,10,1,13768,10.1038/s41598-020-70816-2,,,,,,verified,1.0,Climate change impact on flood and extreme precipitation increases with water availability,Hossein Tabari,Scientific Reports,10.1038/s41598-020-70816-2,https://doi.org/10.1038/s41598-020-70816-2,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),13.53,0,0,0,0.0,0.0,0.0
