raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[2] Mares, D., & Blackburn, E. (2021). Evaluating the Impact of ShotSpotter Technology on Firearm Homicides and Arrests. Criminal Justice Policy Review. https://doi.org/10.1177/0887403421992907",journal_article,Evaluating the Impact of ShotSpotter Technology on Firearm Homicides and Arrests,"Mares, D. | Blackburn, E.",2021,Criminal Justice Policy Review,,,,10.1177/0887403421992907,,,,,,hallucination,0.99,"Acoustic gunshot detection systems: a quasi-experimental evaluation in St. Louis, MO",Dennis Mares | Emily Blackburn,Journal of Experimental Criminology,10.1007/s11292-019-09405-x,https://doi.org/10.1007/s11292-019-09405-x,Springer Nature publisher page,"The citation is a metadata chimera: it combines the authors with a substantially different title, the unrelated journal Criminal Justice Policy Review, and DOI 10.1177/0887403421992907. The primary publisher record confirms the real 2021 Mares–Blackburn work as “Acoustic gunshot detection systems: a quasi-experimental evaluation in St. Louis, MO,” published in the Journal of Experimental Criminology, with DOI 10.1007/s11292-019-09405-x. A separate 2021 ShotSpotter article exists under a different title and different authors—“Impact of ShotSpotter Technology on Firearm Homicides and Arrests Among Large Metropolitan Counties: a Longitudinal Analysis, 1999–2016,” by Doucette, Green, Necci Dineen, Shapiro, and Raissian, in the Journal of Urban Health—further indicating conflation of distinct works. ([pure.johnshopkins.edu](https://pure.johnshopkins.edu/en/publications/impact-of-shotspotter-technology-on-firearm-homicides-and-arrests?utm_source=openai))",122.29,43111,936,2,0.006437,0.02,0.026437
[11] National Institute of Justice. (2022). Acoustic Gunshot Detection: A Review of the Evidence. https://nij.ojp.gov/library/publications/acoustic-gunshot-detection-reviewevidence,book,Acoustic Gunshot Detection: A Review of the Evidence,National Institute of Justice,2022,,,,,,,,,https://nij.ojp.gov/library/publications/acoustic-gunshot-detection-review-evidence,,hallucination,0.98,Gunshot Detection: Reducing Gunfire through Acoustic Technology,Dennis Mares,Office of Justice Programs,,https://www.ojp.gov/library/publications/gunshot-detection-reducing-gunfire-through-acoustic-technology,Office of Justice Programs,"The cited URL was directly attempted but returned an internal error and did not resolve to the claimed publication. Official OJP records show a different 2022 work, “Gunshot Detection: Reducing Gunfire through Acoustic Technology,” published October 2022 and authored by Dennis Mares. Official NIJ records also show related but differently titled publications, including the September 2019 “Evaluation of Gunshot Detection Technology to Aid in the Reduction of Firearms Violence,” authored by Daniel S. Lawrence, Nancy G. La Vigne, and Paige S. Thompson. The cited title/author attribution therefore appears to combine or misattribute real gunshot-detection materials rather than identify one specific official publication. ([ojp.gov](https://www.ojp.gov/library/publications/gunshot-detection-reducing-gunfire-through-acoustic-technology))",75.24,41440,1025,2,0.00621,0.02,0.02621
"[15] Piza, E. L., et al. (2023). Gunshot Detection Technology and Police Response: A Quasi-Experimental Evaluation. Journal of Experimental Criminology. https://doi.org/10.1007/s11292-023-09553-z",journal_article,Gunshot Detection Technology and Police Response: A Quasi-Experimental Evaluation,"Piza, E. L. | et al.",2023,Journal of Experimental Criminology,,,,10.1007/s11292-023-09553-z,,,,,,hallucination,0.98,"The effect of gunshot detection technology on evidence collection and case clearance in Kansas City, Missouri",Eric L. Piza | Rachael A. Arietti | Jeremy G. Carter | George O. Mohler,Journal of Experimental Criminology,10.1007/s11292-023-09594-6,https://link.springer.com/article/10.1007/s11292-023-09594-6,Springer Nature publisher article page,"The citation appears to conflate a real 2023 Piza et al. Journal of Experimental Criminology article with a fabricated or unsupported title and DOI. The confirmed related article was published online on November 13, 2023, and its issue designation is Journal of Experimental Criminology 21, 127–152 (2025). The cited title and DOI should not be retained. A corrected citation is: Piza, E. L., Arietti, R. A., Carter, J. G., & Mohler, G. O. (2023). The effect of gunshot detection technology on evidence collection and case clearance in Kansas City, Missouri. Journal of Experimental Criminology. https://doi.org/10.1007/s11292-023-09594-6. ([link.springer.com](https://link.springer.com/article/10.1007/s11292-023-09594-6?utm_source=openai))",125.87,43261,1025,2,0.006574,0.02,0.026574
[19] Dallas Police Department. (2015). ShotSpotter Evaluation Report. https://dallaspolice.net/Reports/shotspotter2015.pdf,book,ShotSpotter Evaluation Report,Dallas Police Department,2015,,,,,,,,,https://dallaspolice.net/Reports/shotspotter2015.pdf,,not_found,0.94,,,,,,,"The cited URL, https://dallaspolice.net/Reports/shotspotter2015.pdf, was directly tested but was not reachable through the page-fetch tool. Exact-title and filename searches did not locate a primary publisher, government, institutional-repository, or bibliographic-registry record for a 2015 Dallas Police Department report with this title. Because this is a URL-primary grey-literature citation and the specific document could not be opened or independently confirmed, the appropriate status is not_found rather than verified. The URL appears dead or inaccessible; no working source URL is supplied.",66.99,26543,538,1,0.002646,0.01,0.012646
[22] Government Technology. (2022). ShotSpotter: Technology That Doesn’t Stop Crime? https://www.govtech.com/public-safety/shotspotter-technology-that-doesnt-stopcrime,web,ShotSpotter: Technology That Doesn’t Stop Crime?,Government Technology,2022,,,,,,,,,https://www.govtech.com/public-safety/shotspotter-technology-that-doesnt-stop-crime,,hallucination,0.97,Study: ShotSpotter Doesn’t Reduce Crime or Shootings,Jim McKay,Government Technology,,https://www.govtech.com/tag/response?00000192-d9bd-d230-abf3-ffbd63c90006-page=6,Government Technology,"The supplied URL was directly checked but did not resolve to a readable specific article. Primary Government Technology search results identify a likely source conflated into the citation: “Study: ShotSpotter Doesn’t Reduce Crime or Shootings,” by Jim McKay, published May 2, 2024. The cited title, year, author attribution, and URL do not match that real article. A separate Government Technology article, “Chicago Latest City to Rethink Gunshot Detection Technology,” was published February 29, 2024 and is credited to Matt Vasilogambros of Stateline.org. The cited entry is therefore a substantive metadata chimera rather than a minor formatting error. ([govtech.com](https://www.govtech.com/public-safety/chicago-latest-city-to-rethink-gunshot-detection-technology?utm_source=openai))",79.1,32508,852,2,0.004216,0.02,0.024216
[24] Kansas City Council Budget. (2023). Police Technology Spending Report. https://www.kcmo.gov/Home/Components/News/News/2166/16,book,Police Technology Spending Report,Kansas City Council Budget,2023,,,,,,,,,https://www.kcmo.gov/Home/Components/News/News/2166/16,,not_found,0.94,,,,,,,"The cited URL (https://www.kcmo.gov/Home/Components/News/News/2166/16) was directly checked but returned an internal error and did not expose the cited document. Exact-title searches for “Police Technology Spending Report” with “Kansas City Council Budget,” plus a site-restricted search of kcmo.gov, produced no primary record confirming the work. Because no conflicting real work was identified, the appropriate verdict is not_found rather than hallucination. The URL is not verified as live or as pointing to the named report.",67.12,26746,465,1,0.002599,0.01,0.012599
[26] Vera Institute of Justice. (2021). Emerging Police Technologies and Their Costs. https://www.vera.org/publications/emerging-police-technologies,book,Emerging Police Technologies and Their Costs,Vera Institute of Justice,2021,,,,,,,,,https://www.vera.org/publications/emerging-police-technologies,,hallucination,0.94,Cost-Benefit Analysis and Public Safety Technology,,Vera Institute,,https://www.vera.org/publications/cost-benefit-analysis-and-public-safety-technology,Vera Institute official publication page,"The cited URL was directly opened and returned 404 Not Found. Exact-title searching did not locate the cited work. An official Vera publication on the related topic of public-safety technology exists under a substantially different title, “Cost-Benefit Analysis and Public Safety Technology,” indicating that the citation likely conflates or fabricates the title rather than merely containing a cosmetic metadata error. ([]())",74.07,30008,758,2,0.003603,0.02,0.023603
[28] Springfield City Council. (2021). ShotSpotter Contract Approval. https://www.springfield.il.us/Government/ViewOrdinance.aspx?OrdID=37431,book,ShotSpotter Contract Approval,Springfield City Council,2021,,,,,,,,,https://www.springfield.il.us/Government/ViewOrdinance.aspx?OrdID=37431,,not_found,0.96,,,,,,,"The cited URL is dead/unreachable: the Springfield, Illinois page returned 404 Not Found. Broader searches found evidence of Springfield, Illinois ShotSpotter contracts and council activity, including a 2020 contract and later 2021 council action, but no primary source confirming this exact title, citation, or ordinance identifier. Because there is no affirmative evidence that the citation combines metadata from a different real record, the appropriate verdict is not_found rather than hallucination.",83.43,27321,673,2,0.002964,0.02,0.022964
[30] Elmwood Park Police Department. (2022). Acoustic Detection Contract Details. https://elmwoodpark.org/wp-content/uploads/2022/03/ShotSpotter-Contract.pdf,book,Acoustic Detection Contract Details,Elmwood Park Police Department,2022,,,,,,,,,https://elmwoodpark.org/wp-content/uploads/2022/03/ShotSpotter-Contract.pdf,,not_found,0.93,,,,,,,"The cited URL https://elmwoodpark.org/wp-content/uploads/2022/03/ShotSpotter-Contract.pdf was directly checked and returned 404 Not Found. Exact-title and filename searches did not find a primary record confirming the cited document. The Village’s official website and an official Elmwood Park document provide contextual evidence that the department used or considered ShotSpotter, but they do not prove that this specifically titled 2022 document exists. Therefore the appropriate status is not_found, rather than hallucination, because no conflicting real document at the cited coordinates was established.",74.37,40738,855,2,0.005866,0.02,0.025866
"[41] Piza, E. L., & Welsh, B. C. (2019). The Effects of Gunshot Detection Technology on Gun Violence: A Randomized Controlled Trial. Justice Quarterly. https://doi.org/10.1080/07418825.2018.1488126",journal_article,The Effects of Gunshot Detection Technology on Gun Violence: A Randomized Controlled Trial,"Piza, E. L. | Welsh, B. C.",2019,Justice Quarterly,,,,10.1080/07418825.2018.1488126,,,,,,hallucination,0.97,,,,,,Publisher/primary journal records and DOI resolution search,"The citation appears to combine real researchers and a plausible Justice Quarterly/DOI-style citation with a title for which no primary bibliographic record was found. The cited DOI is not resolvable and returned 404. Related primary evidence identifies different Piza gunshot-detection publications, not this article. This is therefore a fabricated or conflated citation rather than a minor DOI error.",129.77,35500,992,3,0.004982,0.03,0.034982
