raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"1. Nekoo SR, Acosta JÁ, Heredia G, Ollero A. A benchmark mechatronics platform to assess the inspection around pipes with variable pitch quadrotor for industrial sites. Mechatronics. 2021;79:102641. https://doi.org/10.1016/j.mechatronics.2021.102641",journal_article,A benchmark mechatronics platform to assess the inspection around pipes with variable pitch quadrotor for industrial sites,Nekoo SR | Acosta JÁ | Heredia G | Ollero A,2021,Mechatronics,79,,102641,,,,,,,verified,0.99,A benchmark mechatronics platform to assess the inspection around pipes with variable pitch quadrotor for industrial sites,Saeed Rafee Nekoo | José Ángel Acosta | Guillermo Heredia | Anibal Ollero,Mechatronics,10.1016/j.mechatronics.2021.102641,,Elsevier ScienceDirect publisher record and University of Seville institutional repository,"The citation is verified as written. The publisher record identifies Mechatronics, volume 79, November 2021, article 102641, and the cited DOI. The institutional repository independently reproduces the title, authors, journal, year, article number, and DOI. No substantive bibliographic error was found. The DOI landing-page redirect was attempted directly but could not be fetched because of a tool safety/redirect restriction; this does not affect verification because the specific ScienceDirect record and official institutional repository record confirm the work.",116.67,23030,919,1,0.002401,0.01,0.012401
"10. Sutulo S, Guedes Soares C. An algorithm for offline identification of ship manoeuvring mathematical models from free-running tests. Oce Eng. 2014;79:10-25. https://doi.org/10.1016/j.oceaneng.2014.01.007",journal_article,An algorithm for offline identification of ship manoeuvring mathematical models from free-running tests,Sutulo S | Guedes Soares C,2014,Oce Eng,79,,10-25,,,,,,,verified,1.0,An algorithm for offline identification of ship manoeuvring mathematical models from free-running tests,Serge Sutulo | C. Guedes Soares,Ocean Engineering,10.1016/j.oceaneng.2014.01.007,https://doi.org/10.1016/j.oceaneng.2014.01.007,crossref_title_static,Verified via static CrossRef title search (score: 1.00),37.4,0,0,0,0.0,0.0,0.0
100. Sampson J. Adaptation in natural and artificial systems. John H. Holland; 1976.,book,Adaptation in natural and artificial systems,Sampson J,1976,,,,,,,,John H. Holland,,,hallucination,0.99,Adaptation in Natural and Artificial Systems,John H. Holland,The MIT Press,,https://mitpress.mit.edu/9780262581110/adaptation-in-natural-and-artificial-systems/,MIT Press,"The cited entry appears to conflate two distinct records: John H. Holland’s book and Jeffrey R. Sampson’s 1976 SIAM Review of that book. The title identifies Holland’s book, while “Sampson J.” and the year 1976 correspond to the separate SIAM Review item. Because the author and year/publisher fields combine metadata from different works, this is a substantive bibliographic chimera rather than a minor citation error.",122.99,29282,941,3,0.003678,0.03,0.033678
"101. Epitropakis MG, Tasoulis DK, Pavlidis NG, Plagianakos VP, Vrahatis MN. Enhancing differential evolution utilizing proximity-based mutation operators. IEEE Trans Evol Comput. 2011;15(1):99-119. https://doi.org/10.1109/tevc.2010.2083670",journal_article,Enhancing differential evolution utilizing proximity-based mutation operators,Epitropakis MG | Tasoulis DK | Pavlidis NG | Plagianakos VP | Vrahatis MN,2011,IEEE Trans Evol Comput,15,1,99-119,10.1109/tevc.2010.2083670,,,,,,verified,1.0,Enhancing Differential Evolution Utilizing Proximity-Based Mutation Operators,Michael G. Epitropakis | Dimitris K. Tasoulis | Nicos G. Pavlidis | Vassilis P. Plagianakos | Michael N. Vrahatis,IEEE Transactions on Evolutionary Computation,10.1109/tevc.2010.2083670,https://doi.org/10.1109/tevc.2010.2083670,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),37.85,0,0,0,0.0,0.0,0.0
"102. Opara KR, Arabas J. Differential evolution: a survey of theoretical analyses. Swarm Evol Comput. 2019;44:546-58. https://doi.org/10.1016/j.swevo.2018.06.010",journal_article,Differential evolution: a survey of theoretical analyses,Opara KR | Arabas J,2019,Swarm Evol Comput,44,,546-58,10.1016/j.swevo.2018.06.010,,,,,,verified,1.0,Differential Evolution: A survey of theoretical analyses,Karol R. Opara | Jarosław Arabas,Swarm and Evolutionary Computation,10.1016/j.swevo.2018.06.010,https://doi.org/10.1016/j.swevo.2018.06.010,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),38.19,0,0,0,0.0,0.0,0.0
"103. Rao S. Engineering optimization: theory and practice, 4th edn. John Wiley & Sons; 2009.",book,"Engineering optimization: theory and practice, 4th edn",Rao S,2009,,,,,,,,John Wiley & Sons,,,verified,0.95,Engineering Optimization: Theory and Practice,Singiresu S. Rao,,10.1002/9780470549124,https://doi.org/10.1002/9780470549124,crossref_title_static,Verified via static CrossRef title search (score: 0.95),38.67,0,0,0,0.0,0.0,0.0
"104. Nocedal J, Wright SJ. Numerical optimization, 2nd edn. Springer; 2006.",book,"Numerical optimization, 2nd edn",Nocedal J | Wright SJ,2006,,,,,,,,Springer,,,verified,0.99,Numerical Optimization,Jorge Nocedal | Stephen J. Wright,"Springer New York, NY",10.1007/978-0-387-40065-5,,Springer Nature publisher page,"The Springer primary record confirms the title, authors, copyright year 2006, second-edition status, publisher, and publication details. It lists the hardcover edition as published July 27, 2006 and the eBook edition as published December 11, 2006. The citation is substantively correct. ([link.springer.com](https://link.springer.com/book/10.1007/978-0-387-40065-5))",119.42,27364,494,1,0.002758,0.01,0.012758
105. Williamson M. Series elastic actuators. Massachusetts Institute of Technology Artificial Intelligence Laboratory; 1995.,book,Series elastic actuators,Williamson M,1995,,,,,,,,Massachusetts Institute of Technology Artificial Intelligence Laboratory,,,verified,0.98,Series Elastic Actuators,Matthew Williamson,Massachusetts Institute of Technology AI Lab,,,MIT Humanoid Robotics Group official publications page and MIT-hosted technical report reference,"The work exists as cited for practical bibliographic purposes. MIT’s official publication list identifies it as Matthew Williamson’s S.M. thesis, 1995; an MIT-hosted technical document separately identifies it as A.I. Technical Report 1524, Massachusetts Institute of Technology AI Lab, Cambridge, MA, January 1995. The citation’s book-style formatting does not change the underlying work’s identity.",126.61,35517,938,2,0.004921,0.02,0.024921
"106. Junior A, de Andrade R, Bento Filho A. Series elastic actuator: design, analysis and comparison. Recent Adv Robot Syst. 2016;1(3).",journal_article,"Series elastic actuator: design, analysis and comparison",Junior A | de Andrade R | Bento Filho A,2016,Recent Adv Robot Syst,1,3,,,,,,,,verified,1.0,"Series Elastic Actuator: Design, Analysis and Comparison",Arnaldo Gomes Leal Junior | Rafhael Milanezi de Andrade | Antonio Bento Filho,Recent Advances in Robotic Systems,10.5772/63573,https://doi.org/10.5772/63573,crossref_title_static,Verified via static CrossRef title search (score: 1.00),39.86,0,0,0,0.0,0.0,0.0
"107. Au SK, Weber J, Herr H. Biomechanical design of a powered ankle-foot prosthesis. In: 2007 IEEE 10th International Conference on Rehabilitation Robotics. IEEE; 2007, pp. 298-303. https://doi.org/10.1109/icorr.2007.4428441",conference_paper,Biomechanical design of a powered ankle-foot prosthesis,Au SK | Weber J | Herr H,2007,,,,298-303,10.1109/icorr.2007.4428441,,2007 IEEE 10th International Conference on Rehabilitation Robotics,IEEE,,,verified,1.0,Biomechanical Design of a Powered Ankle-Foot Prosthesis,Samuel K. Au | Jeff Weber | Hugh Herr,2007 IEEE 10th International Conference on Rehabilitation Robotics,10.1109/icorr.2007.4428441,https://doi.org/10.1109/icorr.2007.4428441,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),39.86,0,0,0,0.0,0.0,0.0
