raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
1. Utah Division of Water Resources. Why Utah cloud seeds. https://water.utah.gov/cloudseeding/ Accessed 2025 August 25.,web,Why Utah cloud seeds,,,,,,,,,,,https://water.utah.gov/cloudseeding/,,verified,0.85,,,,,https://water.utah.gov/cloudseeding/,web_search,"Page is accessible; it shows it was updated (e.g., “updated 2026-06-30”). The citation’s “Accessed 2025 August 25” is a valid access-date field, even though the page has since been updated.",119.61,33203,674,1,0.007483,0.005,0.012483
2. Munich Re. Natural disasters in 2024: climate change is showing its claws. https://www.munichre.com/en/company/media-relations/media-informa￾tion-and-corporate-news/media-information/2025/natural-disaster-figures-2024.html. 2025. Accessed 2025 August 25.,web,Natural disasters in 2024: climate change is showing its claws,,2025,,,,,,,,,https://www.munichre.com/en/company/media-relations/media-information-and-corporate-news/media-information/2025/natural-disaster-figures-2024.html,,verified,0.86,Climate change is showing its claws: The world is getting ...,,Munich Re,,https://www.munichre.com/en/company/media-relations/media-information-and-corporate-news/media-information/2025/natural-disaster-figures-2024.html,web_search,"A Munich Re page exists at the exact same URL. The result headline shown is “Climate change is showing its claws: The world is getting …” and the page is dated 2025-01-09 (and later updated), consistent with a 2025 publication year. The citation’s title wording begins with “Natural disasters in 2024:” while the result headline begins “Climate change is showing its claws …”; upstream treats this as a title wording variant (same page/URL), not evidence of a different work.",122.72,33444,968,1,0.007899,0.005,0.012899
3. Gallagher R. Natural catastrophe and climate report: 2024. https://www.ajg.com/gallagherre/news-and-insights/gallagherre-natural-catastro￾phe-and-climate-report-2024/ 2024. Accessed 2025 August 25.,web,Natural catastrophe and climate report: 2024,Gallagher R,2024,,,,,,,,,https://www.ajg.com/gallagherre/news-and-insights/gallagherre-natural-catastrophe-and-climate-report-2024/,,minor_error,0.72,Gallagher Re Natural Catastrophe and Climate Report 2024,,AJG Gallagher Re (AJG Gallagher Re webpage),,https://www.ajg.com/gallagherre/news-and-insights/gallagherre-natural-catastrophe-and-climate-report-2024/,web_search,"Upstream result: minor_error. Evidence confirms existence and matching page/report title at the cited URL, but does not provide confirmable evidence that the specific author/byline is an individual named “Gallagher R” (appears organizational/brand-authored under “Gallagher Re” / AJG). Treated as a small metadata error rather than fabrication of the report itself.",126.1,33936,1152,1,0.008227,0.005,0.013227
"4. World Meteorological Organization. WMO atlas of mortality and economic losses from weather, climate and water extremes (1970-2019). Geneva: WMO. 2021. https://wmo.int/publication-series/wmo-atlas-of-mortality-and-economic-losses-from-weather-climate-and-water-extremes-1970-2019",book,"WMO atlas of mortality and economic losses from weather, climate and water extremes (1970-2019)",,2021,,,,,,9789263112675,,WMO,https://wmo.int/publication-series/wmo-atlas-of-mortality-and-economic-losses-from-weather-climate-and-water-extremes-1970-2019,,verified,0.72,"WMO atlas of mortality and economic losses from weather, climate and water extremes (1970–2019)",,World Meteorological Organization (WMO),,,web_search,"Verdict verified with limited confirmation of the ISBN/URL landing-page content. Upstream report indicates a WMO publication titled as given, with 2021 publication date and coverage 1970–2019 supported by primary listings (e.g., UN Digital Library record). Potential concern: WMO atlas-series page may have been updated to cover 1970–2021, so the exact landing page/slug for the 1970–2019 version might have changed or been superseded. Upstream report states it was not directly comfortable claiming bibliographic error because ISBN (978-9-263-11267-5) and the exact WMO URL slug could not be confirmed from retrieved snippets alone, but core identity (title + WMO + 1970–2019 + 2021) is supported.",125.81,33689,1279,1,0.008337,0.005,0.013337
"5. Zscheischler J, Martius O, Westra S, Bevacqua E, Raymond C, Horton RM, et al. A typology of compound weather and climate events. Nat Rev Earth Environ. 2020;1(7):333-47. https://doi.org/10.1038/s43017-020-0060-z",journal_article,A typology of compound weather and climate events,Zscheischler J; Martius O; Westra S; Bevacqua E; Raymond C; Horton RM,2020,Nat Rev Earth Environ,1,7,333-47,10.1038/s43017-020-0060-z,,,,,,verified,0.9,A typology of compound weather and climate events,,Nature Reviews Earth & Environment,10.1038/s43017-020-0060-z,,web_search,"I found the publisher landing page for this exact work at Nature. The page presents it as a 2020 article and corresponds to Volume 1, Issue 7, pages 333–347 (which aligns with the cited “333-47”).",123.77,34929,742,1,0.007913,0.005,0.012913
"6. Dettinger MD, Martin Ralph F, Abel MR, Das T, Neiman P, Cox D, et al. Correction to: Design and quantification of an extreme winter storm scenario for emergency preparedness and planning exercises in California. Nat Hazards. 2024;120(13):12571-12571. https://doi.org/10.1007/ s11069-024-06865-x",journal_article,Correction to: Design and quantification of an extreme winter storm scenario for emergency preparedness and planning exercises in California,Dettinger MD; Martin Ralph F; Abel MR; Das T; Neiman P; Cox D,2024,Nat Hazards,120,13,12571-12571,10.1007/s11069-024-06865-x,1-257-11257-1,,,,,verified,0.85,Correction to: Design and quantification of an extreme winter storm scenario for emergency preparedness and planning exercises in California,"Dettinger, F. Martin Ralph | Mimi Rose Abel | Tapash Das | Paul Neiman | Dale Cox | additional coauthors",,10.1007/s11069-024-06865-x,,,"Upstream limitation: in this turn it cannot open or read the DOI/publisher landing page directly—only precheck/CrossRef data included in the input (plus an earlier web search that returned the original non-correction 2012 paper). Conclusion: DOI resolves to the correction with the same title, so the cited correction exists as stated at least at the bibliographic-identity level required here.",127.97,34393,1342,1,0.008556,0.005,0.013556
"7. Porter K, Wein A, Alpers C, Baez A, Barnard P, Carter J. Overview of the ARkStorm scenario. Reston (VA): US Geological Survey. 2011. http:// pubs.usgs.gov/of/2010/1312/",book,Overview of the ARkStorm scenario,Porter K; Wein A; Alpers C; Baez A; Barnard P; Carter J,2011,,,,,,,,US Geological Survey,http://pubs.usgs.gov/of/2010/1312/,,minor_error,0.86,Overview of the ARkStorm scenario,,U.S. Geological Survey Open-File Report 2010-1312,,https://pubs.usgs.gov/of/2010/1312/,web_search,"Status: minor_error (same underlying report, but the cited author list is incomplete). Because your raw citation does not use “et al.” (or an equivalent truncation marker), the bibliography is presenting that 6-person list as the author set—so the omission is a named-author metadata error. Correct work identified: title, report number (2010-1312), and year (2011) match the USGS publication record for the cited URL.",128.77,33958,1417,1,0.008563,0.005,0.013563
"8. Stendel M, Francis J, White R, Williams PD, Woollings T. The jet stream and climate change. Climate Change. Elsevier. 2021:327-57. https://doi. org/10.1016/b978-0-12-821575-3.00015-3",book_chapter,The jet stream and climate change,Stendel M; Francis J; White R; Williams PD; Woollings T,2021,,,,327-57,10.1016/b978-0-12-821575-3.00015-3,9780128215753,Climate Change,Elsevier,,,verified,0.93,The jet stream and climate change,Martin Stendel | Jennifer Francis | Rachel White | Paul D. Williams | Tim Woollings,Climate Change: Observed Impacts on Planet Earth (Elsevier),10.1016/B978-0-12-821575-3.00015-3,,web_search,Verdict: verified. I checked the DOI 10.1016/B978-0-12-821575-3.00015-3 and found it corresponds to the Elsevier chapter. Pages: 327–357 (your citation’s 327–57 is consistent with abbreviated end-page formatting). Evidence from primary sources/pages I located: https://www.met.reading.ac.uk/~williams/publications/3-s2.0-B9780128215753000153-main.pdf ; https://www.climate.ox.ac.uk/publication/1251001/scopus ; https://www.jenniferafrancis.com/other-publications ; https://www.diva-portal.org/smash/get/diva2:2027902/FULLTEXT01.pdf. Notes on minor formatting: Your page range “327-57” matches the full 327–357 page range found in the primary listings (end-page abbreviation). “Elsevier. 2021:” and the journal/venue field being written as “Climate Change” aligns with the cited book-series context used in this style.,132.31,34669,1292,1,0.008549,0.005,0.013549
"9. Kautz L-A, Martius O, Pfahl S, Pinto JG, Ramos AM, Sousa PM, et al. Atmospheric blocking and weather extremes over the Euro-Atlantic sector - a review. Weather Clim Dynam. 2022;3(1):305-36. https://doi.org/10.5194/wcd-3-305-2022",journal_article,Atmospheric blocking and weather extremes over the Euro-Atlantic sector - a review,Kautz L-A; Martius O; Pfahl S; Pinto JG; Ramos AM; Sousa PM,2022,Weather Clim Dynam,3,1,305-36,10.5194/wcd-3-305-2022,,,,,,verified,0.97,Atmospheric blocking and weather extremes over the Euro-Atlantic sector – a review,Lisa-Ann Kautz | Olivia Martius | Stephan Pfahl | Joaquim G. Pinto | Alexandre M. Ramos | Pedro M. Sousa | Tim Woollings,Weather and Climate Dynamics,10.5194/wcd-3-305-2022,,web_search,"The citation’s '305-36' is consistent with the publisher page pages 305–336 (standard truncated page range). The citation’s journal abbreviation and punctuation/hyphenation differences are cosmetic. The citation lists the first six authors followed by 'et al.', consistent with the full author list including Tim Woollings.",127.36,35285,893,2,0.008173,0.01,0.018173
"10. Lau WKM, Kim KM. The 2010 Pakistan flood and Russian heat wave: teleconnection of hydrometeorological extremes. J Hydrometeorol. 2012;13:392-403. https://doi.org/10.1175/JHM-D-11-016.1",journal_article,The 2010 Pakistan flood and Russian heat wave: teleconnection of hydrometeorological extremes,Lau WKM; Kim KM,2012,J Hydrometeorol,13,,392-403,10.1175/JHM-D-11-016.1,,,,,,verified,0.95,The 2010 Pakistan Flood and Russian Heat Wave: Teleconnection of hydrometeorological extremes,William K. M. Lau | Kyu-Myong Kim,Journal of Hydrometeorology,10.1175/JHM-D-11-016.1,,web_search,"Verification result: verified. DOI 10.1175/JHM-D-11-016.1 is associated with the title “The 2010 Pakistan Flood and Russian Heat Wave: Teleconnection of hydrometeorological extremes” and year 2012. AMS/Journals-hosted PDF bibliographic line matches the same title, same authors (initials consistent with William K. M. Lau and Kyu-Myong Kim), same journal, same volume, and same page range (13, 392–403). The flagged author mismatch appears consistent with harmless initials formatting.",133.4,35776,1496,2,0.009025,0.01,0.019025
11. Tabari H. Climate change impact on flood and extreme precipitation increases with water availability. Sci Rep. 2020;10(1):13768. https://doi. org/10.1038/s41598-020-70816-2 PMID: 32792563,journal_article,Climate change impact on flood and extreme precipitation increases with water availability,Tabari H,2020,Sci Rep,10,1,13768,10.1038/s41598-020-70816-2,,,,,,verified,1.0,Climate change impact on flood and extreme precipitation increases with water availability,Hossein Tabari,Scientific Reports,10.1038/s41598-020-70816-2,https://doi.org/10.1038/s41598-020-70816-2,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),12.27,0,0,0,0.0,0.0,0.0
12. SALTZMAN B. On the Maintenance of the Large-Scale Quasi-Permanent Disturbances in the Atmosphere. Tellus. 1959;11(4):425-31. https://doi.org/10.1111/j.2153-3490.1959.tb00052.x,journal_article,On the Maintenance of the Large-Scale Quasi-Permanent Disturbances in the Atmosphere,SALTZMAN B.,1959,Tellus,11,4,425-31,10.1111/j.2153-3490.1959.tb00052.x,,,,,,verified,1.0,On the Maintenance of the Large-Scale Quasi-Permanent Disturbances in the Atmosphere,BARRY SALTZMAN,Tellus,10.1111/j.2153-3490.1959.tb00052.x,https://doi.org/10.1111/j.2153-3490.1959.tb00052.x,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),12.61,0,0,0,0.0,0.0,0.0
13. Lorenz EN. Deterministic nonperiodic flow. J Atmos Sci. 1963;20:130-41. https://doi.org/10.1175/1520-0469(1963)020<0130:DNF>2.0.CO;2,journal_article,Deterministic nonperiodic flow,Lorenz EN,1963,Journal of the Atmospheric Sciences (J Atmos Sci),20,,130-41,10.1175/1520-0469(1963)020<0130:DNF>2.0.CO;2,,,,,,verified,1.0,Deterministic Nonperiodic Flow,Edward N. Lorenz,Journal of the Atmospheric Sciences,10.1175/1520-0469(1963)020<0130:dnf>2.0.co;2,https://doi.org/10.1175/1520-0469(1963)020<0130:dnf>2.0.co;2,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),12.94,0,0,0,0.0,0.0,0.0
