raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] Hang Chu, Shugao Ma, Fernando De la Torre, Sanja Fidler, and Yaser Sheikh. Expressive telepresence via modular codec avatars. In European Conference on Computer Vision, pages 330-345. Springer, 2020.",conference_paper,Expressive telepresence via modular codec avatars,Hang Chu | Shugao Ma | Fernando De la Torre | Sanja Fidler | Yaser Sheikh,2020,,,,330-345,,,European Conference on Computer Vision,Springer,,,verified,1.0,Expressive Telepresence via Modular Codec Avatars,Hang Chu | Shugao Ma | Fernando De la Torre | Sanja Fidler | Yaser Sheikh,Lecture Notes in Computer Science,10.1007/978-3-030-58610-2_20,https://doi.org/10.1007/978-3-030-58610-2_20,crossref_title_static,Verified via static CrossRef title search (score: 1.00),22.38,0,0,0,0.0,0.0,0.0
"[2] Guohao Li, Hongyu Yang, Yifang Men, Di Huang, Weixin Li, Ruijie Yang, and Yunhong Wang. Generating Editable Head Avatars with 3D Gaussian GANs. In 2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), pages 1-5. IEEE, 2025.",conference_paper,Generating Editable Head Avatars with 3D Gaussian GANs,Guohao Li | Hongyu Yang | Yifang Men | Di Huang | Weixin Li | Ruijie Yang | Yunhong Wang,2025,,,,1-5,,,"2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",IEEE,,,verified,1.0,Generating Editable Head Avatars with 3D Gaussian GANs,Guohao Li | Hongyu Yang | Yifang Men | Di Huang | Weixin Li | Ruijie Yang | Yunhong Wang,"ICASSP 2025 - 2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10.1109/icassp49660.2025.10887885,https://doi.org/10.1109/icassp49660.2025.10887885,crossref_title_static,Verified via static CrossRef title search (score: 1.00),22.89,0,0,0,0.0,0.0,0.0
"[3] Matthijs Van Der Boon, Leonor Fermoselle, Frank Ter Haar, Sylvie Dijkstra-Soudarissanane, and Omar Niamut. Deep learning augmented realistic avatars for social VR human representation. In Proceedings of the 2022 ACM International Conference on Interactive Media Experiences, pages 311-318, 2022.",conference_paper,Deep learning augmented realistic avatars for social VR human representation,Matthijs Van Der Boon | Leonor Fermoselle | Frank Ter Haar | Sylvie Dijkstra-Soudarissanane | Omar Niamut,2022,,,,311-318,,,Proceedings of the 2022 ACM International Conference on Interactive Media Experiences,,,,verified,1.0,Deep Learning Augmented Realistic Avatars for Social VR Human Representation,Matthijs van der Boon | Leonor Fermoselle | Frank ter Haar | Sylvie Dijkstra-Soudarissanane | Omar Niamut,ACM International Conference on Interactive Media Experiences,10.1145/3505284.3532976,https://doi.org/10.1145/3505284.3532976,crossref_title_static,Verified via static CrossRef title search (score: 1.00),23.14,0,0,0,0.0,0.0,0.0
"[4] Michael Stengel, Koki Nagano, Chao Liu, Matthew Chan, Alex Trevithick, Shalini De Mello, Jonghyun Kim, and David Luebke. AI-Mediated 3D Video Conferencing. In ACM SIGGRAPH Emerging Technologies, 2023. doi: 10.1145/3588037.3595385.",conference_paper,AI-Mediated 3D Video Conferencing,Michael Stengel | Koki Nagano | Chao Liu | Matthew Chan | Alex Trevithick | Shalini De Mello | Jonghyun Kim | David Luebke,2023,,,,,10.1145/3588037.3595385,,ACM SIGGRAPH Emerging Technologies,,,,verified,1.0,AI-Mediated 3D Video Conferencing,Michael Stengel | Koki Nagano | Chao Liu | Matthew Chan | Alex Trevithick | Shalini De Mello | Jonghyun Kim | David Luebke,ACM SIGGRAPH 2023 Emerging Technologies,10.1145/3588037.3595385,https://doi.org/10.1145/3588037.3595385,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),23.29,0,0,0,0.0,0.0,0.0
"[5] Shwetha Rajaram, Nels Numan, Balasaravanan Thoravi Kumaravel, Nicolai Marquardt, and Andrew D. Wilson. BlendScape: Enabling Unified and Personalized Video-Conferencing Environments through Generative AI. arXiv preprint arXiv:2403.13947, 2024.",working_paper,BlendScape: Enabling Unified and Personalized Video-Conferencing Environments through Generative AI,Shwetha Rajaram | Nels Numan | Balasaravanan Thoravi Kumaravel | Nicolai Marquardt | Andrew D. Wilson,2024,arXiv,,2403.13947,,,,,,,,minor_error,0.88,BlendScape: Enabling End-User Customization of Video-Conferencing Environments through Generative AI,Shwetha Rajaram | Nels Numan | Balasaravanan Thoravi Kumaravel | Nicolai Marquardt | Andrew D. Wilson,arXiv,,https://arxiv.org/abs/2403.13947,web_search,"Verdict: minor_error (is_fundamentally_same_work = true). The arXiv identifier 2403.13947 and authors match, but the cited title text differs from the official arXiv title.",171.18,33708,1050,1,0.008054,0.005,0.013054
"[6] Zhengang Li, Sheng Lin, Shan Liu, Songnan Li, Xue Lin, Wei Wang, and Wei Jiang. FAIVConf: Face Enhancement for AI-based Video Conference with Low Bit-rate. arXiv preprint arXiv:2207.04090, 2022.",working_paper,FAIVConf: Face Enhancement for AI-based Video Conference with Low Bit-rate,Zhengang Li | Sheng Lin | Shan Liu | Songnan Li | Xue Lin | Wei Wang | Wei Jiang,2022,arXiv,,2207.0409,,,,,,,,verified,1.0,FAIVconf: Face Enhancement for AI-Based Video Conference with Low Bit-Rate,Zhengang Li | Sheng Lin | Shan Liu | Songnan Li | Xue Lin | Wei Wang | Wei Jiang,2022 IEEE International Conference on Multimedia and Expo Workshops (ICMEW),10.1109/icmew56448.2022.9859370,https://doi.org/10.1109/icmew56448.2022.9859370,crossref_title_static,Verified via static CrossRef title search (score: 1.00),24.15,0,0,0,0.0,0.0,0.0
"[7] Ross Cutler, Ramin Mehran, Sam Johnson, Cha Zhang, Adam Kirk, Oliver Whyte, and Adarsh Kowdle. Multimodal Active Speaker Detection and Virtual Cinematography for Video Conferencing. arXiv preprint arXiv:2002.03977, 2020.",working_paper,Multimodal Active Speaker Detection and Virtual Cinematography for Video Conferencing,Ross Cutler | Ramin Mehran | Sam Johnson | Cha Zhang | Adam Kirk | Oliver Whyte | Adarsh Kowdle,2020,arXiv,,2002.03977,,,,,,,,verified,1.0,Multimodal Active Speaker Detection and Virtual Cinematography for Video Conferencing,Ross Cutler | Ramin Mehran | Sam Johnson | Cha Zhang | Adam Kirk | Oliver Whyte | Adarsh Kowdle,"ICASSP 2020 - 2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10.1109/icassp40776.2020.9053171,https://doi.org/10.1109/icassp40776.2020.9053171,crossref_title_static,Verified via static CrossRef title search (score: 1.00),24.34,0,0,0,0.0,0.0,0.0
"[8] Ting-Chun Wang, Arun Mallya, and Ming-Yu Liu. One-Shot Free-View Neural Talking-Head Synthesis for Video Conferencing. In Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pages 10039-10049, 2021. doi: 10.1109/CVPR46437.2021.00991.",conference_paper,One-Shot Free-View Neural Talking-Head Synthesis for Video Conferencing,Ting-Chun Wang | Arun Mallya | Ming-Yu Liu,2021,,,,10039-10049,10.1109/CVPR46437.2021.00991,,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,,,verified,1.0,One-Shot Free-View Neural Talking-Head Synthesis for Video Conferencing,Ting-Chun Wang | Arun Mallya | Ming-Yu Liu,2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr46437.2021.00991,https://doi.org/10.1109/cvpr46437.2021.00991,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),24.61,0,0,0,0.0,0.0,0.0
"[9] Haonan Tong, Haopeng Li, Hongyang Du, Zhaohui Yang, Changchuan Yin, and Dusit Niyato. Multimodal Semantic Communication for Generative Audio-Driven Video Conferencing. arXiv preprint arXiv:2410.22112, 2024.",working_paper,Multimodal Semantic Communication for Generative Audio-Driven Video Conferencing,Haonan Tong | Haopeng Li | Hongyang Du | Zhaohui Yang | Changchuan Yin | Dusit Niyato,2024,arXiv,,2410.22112,,,,,,,,verified,1.0,Multimodal Semantic Communication for Generative Audio-Driven Video Conferencing,Haonan Tong | Haopeng Li | Hongyang Du | Zhaohui Yang | Changchuan Yin | Dusit Niyato,IEEE Wireless Communications Letters,10.1109/lwc.2024.3488859,https://doi.org/10.1109/lwc.2024.3488859,crossref_title_static,Verified via static CrossRef title search (score: 1.00),25.04,0,0,0,0.0,0.0,0.0
"[10] Danial Samadi Vahdati, Tai Duc Nguyen, and Matthew C. Stamm. Defending Low-Bandwidth Talking Head Videoconferencing Systems From Real-Time Puppeteering Attacks. In Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) Workshops, pages 983-992, June 2023.",conference_paper,Defending Low-Bandwidth Talking Head Videoconferencing Systems From Real-Time Puppeteering Attacks,Danial Samadi Vahdati | Tai Duc Nguyen | Matthew C. Stamm,2023,,,,983-992,,,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) Workshops,,,,verified,1.0,Defending Low-Bandwidth Talking Head Videoconferencing Systems From Real-Time Puppeteering Attacks,Danial Samadi Vahdati | Tai Duc Nguyen | Matthew C. Stamm,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),10.1109/cvprw59228.2023.00105,https://doi.org/10.1109/cvprw59228.2023.00105,crossref_title_static,Verified via static CrossRef title search (score: 1.00),25.46,0,0,0,0.0,0.0,0.0
