raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Abbott, S., 2016. Understanding analysis. volume 2. Springer.",book,Understanding analysis,"Abbott, S.",2016,,2,,,,9781493950263,,Springer,,,verified,1.0,Understanding Analysis,Stephen Abbott,Undergraduate Texts in Mathematics,10.1007/978-1-4939-2712-8,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),8.21,0,0,0,0.0,0.0,0.0
"Acemoglu, D., Bimpikis, K., Ozdaglar, A., 2009. Price and capacity competition. Games and Economic Behavior 66, 1-26.",journal_article,Price and capacity competition,"Acemoglu, D. | Bimpikis, K. | Ozdaglar, A.",2009,Games and Economic Behavior,66,,1-26,,,,,,,verified,1.0,Price and capacity competition,Daron Acemoglu | Kostas Bimpikis | Asuman Ozdaglar,Games and Economic Behavior,10.1016/j.geb.2008.06.004,https://doi.org/10.1016/j.geb.2008.06.004,crossref_title_static,Verified via static CrossRef title search (score: 1.00),8.48,0,0,0,0.0,0.0,0.0
"Agosti, M., Pretto, L., 2005. A theoretical study of a generalized version of kleinberg’s hits algorithm. Information Retrieval 8, 219-243.",journal_article,A theoretical study of a generalized version of kleinberg’s hits algorithm,"Agosti, M. | Pretto, L.",2005,Information Retrieval,8,,219-243,,,,,,,verified,1.0,A Theoretical Study of a Generalized Version of Kleinberg’s HITS Algorithm,Maristella Agosti | Luca Pretto,Information Retrieval,10.1007/s10791-005-5660-1,https://doi.org/10.1007/s10791-005-5660-1,crossref_title_static,Verified via static CrossRef title search (score: 1.00),8.81,0,0,0,0.0,0.0,0.0
"Amazon Web Services, 2024. Aws lambda pricing. https://aws.amazon. com/fr/lambda/pricing/. Accessed: 2024-07-18.",web,Aws lambda pricing,Amazon Web Services,2024,,,,,,,,,https://aws.amazon.com/fr/lambda/pricing/,,not_found,0.72,AWS Lambda Pricing,Amazon Web Services,Amazon Web Services (AWS),,https://aws.amazon.com/lambda/pricing/,web_search,"The report could confirm a live AWS page titled “AWS Lambda Pricing” at https://aws.amazon.com/lambda/pricing/, but it does not confirm the exact cited French-locale URL structure (/fr/lambda/pricing/) nor the URL string exactly as written (including the apparent spacing issue: `aws.amazon. com`). Therefore the exact cited resource identity cannot be affirmed.",70.75,33274,940,1,0.00783,0.005,0.01283
"Ardagna, D., Panicucci, B., Passacantando, M., 2012. Generalized nash equilibria for the service provisioning problem in cloud systems. IEEE Transactions on Services Computing 6, 429-442.",journal_article,Generalized nash equilibria for the service provisioning problem in cloud systems,"Ardagna, D. | Panicucci, B. | Passacantando, M.",2012,IEEE Transactions on Services Computing,6,,429-442,,,,,,,minor_error,1.0,Generalized Nash Equilibria for the Service Provisioning Problem in Cloud Systems,Danilo Ardagna | Barbara Panicucci | Mauro Passacantando,IEEE Transactions on Services Computing,10.1109/tsc.2012.14,https://doi.org/10.1109/tsc.2012.14,crossref_title_static,"Verified via static CrossRef title search (score: 1.00) Same work identified, but the citation year (2012) does not match the volume/issue (published-print) year (2013) while volume/article coordinates are present — typically online-first vs issue year; minor_error.",9.47,0,0,0,0.0,0.0,0.0
"Başar, T., Olsder, G.J., 1998. Dynamic noncooperative game theory. SIAM.",book,Dynamic noncooperative game theory,"Başar, T. | Olsder, G.J.",1998,,,,,,9781611971132,,SIAM,,,verified,0.86,Dynamic Noncooperative Game Theory,Tamer Başar | Geert Jan Olsder,SIAM Classics in Applied Mathematics,,,web_search,"Verdict: verified. Match found on SIAM landing page: Published: 1998. Conclusion: the cited work exists and matches as Başar & Olsder (1998), Dynamic noncooperative game theory, SIAM.",71.08,33621,862,1,0.007802,0.005,0.012802
"Başar, T., Srikant, R., 2002. Revenue-maximizing pricing and capacity expansion in a many-users regime, in: Proceedings of IEEE INFOCOM, IEEE. pp. 294-301.",conference_paper,Revenue-maximizing pricing and capacity expansion in a many-users regime,"Başar, T. | Srikant, R.",2002,,,,294-301,,,Proceedings of IEEE INFOCOM,IEEE,,,verified,0.93,Revenue-maximizing pricing and capacity expansion in a many-users regime,T. Başar | R. Srikant,Proceedings of IEEE Information Communications Conference (INFOCOM 2002),10.1109/INFCOM.2002.1019271,https://www.computer.org/csdl/proceedings-article/infcom/2002/01019271/12OmNvlg8nw,web_search,"Reasoning (title/author/venue match): The exact paper title is listed in Proceedings of IEEE INFOCOM 2002; authors are T. Başar and R. Srikant; page range includes 294–301; DOI is 10.1109/INFCOM.2002.1019271. Matched evidence includes IEEE Computer Society CSDL proceedings page. The citation omits the DOI, which does not affect verification.",71.04,33664,829,1,0.007769,0.005,0.012769
"Beaude, O., Lasaulce, S., Hennebel, M., 2012. Charging games in networks of electrical vehicles, in: 2012 6th International Conference on Network Games, Control and Optimization (NetGCooP), IEEE. pp. 96-103.",conference_paper,Charging games in networks of electrical vehicles,"Beaude, O. | Lasaulce, S. | Hennebel, M.",2012,,,,96-103,,,"2012 6th International Conference on Network Games, Control and Optimization (NetGCooP)",IEEE,,,verified,0.86,Charging games in networks of electrical vehicles,O. Beaude | S. Lasaulce | M. Hennebel,IEEE NetGCooP,,,web_search,"Result indicates a relevant record explicitly matching the work title and author trio, with IEEE NetGCooP 2012 pages 96–103. No direct publisher/DOI landing-page URL was captured from the tool outputs provided.",71.19,33454,1076,1,0.008036,0.005,0.013036
"Bouet, M., Conan, V., 2018. Mobile edge computing resources optimization: A geo-clustering approach. IEEE Transactions on Network and Service Management 15, 787-796.",journal_article,Mobile edge computing resources optimization: A geo-clustering approach,"Bouet, M. | Conan, V.",2018,IEEE Transactions on Network and Service Management,15,,787-796,,,,,,,verified,1.0,Mobile Edge Computing Resources Optimization: A Geo-Clustering Approach,Mathieu Bouet | Vania Conan,IEEE Transactions on Network and Service Management,10.1109/tnsm.2018.2816263,https://doi.org/10.1109/tnsm.2018.2816263,crossref_title_static,Verified via static CrossRef title search (score: 1.00),10.89,0,0,0,0.0,0.0,0.0
"Boyd, S.P., Vandenberghe, L., 2004. Convex Optimization. Cambridge University Press.",book,Convex Optimization,"Boyd, S.P. | Vandenberghe, L.",2004,,,,,,9780511804441,,Cambridge University Press,,,verified,1.0,Convex Optimization,Stephen Boyd | Lieven Vandenberghe,,10.1017/cbo9780511804441,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),11.11,0,0,0,0.0,0.0,0.0
