raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[2] Mares, D., & Blackburn, E. (2021). Evaluating the Impact of ShotSpotter Technology on Firearm Homicides and Arrests. Criminal Justice Policy Review. https://doi.org/10.1177/0887403421992907",journal_article,Evaluating the Impact of ShotSpotter Technology on Firearm Homicides and Arrests,"Mares, D. | Blackburn, E.",2021,Criminal Justice Policy Review,,,,10.1177/0887403421992907,,,,,,not_found,0.62,,,,,,web_search,"The report states that web search produced general/secondary results and references related to ShotSpotter, but that the conversation/tool results do not contain primary bibliographic or DOI landing-page evidence confirming the exact article metadata/title/authors and that DOI 10.1177/0887403421992907 resolves to the specific Criminal Justice Policy Review article as cited.",112.56,33538,793,1,0.007699,0.005,0.012699
[11] National Institute of Justice. (2022). Acoustic Gunshot Detection: A Review of the Evidence. https://nij.ojp.gov/library/publications/acoustic-gunshot-detection-reviewevidence,book,Acoustic Gunshot Detection: A Review of the Evidence,National Institute of Justice,2022,,,,,,,,,https://nij.ojp.gov/library/publications/acoustic-gunshot-detection-review-evidence,,not_found,0.78,,,,,,web_search,"Upstream report: checked the cited NIJ library publication URL for the NIJ publication titled “Acoustic Gunshot Detection: A Review of the Evidence” (National Institute of Justice, 2022). No matching NIJ record found for that exact title at that URL. Closely related NIJ items mentioned included “Gunshot Detection: Reducing Gunfire through Acoustic Technology” (published October 2022), but this was not verified as the cited work.",88.55,33587,776,1,0.007687,0.005,0.012687
"[15] Piza, E. L., et al. (2023). Gunshot Detection Technology and Police Response: A Quasi-Experimental Evaluation. Journal of Experimental Criminology. https://doi.org/10.1007/s11292-023-09553-z",journal_article,Gunshot Detection Technology and Police Response: A Quasi-Experimental Evaluation,"Piza, E. L. | et al.",2023,Journal of Experimental Criminology,,,,10.1007/s11292-023-09553-z,,,,,,not_found,0.74,,,,,,web_search,"Checked DOI https://doi.org/10.1007/s11292-023-09553-z and the cited title in the available conversation results; no matching record was shown. Closest results found were “Acoustic gunshot detection systems: a quasi-experimental evaluation in St. Louis, MO” (DOI 10.1007/s11292-019-09405-x), which has a different DOI and different title, plus a related gunshot detection/quasi-experimental evaluation page that was not the cited DOI/title.",111.25,33752,870,1,0.007838,0.005,0.012838
[19] Dallas Police Department. (2015). ShotSpotter Evaluation Report. https://dallaspolice.net/Reports/shotspotter2015.pdf,book,ShotSpotter Evaluation Report,Dallas Police Department,2015,,,,,,,,,https://dallaspolice.net/Reports/shotspotter2015.pdf,,not_found,0.72,,,,,https://dallaspolice.net/Reports/shotspotter2015.pdf,web_search,Upstream verification attempted to locate the PDF at the exact URL https://dallaspolice.net/Reports/shotspotter2015.pdf and found no evidence that this specific PDF exists at that path; therefore the cited work could not be verified as stated.,88.26,33568,592,1,0.007454,0.005,0.012454
[22] Government Technology. (2022). ShotSpotter: Technology That Doesn’t Stop Crime? https://www.govtech.com/public-safety/shotspotter-technology-that-doesnt-stopcrime,web,ShotSpotter: Technology That Doesn’t Stop Crime?,Government Technology,2022,,,,,,,,,https://www.govtech.com/public-safety/shotspotter-technology-that-doesnt-stop-crime,,not_found,0.72,,,,,,web_search,"Could not confirm the existence of the specific GovTech webpage with the exact URL and title: URL `https://www.govtech.com/public-safety/shotspotter-technology-that-doesnt-stopcrime`, title “ShotSpotter: Technology That Doesn’t Stop Crime?”, author/org “Government Technology”, year 2022. Web search returned only other ShotSpotter-related GovTech pages with different URLs/titles; without directly opening/validating the cited page, the work cannot be verified as stated.",88.95,33365,732,1,0.007588,0.005,0.012588
[24] Kansas City Council Budget. (2023). Police Technology Spending Report. https://www.kcmo.gov/Home/Components/News/News/2166/16,book,Police Technology Spending Report,Kansas City Council Budget,2023,,,,,,,,,https://www.kcmo.gov/Home/Components/News/News/2166/16,,not_found,0.74,,,,,,web_search,"The upstream report could not confirm that a document titled ""Police Technology Spending Report"" exists at https://www.kcmo.gov/Home/Components/News/News/2166/16, and no exact title+URL match appeared in the available web search results.",89.26,33012,729,1,0.007514,0.005,0.012514
[26] Vera Institute of Justice. (2021). Emerging Police Technologies and Their Costs. https://www.vera.org/publications/emerging-police-technologies,book,Emerging Police Technologies and Their Costs,Vera Institute of Justice,2021,,,,,,,,,https://www.vera.org/publications/emerging-police-technologies,,not_found,0.74,,,,,,web_search,"Web-search evidence returned Vera pages for other publications, but not the exact cited work title or the specific Vera URL path /emerging-police-technologies.",91.66,33585,698,1,0.007589,0.005,0.012589
[28] Springfield City Council. (2021). ShotSpotter Contract Approval. https://www.springfield.il.us/Government/ViewOrdinance.aspx?OrdID=37431,book,ShotSpotter Contract Approval,Springfield City Council,2021,,,,,,,,,https://www.springfield.il.us/Government/ViewOrdinance.aspx?OrdID=37431,,not_found,0.72,,,,,,web_search,Upstream report could not locate a primary record confirming the exact municipal ordinance page at OrdID=37431 or that it matches the title “ShotSpotter Contract Approval” for 2021. Search results returned general news articles but did not independently verify the specific cited ordinance page identity; therefore status set to not_found.,91.38,33327,734,1,0.007583,0.005,0.012583
[30] Elmwood Park Police Department. (2022). Acoustic Detection Contract Details. https://elmwoodpark.org/wp-content/uploads/2022/03/ShotSpotter-Contract.pdf,book,Acoustic Detection Contract Details,Elmwood Park Police Department,2022,,,,,,,,,https://elmwoodpark.org/wp-content/uploads/2022/03/ShotSpotter-Contract.pdf,,not_found,0.7,,,,,,web_search,Upstream report determined the citation cannot be verified because the provided web search results did not confirm that the exact PDF exists at the exact URL and matches the cited title/attribution.,91.22,33246,709,1,0.007535,0.005,0.012535
"[41] Piza, E. L., & Welsh, B. C. (2019). The Effects of Gunshot Detection Technology on Gun Violence: A Randomized Controlled Trial. Justice Quarterly. https://doi.org/10.1080/07418825.2018.1488126",journal_article,The Effects of Gunshot Detection Technology on Gun Violence: A Randomized Controlled Trial,"Piza, E. L. | Welsh, B. C.",2019,Justice Quarterly,,,,10.1080/07418825.2018.1488126,,,,,,not_found,0.74,,,,,,web_search,"No primary bibliographic record matching the exact DOI together with the exact title and authors was found. A returned DOI-bearing item appears to be for a different DOI (10.1111/1745-9133.12648), so it does not substantiate the claimed Justice Quarterly article.",112.13,33737,732,1,0.007662,0.005,0.012662
