raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
1. Review-of-predicting-crime-rates.pdf,web,,,,,,,,,,,,Review-of-predicting-crime-rates.pdf,,not_found,0.95,,,,,,web_search,"The citation is effectively a filename/URL-like entry (`Review-of-predicting-crime-rates.pdf`) with no author, title, year, venue/publisher, or DOI/ISBN. Under the provided rules, such filename-only/incomplete entries are treated as not_found because the work cannot be uniquely identified. Partial snippets mentioned a different document (“Predicting Crime: A Review of the Research”, Department of Justice Canada, 2002), but there is no evidence this filename corresponds to that specific report.",43.18,33584,689,1,0.007578,0.005,0.012578
10. https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf,web,,,,,,,,,,,,https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf,,not_found,0.74,,,,,https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf,web_search,"The citation is URL-only (no author/title/year/venue fields). Per verification rules, a URL-only bibliographic item cannot be confirmed as a specific academic work identity from the citation text alone. Prior search results suggest the PDF at https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf appears to be a “Results in Brief” document for the NIJ 6-City Study, but the cited entry itself lacks the bibliographic metadata needed to verify the work as cited. The PDF URL appears reachable (not a dead/404 link) based on prior search results. Cited URL is live/reachable (https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf), but the bibliography entry has no authors or real title — not_found (incomplete URL-only citation).",43.52,33419,760,1,0.007634,0.005,0.012634
11. https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/,web,,,,,,,,,,,,https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/,,not_found,0.86,,,,,,web_search,"The upstream verification result is not_found because the bibliography entry is URL-only and lacks authors/title/year or other bibliographic identifiers. Upstream notes that the page appears to exist (dated 2025-01-01), but the citation cannot be treated as a complete academic reference for verification purposes. Cited URL is dead/unreachable (https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/); entry also has no authors or real title — not_found (incomplete citation).",42.25,33536,771,1,0.007671,0.005,0.012671
12. https://apbweb.com/2024/06/evidence-based-policing/,web,,,,,,,,,,,,https://apbweb.com/2024/06/evidence-based-policing/,,not_found,0.9,,,,,https://apbweb.com/2024/06/evidence-based-policing/,web_search,"Upstream report concludes this is URL-only/incomplete bibliographic metadata (no title and no author names). Even though the page appears to exist and is accessible, the entry cannot be verified as cited. The page is titled “Evidence-based policing” on apbweb.com and is dated June 19, 2024 per the prior lookup. Cited URL is live/reachable (https://apbweb.com/2024/06/evidence-based-policing/), but the bibliography entry has no authors or real title — not_found (incomplete URL-only citation).",42.36,33262,654,1,0.00747,0.005,0.01247
13. https://www.bloomberg.com/news/articles/2025-11-20/kalshi-and-polymarket-battle-gambling-companies-in-prediction-market-frenzy,web,,,,,,,,,,,,https://www.bloomberg.com/news/articles/2025-11-20/kalshi-and-polymarket-battle-gambling-companies-in-prediction-market-frenzy,,not_found,0.88,,,,,,web_search,"Bibliography entry is URL-only (Bloomberg News link) with no concrete title/authors/year fields in the citation text itself. Per rules, URL-only/incomplete citations without a concrete title (and/or authors) cannot be verified as a specific publication and must be marked not_found, even if a matching page appears to exist. Cited URL is dead/unreachable (https://www.bloomberg.com/news/articles/2025-11-20/kalshi-and-polymarket-battle-gambling-companies-in-prediction-market-frenzy); entry also has no authors or real title — not_found (incomplete citation).",45.09,33622,798,1,0.007722,0.005,0.012722
14. https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html,web,,,,,,,,,,,,https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html,,not_found,0.86,,,,,https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html,web_search,"A web search result in the conversation indicates that this Yahoo Finance page appears to exist (with a publication/update date), but since the bibliography entry itself contains no title/authors, it still cannot be verified as a complete citation under the required criteria. Cited URL is live/reachable (https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html), but the bibliography entry has no authors or real title — not_found (incomplete URL-only citation).",44.71,33509,623,1,0.007481,0.005,0.012481
15. https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1bround/,web,,,,,,,,,,,,https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1bround/,,not_found,0.86,,,,,,web_search,"Upstream report status not_found. Reasoning: URL-only/incomplete citation (no title/authors/year provided; title field is null). Upstream context only: the TechCrunch URL appears reachable and corresponds to a real TechCrunch post dated 2025-11-20 with headline beginning ""Kalshi’s valuation jumps to $11B after raising massive $1B round …"". Liveness does not upgrade status under the rules. Cited URL is dead/unreachable (https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1bround/); entry also has no authors or real title — not_found (incomplete citation).",46.41,33359,788,1,0.007657,0.005,0.012657
16. https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025,web,,,,,,,,,,,,https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025,,not_found,0.86,,,,,https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025,web_search,"The bibliography entry is effectively URL-only (it provides only the link, with no author, title, year, or other bibliographic fields in the citation text). Per the rules, URL-only entries are not eligible to be marked verified even if the URL appears to resolve. From the earlier web search result: there is a Trust Wallet blog post titled “Best Crypto Prediction Markets in 2025” at a Trust Wallet URL (search result indicates it’s a real page). However, because the cited bibliography entry itself does not provide a title/author (only the URL), it cannot be verified as cited, so status is not_found. Cited URL is live/reachable (https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025), but the bibliography entry has no authors or real title — not_found (incomplete URL-only citation).",45.73,32964,710,1,0.00748,0.005,0.01248
17. https://defirate.com/prediction-markets/,web,,,,,,,,,,,,https://defirate.com/prediction-markets/,,not_found,0.9,,,,,https://defirate.com/prediction-markets/,web_search,"Upstream report reasoning: the bibliography entry is essentially URL-only (no title and no authors). Under the task rules, URL-only/incomplete entries cannot be upgraded to verified even if the destination page appears to exist. The URL appears reachable, but completeness requirements are not met for this citation record.",47.02,33341,749,1,0.007604,0.005,0.012604
18. https://heitnerlegal.com/2025/10/22/prediction-market-regulation-legal-compliance-guide-for-polymarketkalshi-and-event-contract-startups/,web,,,,,,,,,,,,https://heitnerlegal.com/2025/10/22/prediction-market-regulation-legal-compliance-guide-for-polymarketkalshi-and-event-contract-startups/,,not_found,0.9,,,,,,web_search,"Upstream result: the entry is essentially URL-only with missing/null bibliographic fields (title/authors/publication date). The URL appears reachable and is labeled dated 2025-10-22, but under the task rules URL-only/insufficient bibliographic metadata entries are not eligible for verified or minor_error and must be not_found unless the provided bibliography record contains sufficient identifiers. Cited URL is dead/unreachable (https://heitnerlegal.com/2025/10/22/prediction-market-regulation-legal-compliance-guide-for-polymarketkalshi-and-event-contract-startups/); entry also has no authors or real title — not_found (incomplete citation).",48.73,33887,890,1,0.00789,0.005,0.01289
19. https://jasher.substack.com/p/the-10-dos-and-500-donts-of-the-fbis,web,,,,,,,,,,,,https://jasher.substack.com/p/the-10-dos-and-500-donts-of-the-fbis,,not_found,1.0,,,,,https://jasher.substack.com/p/the-10-dos-and-500-donts-of-the-fbis,,"Upstream report: URL-only bibliography entry (no title/authors in raw_text) must be marked not_found even if the destination page appears to exist. Cited URL is live/reachable (https://jasher.substack.com/p/the-10-dos-and-500-donts-of-the-fbis), but the bibliography entry has no authors or real title — not_found (incomplete URL-only citation).",46.55,33543,530,1,0.007371,0.005,0.012371
2. Review-of-prediction-markets.pdf,web,,,,,,,,,,,,Review-of-prediction-markets.pdf,,not_found,0.95,,,,,,web_search,"The provided “citation” is essentially a filename/label: `2. Review-of-prediction-markets.pdf`, with no authors, no title, and no accessible URL/identifier for the actual document. Per the verification rules, a bibliography entry that is URL-only/filename-only without sufficient bibliographic identifiers cannot be confirmed as a specific academic/legal work, so it cannot be marked verified or minor_error. The prior web search surfaced other prediction-markets papers/reports (e.g., “Accuracy and Forecast Standard Error of Prediction Markets” and “Prediction Markets: A Systematic Review and Meta-Analysis”), but none of the results directly confirm that a document named exactly `Review-of-prediction-markets.pdf` is the cited work. The entry does not contain enough information to uniquely identify the underlying document; therefore it remains not_found.",45.89,33399,737,1,0.007601,0.005,0.012601
20. https://www.themarshallproject.org/2023/07/13/fbi-crime-rates-data-gap-nibrs,web,,,,,,,,,,,,https://www.themarshallproject.org/2023/07/13/fbi-crime-rates-data-gap-nibrs,,not_found,0.86,,,,,https://www.themarshallproject.org/2023/07/13/fbi-crime-rates-data-gap-nibrs,web_search,"The upstream report states the citation entry is effectively URL-only (no title, authors, or date/year in raw_text). The URL appears reachable/live and corresponds to a The Marshall Project page dated 2023-07-13, but the citation format is insufficient for verification per the rules. Cited URL is live/reachable (https://www.themarshallproject.org/2023/07/13/fbi-crime-rates-data-gap-nibrs), but the bibliography entry has no authors or real title — not_found (incomplete URL-only citation).",47.01,33752,721,1,0.007652,0.005,0.012652
21. https://kalshi.com,web,,,,,,,,,,,,https://kalshi.com,,not_found,0.98,,,,,,,"Upstream report classifies the entry as bare URL/domain-only with no author(s) and no specific work title, so it cannot be verified as a complete bibliographic reference to a particular item. Cited URL is dead/unreachable (https://kalshi.com); entry also has no authors or real title — not_found (incomplete citation).",46.65,33007,556,1,0.007296,0.005,0.012296
22. https://finance.yahoo.com/news/kalshi-early-leader-prediction-markets-112701302.html,web,,,,,,,,,,,,https://finance.yahoo.com/news/kalshi-early-leader-prediction-markets-112701302.html,,not_found,0.9,,,,,https://finance.yahoo.com/news/kalshi-early-leader-prediction-markets-112701302.html,web_search,"The URL appears reachable and corresponds to a Yahoo Finance news article, but since the citation entry is URL-only (no title/authors), I cannot mark the work as verified. Cited URL is live/reachable (https://finance.yahoo.com/news/kalshi-early-leader-prediction-markets-112701302.html), but the bibliography entry has no authors or real title — not_found (incomplete URL-only citation).",48.93,33390,620,1,0.007453,0.005,0.012453
23. https://kpmg.com/kpmg-us/content/dam/kpmg/pdf/2025/current-state-prediction-markets.pdf,web,,,,,,,,,,,,https://kpmg.com/kpmg-us/content/dam/kpmg/pdf/2025/current-state-prediction-markets.pdf,,not_found,0.86,,,,,https://kpmg.com/kpmg-us/content/dam/kpmg/pdf/2025/current-state-prediction-markets.pdf,web_search,"Upstream report rationale: URL-only bibliography entry (no title/authors/year metadata in the citation text) cannot be upgraded to verified even if the URL appears to resolve. The URL appears to correspond to a KPMG PDF titled “The Current State of Prediction Markets”, but this is not sufficient to verify the entry as written. Cited URL is live/reachable (https://kpmg.com/kpmg-us/content/dam/kpmg/pdf/2025/current-state-prediction-markets.pdf), but the bibliography entry has no authors or real title — not_found (incomplete URL-only citation).",58.21,33191,721,1,0.007539,0.005,0.012539
24. How-to-write-for-Annual-Reviews.pdf,web,,,,,,,,,,,,How-to-write-for-Annual-Reviews.pdf,,not_found,0.86,,,,,,web_search,Citation is filename/URL-only (no authors/title/year/publisher). Search results did not establish a precise match to the document ‘How-to-write-for-Annual-Reviews.pdf’. Bibliography entry has no authors or real title (URL/filename-only) — not_found.,57.41,33636,668,1,0.007562,0.005,0.012562
25. https://www.cbsnews.com/news/wanna-bet-online-prediction-markets-wager-that-you-will/,web,,,,,,,,,,,,https://www.cbsnews.com/news/wanna-bet-online-prediction-markets-wager-that-you-will/,,not_found,0.93,,,,,https://www.cbsnews.com/news/wanna-bet-online-prediction-markets-wager-that-you-will/,web_search,"The citation entry is URL-only (no authors, no title, and no other bibliographic identifiers in raw_text). Although the URL appears to resolve to a real CBS News story titled “Wanna bet? Online prediction markets wager that you will”, the bibliography entry itself lacks the bibliographic details needed to verify it as a specific publication. Cited URL is live/reachable (https://www.cbsnews.com/news/wanna-bet-online-prediction-markets-wager-that-you-will/), but the bibliography entry has no authors or real title — not_found (incomplete URL-only citation).",57.78,33612,583,1,0.007451,0.005,0.012451
26. https://www.businessinsider.com/kalshi-polymarket-fanduel-draftkings-sports-betting-gambling-2025-11,web,,,,,,,,,,,,https://www.businessinsider.com/kalshi-polymarket-fanduel-draftkings-sports-betting-gambling-2025-11,,not_found,0.78,,,,,https://www.businessinsider.com/kalshi-polymarket-fanduel-draftkings-sports-betting-gambling-2025-11,web_search,"The entry is URL-only with no concrete title/authors/year in the citation text; under the URL-only/no-title-and-no-authors rule it cannot be verified as a specific bibliographic work. The URL appears reachable and corresponds to a Business Insider page titled “Everything's casino” published 2025-11-06, but the citation provided lacks the missing bibliographic fields. Cited URL is live/reachable (https://www.businessinsider.com/kalshi-polymarket-fanduel-draftkings-sports-betting-gambling-2025-11), but the bibliography entry has no authors or real title — not_found (incomplete URL-only citation).",56.91,33427,712,1,0.007575,0.005,0.012575
"27. https://www.accc.gov.au/system/files/ACCC+commissioned+report+-+The+impact+of+digital+platforms+on+news+and+journalistic+content,+Centre+for+Media+Transition+(2).pdf",web,,,,,,,,,,,,"https://www.accc.gov.au/system/files/ACCC+commissioned+report+-+The+impact+of+digital+platforms+on+news+and+journalistic+content,+Centre+for+Media+Transition+(2).pdf",,not_found,0.78,,,,,"https://www.accc.gov.au/system/files/ACCC+commissioned+report+-+The+impact+of+digital+platforms+on+news+and+journalistic+content,+Centre+for+Media+Transition+(2).pdf",web_search,"Upstream report status is not_found because the bibliography entry is effectively URL-only (no title/authors/year in the citation text itself), so the work cannot be confirmed as a specific bibliographic reference under the verification rules. Upstream mentions a real report likely matching the PDF: 'The Impact of Digital Platforms on News and Journalistic Content' associated with the ACCC Digital Platforms Inquiry, with a date of 10 Dec 2018, and references an ACCC commissioned research listing and a UTS repository record; however, the upstream concludes that because the citation entry itself does not provide bibliographic identifiers, verification remains not_found. Cited URL is live/reachable (https://www.accc.gov.au/system/files/ACCC+commissioned+report+-+The+impact+of+digital+platforms+on+news+and+journalistic+content,+Centre+for+Media+Transition+(2).pdf), but the bibliography entry has no authors or real title — not_found (incomplete URL-only citation).",57.43,33800,1078,1,0.008108,0.005,0.013108
