document,citation_count,verified,not_found,minor_error,hallucination,uncertain,possible_hallucination,elapsed_seconds,avg_seconds_per_citation,max_seconds_per_citation,p95_seconds_per_citation,total_citation_latency_seconds,input_tokens,output_tokens,total_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
13335_Efficient_semantic_uncer,73,67,5,0,1,0,0,363.25,49.06,154.22,122.57,3581.54,1011092,26164,1037256,31,0.234925,0.155,0.389924
1_perspective_PLOSWater_preview,67,49,4,12,2,0,0,254.15,95.59,163.85,148.55,6404.68,1593693,47401,1641094,54,0.377989,0.27,0.64799
23812_Unmasking_Puppeteers_Lev,72,66,0,6,0,0,0,258.74,37.56,171.18,74.27,2704.15,167798,4443,172241,5,0.039113,0.025,0.064113
24047_Fourier_Token_Merging_Un,32,20,3,3,6,0,0,230.47,73.47,171.18,150.32,2350.88,404300,11313,415613,12,0.095002,0.06,0.155002
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,104,92,5,7,0,0,0,434.39,65.5,156.35,151.03,6811.64,1111610,29124,1140734,33,0.258729,0.165,0.423728
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,156,142,7,7,0,0,0,314.05,35.8,105.26,93.79,5584.62,872534,23638,896172,26,0.204057,0.13,0.334056
2606.11565v1,38,17,9,4,8,0,0,249.93,69.29,102.43,100.44,2632.84,881104,23293,904397,27,0.205337,0.135,0.340338
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,36,32,0,3,1,0,0,126.23,39.65,104.79,101.33,1427.45,204082,5282,209364,7,0.047419,0.035,0.082419
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,75,59,4,12,0,0,0,253.49,40.25,110.31,89.98,3019.08,804311,20962,825273,24,0.187067,0.12,0.307067
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,35,30,3,1,1,0,0,121.4,50.1,93.48,92.21,1753.66,371237,9186,380423,11,0.085729,0.055,0.140729
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,76,66,2,6,2,0,0,176.85,39.0,136.6,90.2,2963.89,477738,13240,490978,17,0.112098,0.085,0.197098
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,76,66,0,3,7,0,0,182.44,38.72,104.08,98.81,2942.61,456391,13860,470251,16,0.108604,0.08,0.188604
