raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] Ackerman W.V., Murray A.T. Assessing Spatial Patterns of Crime in Lima, Ohio, USA. Cities. 2004;21:423-437.",journal_article,"Assessing Spatial Patterns of Crime in Lima, Ohio, USA",Ackerman W.V. | Murray A.T.,2004,Cities,21,,423-437,,,,,,,verified,0.976,"Assessing spatial patterns of crime in Lima, Ohio",William V. Ackerman | Alan T. Murray,Cities,10.1016/j.cities.2004.07.008,https://doi.org/10.1016/j.cities.2004.07.008,crossref_title_static,Verified via static CrossRef title search (score: 0.98),26.93,0,0,0,0.0,0.0,0.0
"[2] R. Muggah, The urbanization of security in the global South, Glob. Gov. 21 (3) (2015) 383-404.",journal_article,The urbanization of security in the global South,R. Muggah,2015,Glob. Gov.,21,3,383-404,,,,,,,not_found,0.7,,,,,,web_search,"Your cited work is: R. Muggah, “The urbanization of security in the global South,” Global Governance 21(3) (2015) 383–404. In the search results available to me, I did not find any primary bibliographic record (publisher/journal page/DOI record) confirming that exact article title exists in Global Governance, volume 21, issue 3 in 2015 on pages 383–404. Verification status: not_found.",89.35,33717,729,1,0.007655,0.005,0.012655
"[3] J. Smith, Demographic factors in crime victimization, J. Criminol. 15 (3) (2020) 123-145, https://doi.org/10.1234/jcriminology.2020.0153.",journal_article,Demographic factors in crime victimization,J. Smith,2020,J. Criminol.,15,3,123-145,10.1234/jcriminology.2020.0153,,,,,,not_found,0.55,,,,,,web_search,"Upstream verification result status is not_found. The report states it could not find primary bibliographic evidence matching the exact title + author + journal + volume/issue/pages + DOI combination, and that the web results were about other unrelated works.",122.1,33633,645,1,0.007533,0.005,0.012533
"[4] L.W. Sherman, P.R. Gartin, M.E. Buerger, Hot spots of predatory crime: routine activities and the criminology of place, Criminology 27 (1) (1989) 27-55.",journal_article,Hot spots of predatory crime: routine activities and the criminology of place,L.W. Sherman | P.R. Gartin | M.E. Buerger,1989,Criminology,27,1,27-55,,,,,,,verified,1.0,HOT SPOTS OF PREDATORY CRIME: ROUTINE ACTIVITIES AND THE CRIMINOLOGY OF PLACE*,LAWRENCE W. SHERMAN | PATRICK R. GARTIN | MICHAEL E. BUERGER,Criminology,10.1111/j.1745-9125.1989.tb00862.x,https://doi.org/10.1111/j.1745-9125.1989.tb00862.x,crossref_title_static,Verified via static CrossRef title search (score: 1.00),27.78,0,0,0,0.0,0.0,0.0
"[5] J. Smith, Spatial analysis of crime patterns using GIS-based decision support tools, J. Quant. Criminol. 38 (2) (2022) 125-148.",journal_article,Spatial analysis of crime patterns using GIS-based decision support tools,J. Smith,2022,J. Quant. Criminol.,38,2,125-148,,,,,,,not_found,0.74,,,,,,,"Upstream report indicates only secondary repetition of the cited metadata and explicitly lacks primary evidence (no DOI landing page, publisher page, CrossRef record, or journal article/TOC page). Therefore the exact work as cited could not be verified.",95.96,33664,790,1,0.00772,0.005,0.01272
"[6] J. Ferreira, P. Joao, J. Martins, GIS For Crime analysis: Geography for Predictive Models, University of Lisbon, 2012.",book,GIS For Crime analysis: Geography for Predictive Models,J. Ferreira | P. Joao | J. Martins,2012,,,,,,,,University of Lisbon,,,minor_error,0.78,GIS for Crime Analysis: Geography for Predictive Models,Jorge Ferreira | Paulo João | José Martins,"The Electronic Journal Information Systems Evaluation (Volume 15, Issue 1, 2012)",,https://run.unl.pt/bitstream/10362/158324/1/ejise_volume15_issue1_article817.pdf,web_search,"The report classifies the cited work as a journal article (EJISE, Vol 15, Issue 1, 2012, pp. 36–49) rather than a University of Lisbon book/thesis entry. The title/authors/year match, but the citation’s bibliographic packaging (book + University of Lisbon publisher) does not match the actual published form.",93.47,33261,1041,1,0.007953,0.005,0.012953
"[7] N. Cressie, Statistics for Spatial Data, Wiley, New York, 1993.",book,Statistics for Spatial Data,N. Cressie,1993,,,,,,0471002550,,Wiley,,,verified,1.0,Statistics for Spatial Data,Noel A. C. Cressie,Wiley Series in Probability and Statistics,10.1002/9781119115151,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),28.79,0,0,0,0.0,0.0,0.0
"[8] E. Ayo, A. Suleiman, D. Agboola, Spatial Analysis of Factors Responsible for Spread of Crime Activities in Akure, using GIS technology, Nigeria, 2015.",book,"Spatial Analysis of Factors Responsible for Spread of Crime Activities in Akure, using GIS technology",E. Ayo | A. Suleiman | D. Agboola,2015,,,,,,,,Nigeria,,,minor_error,0.78,"SPATIAL ANALYSIS OF FACTORS RESPONSIBLE FOR SPREAD OF CRIME ACTIVITIES IN AKURE, NIGERIA USING GIS TECHNIQUES",Ayo Emmanuel Olajuyigbe | Suleiman Abdul-Azeez Adegboyega | Agboola David Adenigba,Vol. 8 No. 1 (2015) (IJcst site) — journal article,,,web_search,"Upstream reported minor_error due to incorrect author name structure parsing for the first author (""E. Ayo"" vs surname ""Olajuyigbe"" with given name including ""Ayo"") and a citation type mismatch labeling the item as a ""book"" instead of a journal article. Title/topic and the other authors' surnames align with the identified 2015 journal article.",96.43,33715,1298,1,0.008366,0.005,0.013366
"[9] Jibat N., Nigussie B. Criminality and Victimization in Oromia, Ethiopia. 2015.",book,"Criminality and Victimization in Oromia, Ethiopia",Jibat N. | Nigussie B.,2015,,,,,,,,,,,minor_error,0.86,"Criminality and Victimization in Oromia, Ethiopia",Jibat N. / Nega Jibat | Nigussie B. / Berhanu Nigussie,SAGE Open,10.1177/2158244014565335,https://ideas.repec.org/a/sae/sagope/v5y2015i1p2158244014565335.html,web_search,"Identified as a SAGE Open journal article (Vol. 5, Issue 1) with DOI 10.1177/2158244014565335; the provided citation omits the journal/venue.",97.21,33705,1116,1,0.008136,0.005,0.013136
"[10] A. Hayelom, T. Goche, Investigating factors contributing for recidivism in Dessie and Woldiya correctional centers, Abyssinia J. Bus. Soc. Sci. (2021).",journal_article,Investigating factors contributing for recidivism in Dessie and Woldiya correctional centers,A. Hayelom | T. Goche,2021,Abyssinia J. Bus. Soc. Sci.,,,,,,,,,,minor_error,0.72,Investigating Factors Contributing For Recidivism in Dessie and Woldia correction centers,Hayelom | Goche,Abyssinia Journal of Business and Social Sciences (AJBSS),,,web_search,"Upstream report found the article on ABJOL (abjol.org.et) with journal AJBSS and indicates an association with 2019 (snippet includes “2019-12-31”). The citation’s year is 2021, so the discrepancy is the publication year; title/topic and authors (Hayelom & Goche) appear to match the same underlying work.",98.38,33880,1054,1,0.008093,0.005,0.013094
