raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[2] Mares, D., & Blackburn, E. (2021). Evaluating the Impact of ShotSpotter Technology on Firearm Homicides and Arrests. Criminal Justice Policy Review. https://doi.org/10.1177/0887403421992907",journal_article,Evaluating the Impact of ShotSpotter Technology on Firearm Homicides and Arrests,"Mares, D. | Blackburn, E.",2021,Criminal Justice Policy Review,,,,10.1177/0887403421992907,,,,,,hallucination,1.0,Impact of ShotSpotter Technology on Firearm Homicides and Arrests,,Criminal Justice Policy Review,10.1177/0887403421992907,https://pmc.ncbi.nlm.nih.gov/articles/PMC8566613/,web_search,"The DOI is associated with the real ShotSpotter study, but the citation combines that real article’s identifier with a different title and incorrect author attribution. The study is identified elsewhere as Doucette et al. (2021), not Mares and Blackburn. This is a metadata chimera.",127.45,33826,1406,2,0.008452,0.01,0.018452
[11] National Institute of Justice. (2022). Acoustic Gunshot Detection: A Review of the Evidence. https://nij.ojp.gov/library/publications/acoustic-gunshot-detection-reviewevidence,book,Acoustic Gunshot Detection: A Review of the Evidence,National Institute of Justice,2022,,,,,,,,,https://nij.ojp.gov/library/publications/acoustic-gunshot-detection-review-evidence,,not_found,0.95,,,,,,web_search,"Related NIJ publications were found: “Implementing Gunshot Detection Technology Recommendations for Law Enforcement and Municipal Partners” (2019), “Research in Brief: Three-City Evaluation of Gunshot Detection Technology” (2020), and “Audio Forensic Gunshot Analysis and Multilateration” (2018), but none establishes the cited work. Neither URL form in the citation was confirmed as an official page for the cited work.",89.67,34295,978,2,0.008033,0.01,0.018033
"[15] Piza, E. L., et al. (2023). Gunshot Detection Technology and Police Response: A Quasi-Experimental Evaluation. Journal of Experimental Criminology. https://doi.org/10.1007/s11292-023-09553-z",journal_article,Gunshot Detection Technology and Police Response: A Quasi-Experimental Evaluation,"Piza, E. L. | et al.",2023,Journal of Experimental Criminology,,,,10.1007/s11292-023-09553-z,,,,,,hallucination,0.96,"The Effect of Gunshot Detection Technology on Evidence Collection and Case Clearance in Kansas City, Missouri.",,Journal of Experimental Criminology,10.1007/s11292-023-09553-z,https://ericpiza.net/publications/,,"Primary-source check found a real Journal of Experimental Criminology article near the cited topic, but the title is substantively different from the cited title. The DOI was reported as not resolving (404 Not Found). This is treated as a metadata chimera / hallucination rather than a minor citation typo.",201.92,48368,1884,4,0.044754,0.04,0.084754
[19] Dallas Police Department. (2015). ShotSpotter Evaluation Report. https://dallaspolice.net/Reports/shotspotter2015.pdf,book,ShotSpotter Evaluation Report,Dallas Police Department,2015,,,,,,,,,https://dallaspolice.net/Reports/shotspotter2015.pdf,,not_found,0.0,,,,,,web_search,"The cited Dallas Police Department report could not be confirmed from the available primary-source search results. This is insufficient affirmative evidence to classify it as fabricated, so the appropriate status is not_found, rather than hallucination.",88.97,34115,1175,2,0.008233,0.01,0.018233
[22] Government Technology. (2022). ShotSpotter: Technology That Doesn’t Stop Crime? https://www.govtech.com/public-safety/shotspotter-technology-that-doesnt-stopcrime,web,ShotSpotter: Technology That Doesn’t Stop Crime?,Government Technology,2022,,,,,,,,,https://www.govtech.com/public-safety/shotspotter-technology-that-doesnt-stop-crime,,not_found,0.0,Study: ShotSpotter Doesn’t Reduce Crime or Shootings,,Government Technology,,https://www.govtech.com/em/safety/study-shotspotter-doesnt-reduce-crime-or-shootings,web_search,"The cited title and URL could not be confirmed on a primary Government Technology page. Related Government Technology articles exist, but they have different titles and dates; this is insufficient to verify the citation or conclusively establish a fabricated work.",93.12,34502,1191,2,0.00833,0.01,0.01833
[24] Kansas City Council Budget. (2023). Police Technology Spending Report. https://www.kcmo.gov/Home/Components/News/News/2166/16,book,Police Technology Spending Report,Kansas City Council Budget,2023,,,,,,,,,https://www.kcmo.gov/Home/Components/News/News/2166/16,,not_found,0.96,,,,,,web_search,"No affirmative primary-source evidence established that the specific 2023 work exists as cited, and no conflicting real publication was found that would justify classifying it as a hallucinated metadata chimera. The cited URL was not confirmed as a page containing the named report.",97.32,34615,866,2,0.007962,0.01,0.017962
[26] Vera Institute of Justice. (2021). Emerging Police Technologies and Their Costs. https://www.vera.org/publications/emerging-police-technologies,book,Emerging Police Technologies and Their Costs,Vera Institute of Justice,2021,,,,,,,,,https://www.vera.org/publications/emerging-police-technologies,,not_found,0.0,,,,,,web_search,"The cited URL was not independently confirmed as a live page containing the specified publication. The related Vera result located in search concerned a different publication on electronic monitoring, not the cited title. The Stanford result has a similar subject but a materially different title and issuing organization, so it cannot verify the citation.",96.51,33476,1044,1,0.007948,0.005,0.012948
[28] Springfield City Council. (2021). ShotSpotter Contract Approval. https://www.springfield.il.us/Government/ViewOrdinance.aspx?OrdID=37431,book,ShotSpotter Contract Approval,Springfield City Council,2021,,,,,,,,,https://www.springfield.il.us/Government/ViewOrdinance.aspx?OrdID=37431,,not_found,0.9,,,,,,web_search,"The supplied official URL and exact ordinance title could not be confirmed from the available evidence. The cited work is undetermined. Because there is no sufficiently affirmative primary-source record proving fabrication or a conflicting ordinance at the cited coordinates, this should be classified as not_found, rather than hallucination.",95.67,33296,1109,1,0.00799,0.005,0.01299
[30] Elmwood Park Police Department. (2022). Acoustic Detection Contract Details. https://elmwoodpark.org/wp-content/uploads/2022/03/ShotSpotter-Contract.pdf,book,Acoustic Detection Contract Details,Elmwood Park Police Department,2022,,,,,,,,,https://elmwoodpark.org/wp-content/uploads/2022/03/ShotSpotter-Contract.pdf,,minor_error,0.93,ShotSpotter Contract,,DocumentCloud / MuckRock FOIA request page,,https://www.documentcloud.org/documents/24389066-shotspotter-contract/,web_search,"Cited URL is dead (404). The located document appears to be the same underlying contract record, but the cited title does not match the document title.",169.98,35615,1716,2,0.034433,0.02,0.054433
"[41] Piza, E. L., & Welsh, B. C. (2019). The Effects of Gunshot Detection Technology on Gun Violence: A Randomized Controlled Trial. Justice Quarterly. https://doi.org/10.1080/07418825.2018.1488126",journal_article,The Effects of Gunshot Detection Technology on Gun Violence: A Randomized Controlled Trial,"Piza, E. L. | Welsh, B. C.",2019,Justice Quarterly,,,,10.1080/07418825.2018.1488126,,,,,,hallucination,0.97,,,,,,,"The report identifies related primary records, but they are different works with different titles and venues/years, so the cited citation is not the same work.",224.58,56096,2515,8,0.053389,0.08,0.133389
