raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
1. Review-of-predicting-crime-rates.pdf,web,,,,,,,,,,,,Review-of-predicting-crime-rates.pdf,,not_found,1.0,,,,,,web_search,"`Review-of-predicting-crime-rates.pdf` is a relative filename, not a resolvable source URL. Search results show potentially related but different documents, including *Predicting Crime: A Review of the Research* by Stephen Schneider (2002), but those results cannot establish that this filename refers to that work. Filename-only/insufficient citation; there is no affirmative evidence of a fabricated bibliographic chimera. Bibliography entry has no authors or real title (URL/filename-only) — not_found.",75.76,33608,669,1,0.007524,0.005,0.012524
10. https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf,web,,,,,,,,,,,,https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf,,not_found,1.0,Jurisdictional Test of Risk Terrain Modeling and a Place-Based Method of Evaluation,Leslie Kennedy | Joel Caplan | Eric Piza,Not stated as a conventional venue; the PDF appears to be an NIJ-funded Rutgers Center on Public Security report/results brief.,,https://www.rutgerscps.org/uploads/2/7/3/7/27370595/nij6city_results_inbrief_final.pdf,web_search,"The URL is live and points to the report described above. However, because the original entry contains only a URL and no real title or author information, it must remain `not_found` under the URL-only citation rule.",83.4,33700,1198,1,0.008178,0.005,0.013178
11. https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/,web,,,,,,,,,,,,https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/,,not_found,0.99,Algorithmic Justice or Bias: Legal Implications of Predictive Policing Algorithms in Criminal Justice,,Johns Hopkins University Legal Review,,,web_search,"The cited URL appears to correspond to a real JHULR article, but the raw citation is URL-only: it provides no author, title, venue, or explicit year. The URL also appears to omit a hyphen in 'predictive-policing-algorithms'. Under the URL-only rule, a live or identifiable destination cannot upgrade the incomplete citation to verified. Cited URL is dead/unreachable (https://jhulr.org/2025/01/01/algorithmic-justice-or-bias-legal-implications-of-predictive-policingalgorithms-in-criminal-justice/); entry also has no authors or real title — not_found (incomplete citation).",77.63,34356,1074,2,0.00816,0.01,0.01816
12. https://apbweb.com/2024/06/evidence-based-policing/,web,,,,,,,,,,,,https://apbweb.com/2024/06/evidence-based-policing/,,not_found,1.0,Evidence-based policing,,American Police Beat Magazine/APB Web,,https://apbweb.com/2024/06/evidence-based-policing/,web_search,URL-only bibliography entry with no author and no real title; incomplete citation cannot be verified even though the URL appears live and reachable.,79.0,32953,603,1,0.007314,0.005,0.012314
13. https://www.bloomberg.com/news/articles/2025-11-20/kalshi-and-polymarket-battle-gambling-companies-in-prediction-market-frenzy,web,,,,,,,,,,,,https://www.bloomberg.com/news/articles/2025-11-20/kalshi-and-polymarket-battle-gambling-companies-in-prediction-market-frenzy,,not_found,0.0,,,,,,web_search,"The URL appears reachable and associated with the Bloomberg article shown in the search results. However, under the URL-only rule, a live URL does not cure the absence of authors and a real title. Source URL: None provided, because the available evidence was a search result rather than a directly verified article page. Cited URL is dead/unreachable (https://www.bloomberg.com/news/articles/2025-11-20/kalshi-and-polymarket-battle-gambling-companies-in-prediction-market-frenzy); entry also has no authors or real title — not_found (incomplete citation).",78.33,33047,861,1,0.007643,0.005,0.012643
14. https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html,web,,,,,,,,,,,,https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html,,not_found,1.0,Polymarket vs Kalshi: Will Crypto Beat Regulated …,,Yahoo Finance,,https://finance.yahoo.com/news/polymarket-vs-kalshi-crypto-beat-110215750.html,web_search,"This is a URL-only bibliography entry with no author or title. The URL appears live and identifies a Yahoo Finance page, but a live destination does not upgrade an incomplete URL-only citation to verified. Source URL was not supplied as a verified source link because the page was identified through search results rather than directly fetched.",77.1,33731,709,1,0.007597,0.005,0.012597
15. https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1bround/,web,,,,,,,,,,,,https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1bround/,,not_found,0.0,,,,,,web_search,"Under the stated URL-only rule, a bare URL remains `not_found` even if it might resolve to a real page; the citation does not identify a specific work sufficiently for verification. No source URL is reported because the cited page was not confirmed as a reachable, specific document. Cited URL is dead/unreachable (https://techcrunch.com/2025/11/20/source-kalshis-valuation-jumps-to-11b-after-raising-massive-1bround/); entry also has no authors or real title — not_found (incomplete citation).",77.25,32529,673,1,0.007313,0.005,0.012313
16. https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025,web,,,,,,,,,,,,https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025,,not_found,0.0,Best Crypto Prediction Markets in 2025,,Trust Wallet,,https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025,web_search,"URL-only citation with no title, author, or date. Search results locate a likely matching Trust Wallet page at a different URL path; the cited URL’s direct status was not independently confirmed. Cited URL is live/reachable (https://trustwallet.com/blog/Web3/best-crypto-prediction-markets-in-2025), but the bibliography entry has no authors or real title — not_found (incomplete URL-only citation).",82.41,33014,775,1,0.007533,0.005,0.012533
17. https://defirate.com/prediction-markets/,web,,,,,,,,,,,,https://defirate.com/prediction-markets/,,not_found,1.0,List of Prediction Markets: Top US Apps Ranked for 2026,,DeFi Rate,,https://defirate.com/prediction-markets/,web_search,"This follows the URL-only rule: even when the URL is live and resolves to a real webpage, a bibliography entry containing only the URL, with no title or author, cannot be verified as a complete citation. Cited URL is live/reachable (https://defirate.com/prediction-markets/), but the bibliography entry has no authors or real title — not_found (incomplete URL-only citation).",78.83,33271,818,1,0.007636,0.005,0.012636
18. https://heitnerlegal.com/2025/10/22/prediction-market-regulation-legal-compliance-guide-for-polymarketkalshi-and-event-contract-startups/,web,,,,,,,,,,,,https://heitnerlegal.com/2025/10/22/prediction-market-regulation-legal-compliance-guide-for-polymarketkalshi-and-event-contract-startups/,,not_found,0.96,"Prediction Market Regulation: Legal Compliance Guide for Polymarket, Kalshi, and Event Contract Startups","Darren Heitner, Esq.",heitnerlegal.com,,,web_search,"This is a URL-only bibliography entry with no title or authors in the citation text, so it cannot be upgraded to verified. The cited URL returned 404 Not Found when opened directly. Web search found an indexed page at the same URL with the listed title and byline, dated October 22, 2025, but that does not change the not_found verdict for the incomplete citation. Cited URL is dead/unreachable (https://heitnerlegal.com/2025/10/22/prediction-market-regulation-legal-compliance-guide-for-polymarketkalshi-and-event-contract-startups/); entry also has no authors or real title — not_found (incomplete citation).",157.79,26449,1063,1,0.02462,0.01,0.03462
19. https://jasher.substack.com/p/the-10-dos-and-500-donts-of-the-fbis,web,,,,,,,,,,,,https://jasher.substack.com/p/the-10-dos-and-500-donts-of-the-fbis,,not_found,0.0,The 10 Do’s and 500 Don’ts of the FBI’s New Monthly Crime Data.,Jeff Asher,,,https://jasher.substack.com/p/the-10-dos-and-500-donts-of-the-fbis,web_search,"The URL is live, but the submitted entry is URL-only and supplies no authors or real title; therefore it is not a sufficiently complete bibliographic citation. Cited URL is live/reachable (https://jasher.substack.com/p/the-10-dos-and-500-donts-of-the-fbis), but the bibliography entry has no authors or real title — not_found (incomplete URL-only citation).",60.85,33373,796,1,0.00763,0.005,0.01263
