document,citation_count,verified,not_found,minor_error,hallucination,uncertain,possible_hallucination,elapsed_seconds,avg_seconds_per_citation,max_seconds_per_citation,p95_seconds_per_citation,total_citation_latency_seconds,input_tokens,output_tokens,total_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
13335_Efficient_semantic_uncer,73,68,0,4,1,0,0,414.65,54.99,162.43,128.42,4013.94,1029589,31316,1060905,52,0.243497,0.26,0.503497
1_perspective_PLOSWater_preview,67,55,0,9,3,0,0,295.43,109.27,231.01,174.65,7320.89,1558653,53402,1612055,75,0.647087,0.465,1.112088
23812_Unmasking_Puppeteers_Lev,72,66,0,6,0,0,0,303.84,42.65,189.14,87.53,3071.02,174146,5593,179739,10,0.041541,0.05,0.091541
24047_Fourier_Token_Merging_Un,32,22,0,4,6,0,0,265.22,83.28,196.46,155.49,2664.97,412318,13638,425956,22,0.098828,0.11,0.208828
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,104,96,0,8,0,0,0,509.73,73.85,172.8,159.5,7680.18,1132161,43633,1175794,63,0.686536,0.5,1.186535
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,156,142,4,8,2,0,0,346.08,39.04,198.22,107.54,6090.82,858580,28722,887302,37,0.345782,0.23,0.575783
2606.11565v1,38,17,4,5,12,0,0,314.33,85.91,205.83,130.45,3264.75,927395,33541,960936,61,0.507343,0.49,0.997343
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,36,33,0,2,1,0,0,144.38,42.8,114.61,113.19,1540.88,206764,6820,213584,9,0.049537,0.045,0.094537
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,75,62,0,13,0,0,0,296.06,53.24,176.85,111.68,3992.97,793144,25503,818647,32,0.421828,0.23,0.651827
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,35,30,3,2,0,0,0,191.96,66.56,165.04,117.61,2329.49,368782,11205,379987,15,0.10683,0.085,0.19183
