raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] Ackerman W.V., Murray A.T. Assessing Spatial Patterns of Crime in Lima, Ohio, USA. Cities. 2004;21:423-437.",journal_article,"Assessing Spatial Patterns of Crime in Lima, Ohio, USA",Ackerman W.V. | Murray A.T.,2004,Cities,21,,423-437,,,,,,,verified,0.976,"Assessing spatial patterns of crime in Lima, Ohio",William V. Ackerman | Alan T. Murray,Cities,10.1016/j.cities.2004.07.008,https://doi.org/10.1016/j.cities.2004.07.008,crossref_title_static,Verified via static CrossRef title search (score: 0.98),23.27,0,0,0,0.0,0.0,0.0
"[2] R. Muggah, The urbanization of security in the global South, Glob. Gov. 21 (3) (2015) 383-404.",journal_article,The urbanization of security in the global South,R. Muggah,2015,Glob. Gov.,21,3,383-404,,,,,,,not_found,0.95,"Deconstructing the fragile city: exploring insecurity, violence and resilience",Robert Muggah,Environment and Urbanization,10.1177/0956247814533627,https://journals.sagepub.com/doi/full/10.1177/0956247814533627,web_search,The identified work is not the cited title and therefore cannot verify the citation. The available results do not conclusively establish a conflicting article at the cited coordinates.,121.8,33852,946,2,0.007906,0.01,0.017906
"[3] J. Smith, Demographic factors in crime victimization, J. Criminol. 15 (3) (2020) 123-145, https://doi.org/10.1234/jcriminology.2020.0153.",journal_article,Demographic factors in crime victimization,J. Smith,2020,J. Criminol.,15,3,123-145,10.1234/jcriminology.2020.0153,,,,,,not_found,0.95,,,,,https://journals.sagepub.com/home/anj,web_search,"The cited DOI `10.1234/jcriminology.2020.0153` was not confirmed by the searches as resolving to a primary publication record. No confirmed alternative DOI was found. There is insufficient evidence to identify a real underlying work matching the cited title, author, venue, and coordinates. The unrelated search results do not establish the citation.",170.62,33841,995,2,0.007962,0.01,0.017962
"[4] L.W. Sherman, P.R. Gartin, M.E. Buerger, Hot spots of predatory crime: routine activities and the criminology of place, Criminology 27 (1) (1989) 27-55.",journal_article,Hot spots of predatory crime: routine activities and the criminology of place,L.W. Sherman | P.R. Gartin | M.E. Buerger,1989,Criminology,27,1,27-55,,,,,,,verified,1.0,HOT SPOTS OF PREDATORY CRIME: ROUTINE ACTIVITIES AND THE CRIMINOLOGY OF PLACE*,LAWRENCE W. SHERMAN | PATRICK R. GARTIN | MICHAEL E. BUERGER,Criminology,10.1111/j.1745-9125.1989.tb00862.x,https://doi.org/10.1111/j.1745-9125.1989.tb00862.x,crossref_title_static,Verified via static CrossRef title search (score: 1.00),24.23,0,0,0,0.0,0.0,0.0
"[5] J. Smith, Spatial analysis of crime patterns using GIS-based decision support tools, J. Quant. Criminol. 38 (2) (2022) 125-148.",journal_article,Spatial analysis of crime patterns using GIS-based decision support tools,J. Smith,2022,J. Quant. Criminol.,38,2,125-148,,,,,,,not_found,0.95,,,,,,web_search,"The searches did not produce a primary record showing that these pages contain the cited work or identifying a conflicting article at those pages. There is insufficient evidence to establish that the cited entry corresponds to a real publication, and insufficient affirmative evidence of a specific conflicting article or metadata chimera.",123.83,33763,925,2,0.007863,0.01,0.017863
"[6] J. Ferreira, P. Joao, J. Martins, GIS For Crime analysis: Geography for Predictive Models, University of Lisbon, 2012.",book,GIS For Crime analysis: Geography for Predictive Models,J. Ferreira | P. Joao | J. Martins,2012,,,,,,,,University of Lisbon,,,minor_error,0.98,GIS for Crime Analysis:Geography for Predictive Models,Jorge Ferreira | Paulo João | José Martins,The Electronic Journal Information Systems Evaluation,,https://research.unl.pt/ws/portalfiles/portal/72481774/ejise_volume15_issue1_article817.pdf,web_search,"Concrete error: The citation substitutes/omits the journal venue, giving the University of Lisbon rather than identifying The Electronic Journal Information Systems Evaluation. Primary evidence: https://research.unl.pt/ws/portalfiles/portal/72481774/ejise_volume15_issue1_article817.pdf",124.77,33526,1149,1,0.008084,0.005,0.013084
"[7] N. Cressie, Statistics for Spatial Data, Wiley, New York, 1993.",book,Statistics for Spatial Data,N. Cressie,1993,,,,,,0471002550,,Wiley,,,verified,1.0,Statistics for Spatial Data,Noel A. C. Cressie,Wiley Series in Probability and Statistics,10.1002/9781119115151,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),25.32,0,0,0,0.0,0.0,0.0
"[8] E. Ayo, A. Suleiman, D. Agboola, Spatial Analysis of Factors Responsible for Spread of Crime Activities in Akure, using GIS technology, Nigeria, 2015.",book,"Spatial Analysis of Factors Responsible for Spread of Crime Activities in Akure, using GIS technology",E. Ayo | A. Suleiman | D. Agboola,2015,,,,,,,,Nigeria,,,hallucination,0.98,"Spatial Analysis of Factors Responsible for Spread of Crime Activities in Akure, Nigeria Using GIS Techniques",Ayo Emmanuel Olajuyigbe | Suleiman Abdul-Azeez Adegboyega | Agboola David Adenigba,International Journal of Criminology and Sociological Theory,,https://ijcst.journals.yorku.ca/index.php/ijcst/article/view/39742,web_search,"Primary source identified a real article, but the cited entry mixes that article with materially wrong author identities and a substantially different title/venue presentation.",228.53,26584,1331,1,0.025927,0.01,0.035928
"[9] Jibat N., Nigussie B. Criminality and Victimization in Oromia, Ethiopia. 2015.",book,"Criminality and Victimization in Oromia, Ethiopia",Jibat N. | Nigussie B.,2015,,,,,,,,,,,minor_error,0.95,"Criminality and Victimization in Oromia, Ethiopia: Analysis of 2011/2012 Police Data",Nega Jibat | Berhanu Nigussie,SAGE Open,10.1177/2158244014565335,"https://repository.ju.edu.et/bitstream/handle/123456789/881/Nega%20Jibat%202015%20Criminality%20and%20Victimization%20in%20Oromia,.pdf?sequence=1&amp;isAllowed=y",web_search,"The cited work is real and identifiable, but the citation omits the journal and shortens the published title by excluding “Analysis of 2011/2012 Police Data.” The citation should identify the article as appearing in SAGE Open.",133.88,33981,1487,1,0.008581,0.005,0.013581
"[10] A. Hayelom, T. Goche, Investigating factors contributing for recidivism in Dessie and Woldiya correctional centers, Abyssinia J. Bus. Soc. Sci. (2021).",journal_article,Investigating factors contributing for recidivism in Dessie and Woldiya correctional centers,A. Hayelom | T. Goche,2021,Abyssinia J. Bus. Soc. Sci.,,,,,,,,,,minor_error,0.98,Investigating Factors Contributing For Recidivism in Dessie and Woldiya Correctional Centers,A. Hayelom | T. Goche,Abyssinia Journal of Business and Social Sciences,,https://abjol.org.et/index.php/ajbs/article/view/134,web_search,"The citation gives 2021, but the journal’s primary article record dates the work to 2019.",133.53,33796,1305,1,0.008325,0.005,0.013325
