raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] J. H. Jeans, “On the theory of star-streaming and the structure of the universe,” Mon. Not. Roy. Astron. Soc. 76, 70 (1915).",journal_article,On the theory of star-streaming and the structure of the universe,J. H. Jeans,1915,Mon. Not. Roy. Astron. Soc.,76,,70,,,,,,,verified,1.0,On the Theory of Star-Streaming and the Structure of the Universe,J. H. Jeans,Monthly Notices of the Royal Astronomical Society,10.1093/mnras/76.2.70,https://doi.org/10.1093/mnras/76.2.70,crossref_title_static,Verified via static CrossRef title search (score: 1.00),42.95,0,0,0,0.0,0.0,0.0
"[2] J. Binney and S. Tremaine, Galactic Dynamics, 2nd ed. (Princeton University Press, Princeton, 2008).",book,Galactic Dynamics,J. Binney | S. Tremaine,2008,,,,,,,,Princeton University Press,,,verified,1.0,Galactic Dynamics: Second Edition,James Binney | Scott Tremaine,Princeton University Press,,,web_search,"The publisher record confirms the same book, including the second edition, publisher, authors, and 2008 publication year. The publisher lists ISBN 9780691130279; the citation does not include an ISBN, so no correction is needed.",120.59,33207,636,1,0.004895,0.005,0.009895
"[3] C. Brans and R. H. Dicke, “Mach’s principle and a relativistic theory of gravitation,” Phys. Rev. 124, 925 (1961).",journal_article,Mach’s principle and a relativistic theory of gravitation,C. Brans | R. H. Dicke,1961,Phys. Rev.,124,,925,,,,,,,verified,1.0,Mach's Principle and a Relativistic Theory of Gravitation,C. Brans | R. H. Dicke,Physical Review,10.1103/physrev.124.925,https://doi.org/10.1103/physrev.124.925,crossref_title_static,Verified via static CrossRef title search (score: 1.00),44.47,0,0,0,0.0,0.0,0.0
"[4] T. Clifton, P. G. Ferreira, A. Padilla, and C. Skordis, “Modified gravity and cosmology,” Phys. Rept. 513, 1 (2012).",journal_article,Modified gravity and cosmology,T. Clifton | P. G. Ferreira | A. Padilla | C. Skordis,2012,Phys. Rept.,513,,1,,,,,,,verified,1.0,Modified gravity and cosmology,Timothy Clifton | Pedro G. Ferreira | Antonio Padilla | Constantinos Skordis,Physics Reports,10.1016/j.physrep.2012.01.001,https://doi.org/10.1016/j.physrep.2012.01.001,crossref_title_static,Verified via static CrossRef title search (score: 1.00),44.23,0,0,0,0.0,0.0,0.0
"[5] A. De Felice and S. Tsujikawa, “f(R) theories,” Living Rev. Rel. 13, 3 (2010).",journal_article,f(R) theories,A. De Felice | S. Tsujikawa,2010,Living Rev. Rel.,13,,3,,,,,,,verified,1.0,f(R) Theories,Antonio De Felice | Shinji Tsujikawa,Living Reviews in Relativity,10.12942/lrr-2010-3,https://doi.org/10.12942/lrr-2010-3,crossref_title_static,Verified via static CrossRef title search (score: 1.00),45.15,0,0,0,0.0,0.0,0.0
"[6] L. Arnold, Random Dynamical Systems (Springer, Berlin, 1998).",book,Random Dynamical Systems,L. Arnold,1998,,,,,,9783642083556,,Springer,,,verified,1.0,Random Dynamical Systems,Ludwig Arnold,Springer Monographs in Mathematics,10.1007/978-3-662-12878-7,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),46.26,0,0,0,0.0,0.0,0.0
"[7] B. Øksendal, Stochastic Differential Equations: An Introduction with Applications (Springer, Berlin, 2003).",book,Stochastic Differential Equations: An Introduction with Applications,B. Øksendal,2003,,,,,,,,Springer,,,verified,0.99,Stochastic Differential Equations: An Introduction with Applications,Bernt Øksendal,"Springer Berlin, Heidelberg",10.1007/978-3-662-03620-4,https://link.springer.com/book/10.1007/978-3-662-03620-4,web_search,"The Springer record confirms the same monograph and author. Its currently displayed metadata emphasizes another edition/reprint, while search results identify a 2003 Springer edition. There is no substantive citation error.",125.06,33177,830,1,0.005121,0.005,0.010121
"[8] A. Kolmogoroff, “Über die analytischen Methoden in der Wahrscheinlichkeitsrechnung,” Math. Ann. 104, 415-458 (1931).",journal_article,Über die analytischen Methoden in der Wahrscheinlichkeitsrechnung,A. Kolmogoroff,1931,Math. Ann.,104,,415-458,,,,,,,verified,0.9953488372093022,�ber die analytischen Methoden in der Wahrscheinlichkeitsrechnung,A. Kolmogoroff,Mathematische Annalen,10.1007/bf01457949,https://doi.org/10.1007/bf01457949,crossref_title_static,Verified via static CrossRef title search (score: 1.00),45.63,0,0,0,0.0,0.0,0.0
"[9] K. Itô, “Stochastic integral,” Proc. Imp. Acad. Tokyo 20, 519-524 (1944).",journal_article,Stochastic integral,K. Itô,1944,Proc. Imp. Acad. Tokyo,20,,519-524,,,,,,,verified,0.99,Stochastic integral,Kiyosi Itô,"Proceedings of the Japan Academy, Series A, Mathematical Sciences",https://doi.org/10.3792/pia/1195572786,https://doi.org/10.3792/pia/1195572786,web_search,The historical venue abbreviation “Proc. Imp. Acad. Tokyo” and the standardized container title refer to the same serial. Volume 20 and pages 519–524 match.,123.14,34439,1154,1,0.003239,0.005,0.008239
"[10] R. Khasminskii, Stochastic Stability of Differential Equations, 2nd ed. (Springer, Berlin, 2012).",book,Stochastic Stability of Differential Equations,R. Khasminskii,2012,,,,,,9783642232794,,Springer,,,verified,0.99,Stochastic Stability of Differential Equations,Rafail Khasminskii,"Springer Berlin, Heidelberg",10.1007/978-3-642-23280-0,,web_search,"The Springer landing page lists the electronic publication date as 20 September 2011, while bibliographic records identify the second edition as 2012. This is consistent with normal print/e-book and catalog-year variation for a book.",126.1,33316,1102,1,0.002952,0.005,0.007952
