raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] M. I. Katsnelson, Graphene: Carbon in Two Dimensions (Cam￾bridge University Press, Cambridge, 2012).",book,Graphene: Carbon in Two Dimensions,M. I. Katsnelson,2012,,,,,,,,Cambridge University Press,,,verified,1.0,Graphene: Carbon in Two Dimensions,Mikhail I. Katsnelson,,10.1017/cbo9781139031080,https://doi.org/10.1017/cbo9781139031080,crossref_title_static,Verified via static CrossRef title search (score: 1.00),30.92,0,0,0,0.0,0.0,0.0
"[2] L. Onsager, Phys. Rev. 65, 117 (1944).",journal_article,,L. Onsager,1944,Phys. Rev.,65,,117,,,,,,,verified,1.0,Crystal Statistics. I. A Two-Dimensional Model with an Order-Disorder Transition,Lars Onsager,Physical Review,10.1103/PhysRev.65.117,https://link.aps.org/doi/10.1103/PhysRev.65.117,web_search,"The citation omits the article title, but its coordinates identify the APS article. “Phys. Rev.” is the standard abbreviation for Physical Review. The article begins on page 117 and runs through pages 117–149; citing only the starting page is acceptable bibliographic practice.",82.49,33058,823,1,0.004461,0.005,0.009461
"[3] D. Stauffer and A. Aharony, Introduction to Percolation Theory, 2nd ed. (Taylor & Francis, London, 2018).",book,Introduction to Percolation Theory,D. Stauffer | A. Aharony,2018,,,,,,9781315274386,,Taylor & Francis,,,verified,1.0,Introduction To Percolation Theory,Dietrich Stauffer | Ammon Aharony,,10.1201/9781315274386,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),31.85,0,0,0,0.0,0.0,0.0
"[4] N. Madras and G. Slade, The Self-Avoiding Walk (Birkh¨auser, Boston, 2013).",book,The Self-Avoiding Walk,N. Madras | G. Slade,2013,,,,,,9781461241324,,Birkh¨auser,,,verified,1.0,The Self-Avoiding Walk,Neal Madras | Gordon Slade,,10.1007/978-1-4614-6025-1,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),31.87,0,0,0,0.0,0.0,0.0
"[5] K. G. Wilson, Phys. Rev. D 10, 2445 (1974).",journal_article,,K. G. Wilson,1974,Phys. Rev. D,10,,2445,,,,,,,verified,1.0,Confinement of quarks,K. G. Wilson,Physical Review D,10.1103/PhysRevD.10.2445,https://link.aps.org/doi/10.1103/PhysRevD.10.2445,web_search,"The cited entry omits the title and ending page, but these are acceptable bibliographic omissions and do not constitute substantive errors.",80.59,32981,592,1,0.004797,0.005,0.009796
"[6] M. Gardner, Sci. Am. 223(4), 120 (1970).",journal_article,,M. Gardner,1970,Sci. Am.,223,4,120,,,,,,,verified,1.0,Mathematical games: the fantastic combinations of John Conway’s new solitaire game ‘Life’,Martin Gardner,Scientific American,10.1038/scientificamerican1070-120,https://doi.org/10.1038/scientificamerican1070-120,web_search,"The title is absent from the raw citation, but the remaining author, journal, volume, issue, year, and starting page identify the real article, and no substantive citation error is present.",87.21,33076,966,1,0.005264,0.005,0.010264
"[7] For a recent review: K. Vinck et al., Rev. Mod. Phys. 95, 045003 (2023).",journal_article,,K. Vinck,2023,Rev. Mod. Phys.,95,,45003,,,,,,,minor_error,0.99,Light in correlated disordered media,Kevin Vynck | Romain Pierrat | Rémi Carminati | Luis S. Froufe-Pérez | Frank Scheffold | Riccardo Sapienza | Silvia Vignolini | Juan José Sáenz,Reviews of Modern Physics,,https://journals.aps.org/rmp/issues/95/4,web_search,The volume and article number identify the same APS article. The concrete error is the cited author surname “Vinck” instead of “Vynck.”,84.79,33134,891,1,0.004557,0.005,0.009557
"[8] For a review: S. Yanchuk and G. Giacomelli, Journal of Physics A: Mathematical and Theoretical 50, 103001 (2017).",journal_article,,S. Yanchuk | G. Giacomelli,2017,Journal of Physics A: Mathematical and Theoretical,50,,103001,,,,,,,verified,1.0,Spatio-temporal phenomena in complex systems with time delays.,Serhiy Yanchuk | Giovanni Giacomelli,Journal of Physics A: Mathematical and Theoretical,10.1088/1751-8121/50/10/103001,https://arxiv.org/abs/2206.03120,web_search,"Although the raw citation omits the article title, its authors, journal, volume, and article number uniquely identify the real work.",87.16,33261,1153,1,0.005526,0.005,0.010526
"[9] S.A. Campbell, Time delay in neural systems Handbook of brain connectivity, V Jirsa, A. McIntosh, Springer 2007, 65-90.",book_chapter,Time delay in neural systems,S.A. Campbell,2007,,,,65-90,,,Handbook of brain connectivity,Springer,,,verified,0.9894736842105263,Time Delays in Neural Systems,Sue Ann Campbell,Understanding Complex Systems,10.1007/978-3-540-71512-2_2,https://doi.org/10.1007/978-3-540-71512-2_2,crossref_title_static,Verified via static CrossRef title search (score: 0.99),32.51,0,0,0,0.0,0.0,0.0
"[10] J. D. Farmer, Physica D: Nonlinear Phenomena 4, 366 (1982).",journal_article,,J. D. Farmer,1982,Physica D: Nonlinear Phenomena,4,,366,,,,,,,not_found,0.85,Chaotic attractors of an infinite-dimensional dynamical system,J. Doyne Farmer,Physica D: Nonlinear Phenomena,10.1016/0167-2789(82)90042-2,,web_search,"The citation is highly plausible and appears to correspond to the real article, but the available evidence consisted of a Google Scholar record and secondary search results rather than a directly verified primary bibliographic record. No concrete fabrication or conflicting article metadata was established.",87.37,32975,1089,1,0.005392,0.005,0.010392
