raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Cheong, Yeilim and Stephan Haggard. 2023. ""Political Polarization in Korea."" Democratization 30 (7): 1215-1239.",journal_article,Political Polarization in Korea,"Cheong, Yeilim | Haggard, Stephan",2023,Democratization,30,7,1215-1239,,,,,,,verified,1.0,Political polarization in Korea,Yeilim Cheong | Stephan Haggard,Democratization,10.1080/13510347.2023.2217762,https://doi.org/10.1080/13510347.2023.2217762,crossref_title_static,Verified via static CrossRef title search (score: 1.00),57.51,0,0,0,0.0,0.0,0.0
"Cho, Joan E., and Aram Hur. 2025. ""The Perils of South Korean Democracy."" Journal of Democracy 36 (2): 38-46.",journal_article,The Perils of South Korean Democracy,"Cho, Joan E. | Hur, Aram",2025,Journal of Democracy,36,2,38-46,,,,,,,verified,1.0,The Perils of South Korean Democracy,Joan E. Cho | Aram Hur,Journal of Democracy,10.1353/jod.2025.a954560,https://doi.org/10.1353/jod.2025.a954560,crossref_title_static,Verified via static CrossRef title search (score: 1.00),57.85,0,0,0,0.0,0.0,0.0
"Ghitza, Yair, Andrew Gelman, and Jonathan Auerbach. 2023. ""The Great Society, Reagan's Revolution, and Generations of Presidential Voting."" American Journal of Political Science 67(3): 520-537.",journal_article,"The Great Society, Reagan's Revolution, and Generations of Presidential Voting","Ghitza, Yair | Gelman, Andrew | Auerbach, Jonathan",2023,American Journal of Political Science,67,3,520-537,,,,,,,verified,1.0,"The Great Society, Reagan's Revolution, and Generations of Presidential Voting",Yair Ghitza | Andrew Gelman | Jonathan Auerbach,American Journal of Political Science,10.1111/ajps.12713,https://doi.org/10.1111/ajps.12713,crossref_title_static,Verified via static CrossRef title search (score: 1.00),58.14,0,0,0,0.0,0.0,0.0
"Han, Seungwoo. 2025. ""Martial Law, Democratic Erosion, and Democratic Resilience in South Korea."" Asian Journal of Comparative Politics.",journal_article,"Martial Law, Democratic Erosion, and Democratic Resilience in South Korea","Han, Seungwoo",2025,Asian Journal of Comparative Politics,,,,,,,,,,verified,1.0,"Martial law, democratic erosion, and democratic resilience in South Korea",Seungwoo Han,Asian Journal of Comparative Politics,10.1177/20578911251369983,https://doi.org/10.1177/20578911251369983,crossref_title_static,Verified via static CrossRef title search (score: 1.00),58.48,0,0,0,0.0,0.0,0.0
"Hong, Ji Yeon, and Christopher Paik. 2021. ""Hate Thy Communist Neighbor: Protestants and Politics in South Korea."" Journal of Economic Behavior & Organization 186: 707-723.",journal_article,Hate Thy Communist Neighbor: Protestants and Politics in South Korea,"Hong, Ji Yeon | Paik, Christopher",2021,Journal of Economic Behavior & Organization,186,,707-723,,,,,,,verified,1.0,Hate thy communist neighbor: Protestants and politics in South Korea,Ji Yeon Hong | Christopher Paik,Journal of Economic Behavior &amp; Organization,10.1016/j.jebo.2020.11.004,https://doi.org/10.1016/j.jebo.2020.11.004,crossref_title_static,Verified via static CrossRef title search (score: 1.00),58.8,0,0,0,0.0,0.0,0.0
"Hur, Aram. 2025. ""South Korea's Democracy at a Crossroads."" Korea Observer 56(1): 1-18.",journal_article,South Korea's Democracy at a Crossroads,"Hur, Aram",2025,Korea Observer,56,1,1-18,,,,,,,verified,0.99,South Korea's Democracy at a Crossroads, | Aram Hur Hur,Korea Observer - Institute of Korean Studies,10.29152/koiks.2025.56.1.1,https://doi.org/10.29152/koiks.2025.56.1.1,crossref_title_static,Verified via static CrossRef title search (score: 0.99),59.14,0,0,0,0.0,0.0,0.0
"Hur, Aram, and Andrew Yeo. 2024. ""Democratic Ceilings: The Long Shadow of Nationalist Polarization in East Asia."" Comparative Political Studies 57(4): 584-612.",journal_article,Democratic Ceilings: The Long Shadow of Nationalist Polarization in East Asia,"Hur, Aram | Yeo, Andrew",2024,Comparative Political Studies,57,4,584-612,,,,,,,verified,1.0,Democratic Ceilings: The Long Shadow of Nationalist Polarization in East Asia,Aram Hur | Andrew Yeo,Comparative Political Studies,10.1177/00104140231178724,https://doi.org/10.1177/00104140231178724,crossref_title_static,Verified via static CrossRef title search (score: 1.00),59.5,0,0,0,0.0,0.0,0.0
"Jang, Sung-Min and Doh Chull Shin. 2021. ""The Rise of Generational Politics in South Korea."" The Pacific Review 34(5): 791-817.",journal_article,The Rise of Generational Politics in South Korea,"Jang, Sung-Min | Shin, Doh Chull",2021,The Pacific Review,34,5,791-817,,,,,,,not_found,0.98,,,,,,web_search,"The exact title and the cited journal-volume-page coordinates could not be confirmed on a primary bibliographic or publisher source. A related Taylor & Francis chapter, 'Generations and their political differences in South Korea,' by Kyungmee Park, is a different work and does not verify the citation.",172.68,34170,949,2,0.005463,0.01,0.015463
"Kang, Won-Taek. 2020. ""Religion, Social Conservatism, and Democratic Discontent in Korea."" Democratization 27(6): 1021-1041.",journal_article,"Religion, Social Conservatism, and Democratic Discontent in Korea","Kang, Won-Taek",2020,Democratization,27,6,1021-1041,,,,,,,not_found,0.95,,,,,,web_search,"Exact-title and coordinate searches did not locate a primary publisher, Crossref, or journal record confirming this article. Related works by Won-Taek Kang were found, but none matched the cited title and Democratization 27(6):1021-1041 coordinates. The evidence is insufficient to establish fabrication, so the citation is classified as not_found rather than hallucination.",172.32,34201,947,2,0.005467,0.01,0.015467
"Kim, Jibum, et al. 2025. Korean General Social Survey (KGSS), 2003-2025 Cumulative Dataset. Seoul, Korea: Sungkyunkwan University Survey Research Center.",book,"Korean General Social Survey (KGSS), 2003-2025 Cumulative Dataset","Kim, Jibum",2025,,,,,,,,Sungkyunkwan University Survey Research Center,,,minor_error,0.98,Korean General Social Survey 2003-2025,Jibum Kim | Jeong-han Kang | Seok-ho Kim | ChangHwan Kim | Wonho Park | Jae-Mahn Shim | Yun-Suk Lee | Seulki Choi | Sori Kim | Worlhwa Kim,Sungkyunkwan University,,https://kgss.skku.edu/kgss/data.do,web_search,"The cited work is the official 2025 KGSS cumulative dataset. The citation substitutes Sungkyunkwan University Survey Research Center for the publisher/venue given in the official citation, Sungkyunkwan University. The underlying dataset is the same work.",177.53,33723,1564,1,0.003588,0.005,0.008588
