raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Achebe, C. (2012). There was a country: A personal history of Biafra. The Penguin Press.",book,There was a country: A personal history of Biafra,Chinua Achebe,2012,,,,,,,,The Penguin Press,,,verified,1.0,There was a country: a personal history of Biafra,Chinua Achebe,"New York: Viking Penguin, Penguin Group (USA)",,,web_search,"The cited title matches the catalogued title apart from capitalization. The citation names The Penguin Press; the bibliographic record identifies the 2012 US publication as New York: Viking Penguin, Penguin Group (USA), with The Penguin Press as the relevant Penguin imprint. This does not indicate a different work. ISBN 9781594204821.",100.72,33168,711,1,0.004977,0.005,0.009977
"Barak, G. (2005). A reciprocal approach to peacemaking criminology: Between adversarialism and mutualism. Theoretical Criminology, 9(2), 131-152. https://doi.org/10.1177/1362480605051640",journal_article,A reciprocal approach to peacemaking criminology: Between adversarialism and mutualism,Gideon Barak,2005,Theoretical Criminology,9,2,131-152,10.1177/1362480605051640,,,,https://doi.org/10.1177/1362480605051640,,verified,1.0,A reciprocal approach to peacemaking criminology: Between adversarialism and mutualism,Gregg Barak,Theoretical Criminology,10.1177/1362480605051640,https://doi.org/10.1177/1362480605051640,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),37.2,0,0,0,0.0,0.0,0.0
"Bazemore, G., & Schiff, M. (2011). Restorative community justice: Repairing harm and transforming communities. Anderson Publishing.",book,Restorative community justice: Repairing harm and transforming communities,G. Bazemore; M. Schiff,2011,,,,,,,,Anderson Publishing,,,minor_error,1.0,Restorative Community Justice: Repairing Harm and Transforming Communities,Gordon (S.) Bazemore | Mara Schiff,Anderson Publishing/Anderson Pub.,,,web_search,"The citation gives 2011 as the publication year; the Anderson edition is documented as 2001. Later editions or reprints appear under Routledge, but this is the same work. ISBN: 1-58360-506-1 / 978-1-58360-506-6.",100.74,33325,711,1,0.002485,0.005,0.007485
"Braithwaite, J. (2002). Restorative justice and responsive regulation. Oxford University Press.",book,Restorative justice and responsive regulation,John Braithwaite,2002,,,,,,9781280473579,,Oxford University Press,,,verified,0.9720930232558138,Restorative Justice & Responsive Regulation,John Braithwaite,,10.1093/oso/9780195136395.001.0001,,crossref_title_static,Verified via static CrossRef title search (score: 0.97),38.08,0,0,0,0.0,0.0,0.0
Constitution of Kenya. (2010). Kenya constitution 2010. Republic of Kenya.,book,Kenya constitution 2010,Constitution of Kenya,2010,,,,,,,,Republic of Kenya,,,verified,0.99,"THE CONSTITUTION OF KENYA, 2010",,Republic of Kenya,,https://www.parliament.go.ke/sites/default/files/2023-03/The_Constitution_of_Kenya_2010.pdf,web_search,The title variation is a normal legal/bibliographic form difference and does not constitute a substantive citation error. Primary official records located at the Parliament of Kenya and Kenya Law.,102.59,33217,956,1,0.002757,0.005,0.007757
"Dodson, K. D. (2014). Peacemaking criminology. In The encyclopedia of theoretical criminology (pp. 1-4). John Wiley & Sons, Ltd.",book_chapter,Peacemaking criminology,K. D. Dodson,2014,,,,4-Jan,,,The encyclopedia of theoretical criminology,"John Wiley & Sons, Ltd.",,,verified,0.99,Peacemaking Criminology,Kimberly D. Dodson,The Encyclopedia of Theoretical Criminology,10.1002/9781118517390.wbetc207,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781118517390.wbetc207,web_search,Wiley’s primary record identifies the same chapter. The capitalization difference and use of initials rather than the author’s full given name are stylistic. The cited pages 1–4 were not independently confirmed in the available evidence.,104.21,33280,944,1,0.005279,0.005,0.010279
"Fuller, J. (1998). Criminal justice: A peacemaking perspective. Allyn and Bacon.",book,Criminal justice: A peacemaking perspective,J. Fuller,1998,,,,,,0205165575,,Allyn and Bacon,,,not_found,0.86,Criminal Justice: A Peacemaking Perspective,John R. Fuller,Allyn & Bacon,,,web_search,"The book appears to be a real work by John R. Fuller, but the available search evidence points to a 1997 Allyn & Bacon edition with a different ISBN, while the citation states 1998. Since no primary bibliographic record was obtained confirming the cited 1998 edition exactly, the citation cannot be marked verified.",110.58,34428,1125,2,0.005725,0.01,0.015725
"Fuller, J. R., & Wozniak, J. F. (2017). Peacemaking criminology: Past, present, and future Cullen Francis Wright John Paul Blevins Kristie. In Taking stock: The Status of Criminlogical Theory (pp. 251-273 doi:https://www.taylorfrancis.com/chapters/edit/10.4324/9781315130620//10). Routledge.",book_chapter,"Peacemaking criminology: Past, present, and future",J. R. Fuller; J. F. Wozniak,2017,,,,251-273,10.4324/9781315130620,9781315130620,Taking stock: The Status of Criminlogical Theory,Routledge,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315130620//10,,minor_error,0.98,"Peacemaking Criminology: Past, Present, and Future",John Randolph Fuller | John Wozniak,,10.4324/9781315130620-10,,web_search,"The real Fuller–Wozniak chapter was identified. The citation contains a wrong DOI level/malformed chapter URL, a misspelling in the book title, and garbled editor text. The 2017 Routledge edition is compatible with the original 2006 chapter publication and does not by itself indicate an error.",106.31,36162,1441,2,0.006452,0.01,0.016452
"Greenawalt, A. K. (2009). Complementarity in crisis: Uganda, alternative justice, and the International Criminal Court. Virginia Journal of International Law, 50 1, 107-162 doi:http://digitalcommons. pace.edu/lawfaculty/627 .",law_review,"Complementarity in crisis: Uganda, alternative justice, and the International Criminal Court",A. K. Greenawalt,2009,Virginia Journal of International Law,50,1,107-162,,,,,http://digitalcommons.pace.edu/lawfaculty/627,,minor_error,0.99,"Complementarity in Crisis: Uganda, Alternative Justice, and the International Criminal Court",Alexander K.A. Greenawalt,Va. J. Int'l L.,,https://digitalcommons.pace.edu/lawfaculty/627/,web_search,"The work is correctly identified. The cited institutional-repository URL was incorrectly introduced as a DOI; it should be cited as a repository link, not a DOI. Matched volume/pages: 50, 107–162.",106.92,33984,1271,2,0.005183,0.01,0.015183
"Hensler, D. R. (2003). Our courts, ourselves: How the alternative dispute resolution movement is reshaping our legal system. Penn State Law Review, 108 1, 165-197 doi:https://insight.dickonson law.psu.edu/dlr/vol122/iss1/28 .",law_review,"Our courts, ourselves: How the alternative dispute resolution movement is reshaping our legal system",D. R. Hensler,2003,Penn State Law Review,108,1,165-197,,,,,https://insight.dickonson law.psu.edu/dlr/vol122/iss1/28,,minor_error,0.99,"Our Courts, Ourselves: How the Alternative Dispute Resolution Movement is Re-Shaping Our Legal System",Deborah R. Hensler,Penn State Law Review,,https://insight.dickinsonlaw.psu.edu/pslr/vol108/iss1/12/,web_search,"The underlying article is real and correctly identifiable. The cited URL contains both a domain error and incorrect volume/article-path information. The title differences are capitalization and hyphenation differences, which are cosmetic. The official record identifies volume 108, issue 1, article 12; the RAND record independently describes the original publication as volume 108, number 1, 2003, pages 165–197.",107.4,33956,1380,2,0.005937,0.01,0.015937
"Jimoh, A. (2017). An African theory of knowledge. Springer Science and Business Media.",book,An African theory of knowledge,A. Jimoh,2017,,,,,,,,Springer Science and Business Media,,,minor_error,0.99,An African Theory of Knowledge,"Jimoh, A.K.","Themes, Issues and Problems in African Philosophy",https://doi.org/10.1007/978-3-319-40796-8_8,,web_search,"The work is chapter 8 in the edited volume Themes, Issues and Problems in African Philosophy, edited by I. Ukpokolo, pages 121–136, published by Palgrave Macmillan, Cham. The citation omits the edited-volume information and presents the publisher generically rather than identifying the Palgrave Macmillan volume.",107.74,33307,1266,1,0.00567,0.005,0.01067
"Judiciary of Kenya. (2020). Alternative justice systems framework policy - traditional, informal and other mechanisms used to access justice in Kenya.",book,"Alternative justice systems framework policy - traditional, informal and other mechanisms used to access justice in Kenya",Judiciary of Kenya,2020,,,,,,,,,,,verified,1.0,"Alternative Justice Systems Framework Policy: Traditional, Informal and Other Mechanisms Used to Access Justice in Kenya (Alternative Justice Systems)",The Judiciary of Kenya,The Judiciary of Kenya,,https://judiciary.go.ke/download/alternative-justice-systems-baseline-policy-and-policy-framework/,web_search,The citation identifies a real 2020 Judiciary of Kenya policy document. The title’s hyphenated subtitle and capitalization differ slightly from the official presentation but do not constitute a substantive citation error.,99.78,33131,1095,1,0.00543,0.005,0.01043
"Klenowski, P. M. (2009). Peacemaking criminology: Etiology of crime or philosophy of life? Contemporary Justice Review, 12(2), 207-222. https://doi.org/10.1080/10282580902879344",journal_article,Peacemaking criminology: Etiology of crime or philosophy of life?,P. M. Klenowski,2009,Contemporary Justice Review,12,2,207-222,10.1080/10282580902879344,,,,https://doi.org/10.1080/10282580902879344,,verified,1.0,Peacemaking criminology: etiology of crime or philosophy of life?,Paul M. Klenowski,Contemporary Justice Review,10.1080/10282580902879344,https://doi.org/10.1080/10282580902879344,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),40.52,0,0,0,0.0,0.0,0.0
"Lee, S. (2023). Multiple doors to justice in Kenya: Engaging alternative justice systems. Pathfinders.",web,Multiple doors to justice in Kenya: Engaging alternative justice systems,S. Lee,2023,,,,,,,,Pathfinders,,,minor_error,0.98,Multiple Doors to Justice in Kenya,Susan Lee,"Center on International Cooperation, New York University",,https://cic.nyu.edu/resources/multiple-doors-to-justice-in-kenya/,web_search,The citation incorrectly gives “Pathfinders” as the publisher/source; the official report is issued by the Center on International Cooperation at New York University.,99.03,33178,969,1,0.002137,0.005,0.007137
"Maina, M., & Muriuki, M. (2021). “Going Back to the Roots”; Resolving Disputes through Alternative Means with a Bias in Traditional Justice Systems 1 (Nairobi: National Council for Law Reporting) Accessed 17 June 2026 https://www.academia.edu/111039903/_Going_Back_to_the_Roots_ Resolving_Disputes_through_Alternative_Means_with_a_Bias_in_Traditional_Justice_Systems .",web,“Going Back to the Roots”; Resolving Disputes through Alternative Means with a Bias in Traditional Justice Systems,M. Maina; M. Muriuki,2021,,1,,,,,,National Council for Law Reporting,https://www.academia.edu/111039903/_Going_Back_to_the_Roots_ Resolving_Disputes_through_Alternative_Means_with_a_Bias_in_Traditional_Justice_Systems,,verified,1.0,Going back to the Roots”; resolving Disputes through Alternative means with a Bias in Traditional Justice Systems,Mwai Samuel Maina | Macharia James Muriuki,National Council for Law Reporting,,,web_search,"The citation is substantively supported by the official Kenya Law PDF. Differences are limited to capitalization, punctuation, and abbreviated author names.",101.22,34706,1447,2,0.006167,0.01,0.016168
"Mara, C. D. (2015). Social justice healing practitioners: Testimonios of transformative praxis and hope. https://escholarship.org/uc/item/15389972",web,Social justice healing practitioners: Testimonios of transformative praxis and hope,C. D. Mara,2015,,,,,,,,,https://escholarship.org/uc/item/15389972,,minor_error,1.0,Social justice healing practitioners: Testimonios of transformative praxis and hope,Mara Chavez-Diaz,ISSI Graduate Fellows Working Paper Series 2014–2015,,https://escholarship.org/uc/item/15389972,web_search,"The work exists, but the author should be cited as Chavez-Diaz, Mara (or Chavez-Diaz, M.), not “Mara, C. D.”",98.22,34511,1048,2,0.002498,0.01,0.012498
"Masolo, D. (2019). Crafting ideal conditions: Ubuntu and the challenges of modern society. In J. Ogude (Ed.), Ubuntu and the reconstitution of community (pp. 40-72). Indiana University Press.",book_chapter,Crafting ideal conditions: Ubuntu and the challenges of modern society,D. Masolo,2019,,,,40-72,,9780253042118,Ubuntu and the reconstitution of community,Indiana University Press,,,verified,1.0,CRAFTING IDEAL CONDITIONS: Ubuntu and the Challenges of Modern Society,D. A. Masolo,Ubuntu and the Reconstitution of Community,10.2307/j.ctvh4zgdk.6,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),27.49,0,0,0,0.0,0.0,0.0
"McElrea, J. F. W. M. (1998). The New Zealand model of family group conferencing. European Journal on Criminal Policy and Research, 6(4), 527-543. https://doi.org/10.1023/A:1008696514447",journal_article,The New Zealand model of family group conferencing,J. F. W. M. McElrea,1998,European Journal on Criminal Policy and Research,6,4,527-543,10.1023/A:1008696514447,,,,https://doi.org/10.1023/A:1008696514447,,verified,1.0,The New Zealand Model of Family Group Conferencing,Judge F.W.M. McElrea,European Journal on Criminal Policy and Research,10.1023/a:1008696514447,https://doi.org/10.1023/a:1008696514447,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),40.85,0,0,0,0.0,0.0,0.0
"Mingus, M. (2016, June). Pods and pod mapping worksheet (Oakland: Bay Area Transformative Justice Collective).",book,Pods and pod mapping worksheet,M. Mingus,2016,,,,,,,,Bay Area Transformative Justice Collective,,,verified,1.0,Pods & Pod Mapping Worksheet - for website,Mia Mingus,Bay Area Transformative Justice Collective (BATJC),,https://batjc.org/files/Pods-Pod-Mapping-Worksheet.pdf,web_search,The official worksheet is dated June 2016 and corresponds to the cited “Pods and pod mapping worksheet.” The title difference is cosmetic. The source URL was identified in official-source search results; the citation itself does not include a URL.,97.49,33269,825,1,0.001982,0.005,0.006982
"Nkemnkia, M. (1999). African vitology: A step forward in African thinking. Paulines Publications Africa.",book,African vitology: A step forward in African thinking,M. Nkemnkia,1999,,,,,,,,Paulines Publications Africa,,,minor_error,0.95,African vitalogy : a step forward in African thinking,Martin Nkafu Nkemnkia,Paulines Publications Africa,,,web_search,"The cited title uses “vitology” instead of the documented “vitalogy,” which is a substantive title spelling error. ISBN: 9966214518. The catalog record reports 239 pages. The available evidence was obtained from search results rather than a directly fetched publisher or catalog page.",102.59,33423,1078,1,0.002316,0.005,0.007316
