raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"1. Boerma T, Mathers CD. The World Health Organization and global health estimates: improving collaboration and capacity. BMC Med. 2015;13:50.",journal_article,The World Health Organization and global health estimates: improving collaboration and capacity,Boerma T; Mathers CD,2015,BMC Medicine,13,,50,,129-1-601-50286-7,,,,,verified,1.0,The World Health Organization and global health estimates: improving collaboration and capacity,Ties Boerma | Colin D. Mathers,BMC Medicine,10.1186/s12916-015-0286-7,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-015-0286-7,web_search,"The title, authors, journal, year, volume, and article number identify the same work. The supplied ISBN is not part of the raw citation and is irrelevant to this journal-article verification.",126.65,34209,875,2,0.005382,0.01,0.015382
"2. Casey BJ, Jones RM. Neurobiology of the adolescent brain and behavior: implications for substance use disorders. J Am Acad Child Adolesc Psychiatry. 2010;49(12):1189-201.",journal_article,Neurobiology of the adolescent brain and behavior: implications for substance use disorders,Casey BJ; Jones RM,2010,Journal of the American Academy of Child & Adolescent Psychiatry,49,12,1189-201,,,,,,,verified,1.0,Neurobiology of the Adolescent Brain and Behavior: Implications for Substance Use Disorders,B. J. Casey | Rebecca M. Jones,Journal of the American Academy of Child & Adolescent Psychiatry,10.1016/j.jaac.2010.08.017,https://pubmed.ncbi.nlm.nih.gov/21093769/,web_search,"The cited title matches apart from capitalization. The journal abbreviation is standard. PubMed records the article as 2010, volume 49, issue 12, pages 1189–1201; the cited ending page “201” is an abbreviated form of 1201. Primary evidence is provided by PubMed and the publisher/ScienceDirect record.",138.54,33553,979,1,0.005375,0.005,0.010375
"3. Qu Y, Pomerantz EM, Deng C. Mothers' goals for adolescents in the United States and China: Content and transmission. J Res Adolesc. 2016;26(1):126-41.",journal_article,Mothers' goals for adolescents in the United States and China: Content and transmission,Qu Y; Pomerantz EM; Deng C,2016,Journal of Research on Adolescence,26,1,126-41,,,,,,,verified,1.0,Mothers&#39; goals for adolescents in the United States and China: content and transmission,Qu Y | Pomerantz EM | Deng C,Journal of Research on Adolescence,10.1111/jora.12176,https://experts.illinois.edu/en/publications/mothers-goals-for-adolescents-in-the-united-states-and-china-cont/,web_search,"The title, authors, venue, year, and pagination match. The cited abbreviated page range 126-41 corresponds to pages 126–141. Capitalization differs only stylistically.",131.22,34544,1049,2,0.005658,0.01,0.015658
"4. Bhagavathi P, Vitone T. Analysis of adolescent barriers in seeking help for mental health issues. J Stud Res. 2022;11(3).",journal_article,Analysis of adolescent barriers in seeking help for mental health issues,Bhagavathi P; Vitone T,2022,Journal of Student Research,11,3,,,,,,,,verified,0.99,Analysis of Adolescent Barriers in Seeking Help for Mental Health Issues,Prisha Bhagavathi | Tyler Vitone,Journal of Student Research,,https://www.jsr.org/hs/index.php/path/article/view/2670,web_search,"The title, authors, journal, year, volume, and issue identify the same work. The citation merely uses initials and abbreviated journal formatting.",129.05,33406,776,1,0.002579,0.005,0.007579
"5. Robbins DR, Alessi NE. Depressive symptoms and suicidal behavior in adolescents. In: 1986 Annual Progress In Child Psychiatry. Routledge; 1991. pp. 492-502.",book_chapter,Depressive symptoms and suicidal behavior in adolescents,Robbins DR; Alessi NE,1991,,,,492-502,,,1986 Annual Progress In Child Psychiatry,Routledge,,,hallucination,0.99,Depressive symptoms and suicidal behavior in adolescents,D. R. Robbins | N. E. Alessi,American Journal of Psychiatry,10.1176/ajp.142.5.588,https://pubmed.ncbi.nlm.nih.gov/3985197/,web_search,"The cited title and authors correspond to a real article in the American Journal of Psychiatry, 142(5), 588–592 (1985), but the citation places them in a Routledge edited volume with unsupported chapter pagination (492–502). The cited bibliographic identity combines metadata from different works.",133.14,33993,1052,2,0.005551,0.01,0.015551
"6. Wilcox HC, Arria AM, Caldeira KM, Vincent KB, Pinchevsky GM, O'Grady KE. Prevalence and predictors of persistent suicide ideation, plans, and attempts during college. J Affect Disord. 2010;127(1-3):287-94.",journal_article,"Prevalence and predictors of persistent suicide ideation, plans, and attempts during college",Wilcox HC; Arria AM; Caldeira KM; Vincent KB; Pinchevsky GM; O'Grady KE,2010,Journal of Affective Disorders,127,1-3,287-94,,,,,,,verified,1.0,"Prevalence and predictors of persistent suicide ideation, plans, and attempts during college",Holly C. Wilcox | Amelia M. Arria | Kimberly M. Caldeira | Kathryn B. Vincent | Gillian M. Pinchevsky | Kevin E. O’Grady,Journal of Affective Disorders,,https://pubmed.ncbi.nlm.nih.gov/20471691/,web_search,"The citation accurately identifies an existing article. Differences are limited to standard abbreviation of the journal name, author initials, and abbreviated page range.",130.71,33224,810,1,0.002584,0.005,0.007584
"7. Wang Z, Zhang L, Liu X, Li Y. Risk and protective factors of suicidal tendencies among freshmen in China revealed by a hierarchical regression model. Eur Child Adolesc Psychiatry. 2024;33(9):3043-53.",journal_article,Risk and protective factors of suicidal tendencies among freshmen in China revealed by a hierarchical regression model,Wang Z; Zhang L; Liu X; Li Y,2024,European Child & Adolescent Psychiatry,33,9,3043-53,,,,,,,minor_error,0.99,Risk and protective factors of suicidal tendencies among freshmen in China revealed by a hierarchical regression model,Zhongrui Wang | Xiyu Li | Haiyu Xu | Tao Zhang,Eur Child Adolesc Psychiatry,,https://pubmed.ncbi.nlm.nih.gov/38324038/,web_search,The title and complete journal coordinates identify the same article. The cited author list contains a substantive author error. The cited end page “53” abbreviates the reported end page 3053.,134.99,34459,1040,2,0.005001,0.01,0.015001
"8. Ray JV, Poythress NG, Weir JM, Rickelm A. Relationships between psychopathy and impulsivity in the domain of self-reported personality features. Pers Individ Differ. 2009;46(2):83-7.",journal_article,Relationships between psychopathy and impulsivity in the domain of self-reported personality features,Ray JV; Poythress NG; Weir JM; Rickelm A,2009,Personality and Individual Differences,46,2,83-7,,,,,,,verified,1.0,Relationships between psychopathy and impulsivity in the domain of self-reported personality features,James V. Ray | Norman G. Poythress | John M. Weir | Angela Rickelm,Personality and Individual Differences,10.1016/j.paid.2008.09.005,https://www.sciencedirect.com/science/article/abs/pii/S0191886908003334,web_search,"The title, author list, journal, year, volume, issue, and pages all identify the same article. No substantive citation error is present.",134.18,33784,984,2,0.004799,0.01,0.014799
"9. Cheung VHM, Chan CY, Au RKC. The influence of resilience and coping strategies on suicidal ideation among Chinese undergraduate freshmen in Hong Kong. Asia-Pac Psychiatry. 2019;11(2):e12339.",journal_article,The influence of resilience and coping strategies on suicidal ideation among Chinese undergraduate freshmen in Hong Kong,Cheung VHM; Chan CY; Au RKC,2019,Asia-Pacific Psychiatry,11,2,e12339,,,,,,,verified,1.0,The influence of resilience and coping strategies on suicidal ideation among Chinese undergraduate freshmen in Hong Kong,Vanessa H. M. Cheung | Chui Yi Chan | Ricky K. C. Au,Asia-Pacific Psychiatry,10.1111/appy.12339,https://pubmed.ncbi.nlm.nih.gov/30362264/,web_search,"PubMed confirms the title, complete author list, DOI, publication year, volume, issue, and article number. The cited work is verified; omission of the DOI is not an error.",135.03,34655,784,2,0.004733,0.01,0.014733
"10. Jacobucci R, Littlefield AK, Millner AJ, Kleiman E, Steinley D. Pairing machine learning and clinical psychology: how you evaluate predictive performance matters. PsyArXiv. 2020. https://doi.org/10.31234/osf.io/2yber",working_paper,Pairing machine learning and clinical psychology: how you evaluate predictive performance matters,Jacobucci R; Littlefield AK; Millner AJ; Kleiman E; Steinley D,2020,PsyArXiv,,,,10.31234/osf.io/2yber,,,,,,verified,0.9536231884057972,Pairing Machine Learning and Clinical Psychology: How You Evaluate Predictive Performance Matters,Ross Jacobucci | Andrew K. Littlefield | Alex J. Millner | Evan Kleiman | Douglas Steinley,,10.31234/osf.io/2yber,https://doi.org/10.31234/osf.io/2yber,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 0.95),37.71,0,0,0,0.0,0.0,0.0
