raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] Lorenz Kuhn, Yarin Gal, and Sebastian Farquhar. Semantic uncertainty: Linguistic invariances for uncertainty estimation in natural language generation. In International Conference on Learning Representations, 2023.",conference_paper,Semantic uncertainty: Linguistic invariances for uncertainty estimation in natural language generation,Lorenz Kuhn | Yarin Gal | Sebastian Farquhar,2023,International Conference on Learning Representations,,,,,,,,,,verified,1.0,Semantic Uncertainty: Linguistic Invariances for Uncertainty Estimation in Natural Language Generation,Lorenz Kuhn | Yarin Gal | Sebastian Farquhar,International Conference on Learning Representations,,https://arxiv.org/abs/2302.09664,arXiv: https://arxiv.org/abs/2302.09664; ICLR proceedings: https://proceedings.iclr.cc/paper_files/paper/2025/file/b94d8b035e2183e47afef9e2f299ba47-Paper-Conference.pdf; Semantic Scholar: https://www.semanticscholar.org/paper/Semantic-Uncertainty:-Linguistic-Invariances-for-in-Kuhn-Gal/507465f8d46489a68a527cb5304d76bdb6c31ed9,"The citation title 'Semantic uncertainty: Linguistic invariances for uncertainty estimation in natural language generation' differs from the official title 'Semantic Uncertainty: Linguistic Invariances for Uncertainty Estimation in Natural Language Generation' only in capitalization (e.g., 'Semantic uncertainty' vs 'Semantic Uncertainty', 'linguistic invariances' vs 'Linguistic Invariances', 'for uncertainty estimation' vs 'for Uncertainty Estimation', 'in natural language generation' vs 'in Natural Language Generation'). These are purely cosmetic capitalization differences. The authors (Lorenz Kuhn, Yarin Gal, Sebastian Farquhar), venue (International Conference on Learning Representations), and year (2023) all match exactly. The paper exists as an ICLR 2023 spotlight paper (arXiv:2302.09664, submitted 2023-02-19). Per the rules, capitalization differences are cosmetic and do not downgrade status from verified.",63.34,31484,3706,1,0.000992,0.005,0.005992
"[2] Yasin Abbasi Yadkori, Ilja Kuzborskij, András György, and Csaba Szepesvari. To believe or not to believe your llm: Iterative prompting for estimating epistemic uncertainty. Advances in Neural Information Processing Systems, 37:58077-58117, 2024.",journal_article,To believe or not to believe your llm: Iterative prompting for estimating epistemic uncertainty,Yasin Abbasi Yadkori | Ilja Kuzborskij | András György | Csaba Szepesvari,2024,Advances in Neural Information Processing Systems,37,,58077-58117,,,,,,,verified,1.0,To Believe or Not to Believe Your LLM: Iterative Prompting for Estimating Epistemic Uncertainty,Yasin Yadkori | Ilja Kuzborskij | András György | Csaba Szepesvári,Advances in Neural Information Processing Systems 37,10.52202/079017-1852,https://doi.org/10.52202/079017-1852,crossref_title_static,Verified via static CrossRef title search (score: 1.00),2.35,0,0,0,0.0,0.0,0.0
"[3] Ari Holtzman, Jan Buys, Li Du, Maxwell Forbes, and Yejin Choi. The curious case of neural text degeneration. International Conference on Learning Representations, 2020.",conference_paper,The curious case of neural text degeneration,Ari Holtzman | Jan Buys | Li Du | Maxwell Forbes | Yejin Choi,2020,International Conference on Learning Representations,,,,,,,,,,verified,1.0,The curious case of neural text degeneration,Ari Holtzman | Jan Buys | Li Du | Maxwell Forbes | Yejin Choi,International Conference on Learning Representations,,https://iclr.cc/virtual_2020/poster_rygGQyrFvH.html,Web search confirmed the paper's existence at ICLR 2020 with matching title and authors. DBLP entry and OpenReview proceedings also confirm the citation.,"The citation 'Ari Holtzman, Jan Buys, Li Du, Maxwell Forbes, and Yejin Choi. The curious case of neural text degeneration. International Conference on Learning Representations, 2020.' has been verified against primary evidence. Search results confirm the paper exists at ICLR 2020 (https://iclr.cc/virtual_2020/poster_rygGQyrFvH.html) with the exact same title, authors, and year. All primary bibliographic elements match. No discrepancies found that would constitute minor_error or hallucination.",60.31,31733,976,1,0.000531,0.005,0.005531
"[4] Lukas Aichberger, Kajetan Schweighofer, Mykyta Ielanskyi, and Sepp Hochreiter. Improving uncertainty estimation through semantically diverse language generation. In The Thirteenth International Conference on Learning Representations, 2025.",conference_paper,Improving uncertainty estimation through semantically diverse language generation,Lukas Aichberger | Kajetan Schweighofer | Mykyta Ielanskyi | Sepp Hochreiter,2025,The Thirteenth International Conference on Learning Representations,,,,,,,,,,verified,1.0,Improving uncertainty estimation through semantically diverse language generation,Lukas Aichberger | Kajetan Schweighofer | Mykyta Ielanskyi | Sepp Hochreiter,The Thirteenth International Conference on Learning Representations,,https://openreview.net/forum?id=HSi4VetQLj,"openreview.net/forum?id=HSi4VetQLj, proceedings.iclr.cc","The citation matches exactly a real ICLR 2025 conference paper. Found on OpenReview (openreview.net/forum?id=HSi4VetQLj, 2025-01-22) and the official ICLR proceedings (proceedings.iclr.cc). Google Scholar also confirms this as an ICLR 2025 paper with 41 citations. No discrepancies between the cited metadata and the real work. Title, authors, venue, and year all match perfectly.",71.22,31243,1106,1,0.000547,0.005,0.005547
"[5] Jacob Austin, Daniel D Johnson, Jonathan Ho, Daniel Tarlow, and Rianne Van Den Berg. Structured denoising diffusion models in discrete state-spaces. Advances in neural information processing systems, 34:17981-17993, 2021.",journal_article,Structured denoising diffusion models in discrete state-spaces,Jacob Austin | Daniel D Johnson | Jonathan Ho | Daniel Tarlow | Rianne Van Den Berg,2021,Advances in neural information processing systems,34,,17981-17993,,,,,,,verified,1.0,Structured Denoising Diffusion Models in Discrete State-Spaces,Jacob Austin | Daniel D. Johnson | Jonathan Ho | Daniel Tarlow | Rianne van den Berg,Advances in neural information processing systems,,,dblp: https://dblp.org/rec/conf/nipes/AustinJHTB21.html; arXiv: https://arxiv.org/abs/2107.03006; OpenReview: https://openreview.net/attachment?id=MbFWSPWsJl&name=supplementary_material,"The citation is fully verified. The paper 'Structured denoising diffusion models in discrete state-spaces' by Austin et al. was presented at NeurIPS 2021 (now officially 'Advances in Neural Information Processing Systems'), published as volume 34, pages 17981-17993. Search results confirm: (1) dblp record shows 'NeurIPS 2021: 17981-17993' with all 5 matching authors, (2) arXiv version at 2107.03006 with same title and authors, (3) OpenReview attachment with same work. Cosmetic differences only: author name formatting ('Van Den Berg' vs 'van den Berg', 'Daniel D Johnson' vs 'Daniel D. Johnson'), and title case 'state-spaces' vs 'state-Spaces'. No substantive errors.",56.08,31655,1608,1,0.000637,0.005,0.005637
"[6] Aaron Lou, Chenlin Meng, and Stefano Ermon. Discrete diffusion modeling by estimating the ratios of the data distribution. In Proceedings of the 41st International Conference on Machine Learning, 2024.",conference_paper,Discrete diffusion modeling by estimating the ratios of the data distribution,Aaron Lou | Chenlin Meng | Stefano Ermon,2024,Proceedings of the 41st International Conference on Machine Learning,,,,,,,,,,verified,1.0,Discrete Diffusion Modeling by Estimating the Ratios of the Data Distribution,Aaron Lou | Chenlin Meng | Stefano Ermon,"Proceedings of the 41st International Conference on Machine Learning, 2024",,,"search_web results from queries ['Discrete diffusion modeling by estimating the ratios of the data distribution Aaron Lou Chenlin Meng Stefano Ermon', 'ICML 2024 Discrete diffusion modeling ratios data distribution Lou Meng Ermon']","Search results confirmed the paper exists: (1) arXiv:2310.16834 posted 2023-10-25 with exact title 'Discrete Diffusion Modeling by Estimating the Ratios of the Data Distribution' and authors Aaron Lou, Chenlin Meng, Stefano Ermon; (2) ICML 2024 slides at https://icml.cc/media/icml-2024/Slides/35554.pdf confirm the paper was presented at the 41st International Conference on Machine Learning (ICML 2024); (3) GitHub repo metadata shows journal='arXiv preprint arXiv:2310.16834', year=2024. The cited title 'Discrete diffusion modeling by estimating the ratios of the data distribution' differs from the arXiv title only in capitalization ('Diffusion' vs 'diffusion', 'Ratios' vs 'ratios'), which is purely cosmetic under the Math/Markup Notation hard rule → verified. The citation correctly identifies a conference paper at ICML 2024; the arXiv 2023 posting date does not conflict with the conference 2024 year. No whole-cloth wrong journal, no author identity mismatch, no title fabrication. The only differences are cosmetic capitalization. source_url left empty per the strict rule since the URL context tool was disabled for this turn and I did not personally fetch pages via that tool, though search results provided candidate URLs (arXiv and ICML slides).",71.5,31405,6729,1,0.001505,0.005,0.006505
"[7] Jiaxin Shi, Kehang Han, Zhe Wang, Arnaud Doucet, and Michalis Titsias. Simplified and generalized masked diffusion for discrete data. Advances in Neural Information Processing Systems, 37:103131-103167, 2024.",journal_article,Simplified and generalized masked diffusion for discrete data,Jiaxin Shi | Kehang Han | Zhe Wang | Arnaud Doucet | Michalis Titsias,2024,Advances in Neural Information Processing Systems,37,,103131-103167,,,,,,,verified,1.0,Simplified and Generalized Masked Diffusion for Discrete Data,Jiaxin Shi | Kehang Han | Zhe Wang | Arnaud Doucet | Michalis Titsias,Advances in Neural Information Processing Systems 37,10.52202/079017-3277,https://doi.org/10.52202/079017-3277,crossref_title_static,Verified via static CrossRef title search (score: 1.00),2.85,0,0,0,0.0,0.0,0.0
"[8] Subham Sahoo, Marianne Arriola, Yair Schiff, Aaron Gokaslan, Edgar Marroquin, Justin Chiu, Alexander Rush, and Volodymyr Kuleshov. Simple and effective masked diffusion language models. Advances in Neural Information Processing Systems, 37: 130136-130184, 2024.",journal_article,Simple and effective masked diffusion language models,Subham Sahoo | Marianne Arriola | Yair Schiff | Aaron Gokaslan | Edgar Marroquin | Justin Chiu | Alexander Rush | Volodymyr Kuleshov,2024,Advances in Neural Information Processing Systems,37,,130136-130184,,,,,,,verified,1.0,Simple and Effective Masked Diffusion Language Models,Subham Sahoo | Marianne Arriola | Yair Schiff | Aaron Gokaslan | Edgar Marroquin | Justin Chiu | Alexander Rush | Volodymyr Kuleshov,Advances in Neural Information Processing Systems 37,10.52202/079017-4135,https://doi.org/10.52202/079017-4135,crossref_title_static,Verified via static CrossRef title search (score: 1.00),1.21,0,0,0,0.0,0.0,0.0
"[9] Jingyang Ou, Shen Nie, Kaiwen Xue, Fengqi Zhu, Jiacheng Sun, Zhenguo Li, and Chongxuan Li. Your absorbing discrete diffusion secretly models the conditional distributions of clean data. arXiv preprint arXiv:2406.03736, 2024.",working_paper,Your absorbing discrete diffusion secretly models the conditional distributions of clean data,Jingyang Ou | Shen Nie | Kaiwen Xue | Fengqi Zhu | Jiacheng Sun | Zhenguo Li | Chongxuan Li,2024,arXiv,,2406.03736,,,,,,,,verified,0.95,Your Absorbing Discrete Diffusion Secretly Models the Conditional Distributions of Clean Data,Jingyang Ou | Shen Nie | Kaiwen Xue | Fengqi Zhu | Jiacheng Sun | Zhenguo Li | Chongxuan Li,arXiv,10.48550/arXiv.2406.03736,https://arxiv.org/abs/2406.03736,arxiv_static,Verified via arXiv id 2406.03736.,49.06,0,0,0,0.0,0.0,0.0
"[10] Shen Nie, Fengqi Zhu, Zebin You, Xiaolu Zhang, Jingyang Ou, Jun Hu, JUN ZHOU, Yankai Lin, Ji-Rong Wen, and Chongxuan Li. Large language diffusion models. In The Thirty-ninth Annual Conference on Neural Information Processing Systems, 2025. URL https://openreview.net/forum?id=KnqiC0znVF.",conference_paper,Large language diffusion models,Shen Nie | Fengqi Zhu | Zebin You | Xiaolu Zhang | Jingyang Ou | Jun Hu | JUN ZHOU | Yankai Lin | Ji-Rong Wen | Chongxuan Li,2025,,,,,,,The Thirty-ninth Annual Conference on Neural Information Processing Systems,,https://openreview.net/forum?id=KnqiC0znVF,,verified,1.0,Large Language Diffusion Models,Shen Nie | Fengqi Zhu | Zebin You | Xiaolu Zhang | Jingyang Ou | Jun Hu | Jun Zhou | Yankai Lin | Ji-Rong Wen | Chongxuan LI,Advances in Neural Information Processing Systems 38,10.52202/085713-1689,https://doi.org/10.52202/085713-1689,crossref_title_static,Verified via static CrossRef title search (score: 1.00),3.55,0,0,0,0.0,0.0,0.0
