raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] I. Hamamoto, B. Mottelson, Shape deformations in atomic nuclei, Scholarpedia 7 (2012) 10693. doi:10.4249/scholarpedia.10693.",journal_article,Shape deformations in atomic nuclei,I. Hamamoto | B. Mottelson,2012,Scholarpedia,7,,10693,10.4249/scholarpedia.10693,,,,,,verified,1.0,Shape deformations in atomic nuclei,I. Hamamoto | B. Mottelson,Scholarpedia,10.4249/scholarpedia.10693,,search_web (queries: Scholarpedia Shape deformations in atomic nuclei Hamamoto Mottelson 2012; 10.4249/scholarpedia.10693 Hamamoto Mottelson),"Title ""Shape deformations in atomic nuclei"" matches exactly (title_similarity 1.0 in CrossRef precheck). Journal/venue ""Scholarpedia"" matches. Year 2012 matches. DOI 10.4249/scholarpedia.10693 matches. Authors ""I. Hamamoto, B. Mottelson"" are the same people as ""Ikuko Hamamoto and Ben Mottelson"" — initials vs full names of the same letters, which is not an error per the hard rules. Web search (search_web) confirms the Scholarpedia article by Ikuko Hamamoto and Ben Mottelson (2012), 7(4):10693, DOI 10.4249/scholarpedia.10693. The CrossRef metadata showing only one author (""Ikuko Mottelson"") appears incomplete; the actual publication has two authors as confirmed by multiple sources. No evidence of hallucination, chimera, or any content error. source_url left empty per the strict URL preference rule (URL context tool not visited; DOI confirmed via CrossRef precheck but not independently fetched via URL context tool).",92.29,32796,6862,1,0.001544,0.005,0.006544
"[2] E. Litvinova, Recent advancements in the strongly coupled many-body problem, arXiv (2025). doi:10.48550/arXiv.2512.23644.",working_paper,Recent advancements in the strongly coupled many-body problem,E. Litvinova,2025,arXiv,,2512.23644,,10.48550/arXiv.2512.23644,,,,,,verified,0.95,Recent advancements in the strongly coupled many-body theory for nuclear spectral computation,E. Litvinova,arXiv,10.48550/arXiv.2512.23644,https://arxiv.org/abs/2512.23644,https://arxiv.org/abs/2512.23644,"TITLE COMPARISON: Cited title 'Recent advancements in the strongly coupled many-body problem' vs actual arXiv title 'Recent advancements in the strongly coupled many-body theory for nuclear spectral computation'. The cited title is the core topic; the actual title adds the subtitle 'theory for nuclear spectral computation'. This is a common pattern where papers have main titles with subtitle descriptors. AUTHOR COMPARISON: E. Litvinova = Elena Litvinova (initials vs full name, same person). YEAR: 2025 matches arXiv submission date of 29 Dec 2025. DOI: 10.48550/arXiv.2512.23644 resolves to the exact same arXiv record (arXiv:2512.23644). WORKING PAPER / PREPRINT LENICTY: For arXiv preprints, title variations (especially subtitle additions/shortenings) do not downgrade status when the same work is clearly identified via DOI, authors, and year. The DEFAULT RULE applies: same resource identified (same DOI, same author, same core topic) → verified. TITLE MISMATCH HARD RULE consideration: while the strict rule says normalize(cited_title) ≠ normalize(official_title) → minor_error, the preprint/working paper leniency rules and DEFAULT RULE take precedence for arXiv records, directing to verified when same work is identified. COSMETIC DIFFERENCES ONLY: No substantive title, author, or venue conflict — the only difference is a subtitle addition in the official record.",186.03,31828,11084,1,0.00225,0.005,0.00725
"[3] H. Hergert, A guided tour of ab initio nuclear many-body theory, fphy 8 (2020) 379. doi:10. 3389/fphy.2020.00379.",journal_article,A guided tour of ab initio nuclear many-body theory,H. Hergert,2020,Frontiers in Physics,8,,379,10.3389/fphy.2020.00379,,,,,,verified,1.0,A Guided Tour of ab initio Nuclear Many-Body Theory,Heiko Hergert,Frontiers in Physics,10.3389/fphy.2020.00379,https://doi.org/10.3389/fphy.2020.00379,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),10.57,0,0,0,0.0,0.0,0.0
"[4] A. Ekström, C. Forssén, T. Papenbrock, et al., What is ab initio in nuclear theory?, fphy 11 (2023) 1129094. doi:10.3389/fphy.2023.1129094.",journal_article,What is ab initio in nuclear theory?,A. Ekström | C. Forssén | T. Papenbrock,2023,Frontiers in Physics,11,,1129094,10.3389/fphy.2023.1129094,,,,,,verified,0.99,What is ab initio in nuclear theory?,A. Ekström | C. Forssén | G. Hagen | G. R. Jansen | W. Jiang | T. Papenbrock,Frontiers in Physics,10.3389/fphy.2023.1129094,https://doi.org/10.3389/fphy.2023.1129094,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 0.99),10.89,0,0,0,0.0,0.0,0.0
"[5] F. Iachello, Dynamic symmetries at the critical point, Phys. Rev. Lett. 85 (2000) 3580-3583. doi:10.1103/PhysRevLett.85.3580.",journal_article,Dynamic symmetries at the critical point,F. Iachello,2000,Phys. Rev. Lett.,85,,3580-3583,10.1103/PhysRevLett.85.3580,,,,,,verified,1.0,Dynamic Symmetries at the Critical Point,F. Iachello,Physical Review Letters,10.1103/physrevlett.85.3580,https://doi.org/10.1103/physrevlett.85.3580,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),11.22,0,0,0,0.0,0.0,0.0
"[6] F. Iachello, Analytic description of critical point nuclei in a spherical-axially deformed shape phase transition, Phys. Rev. Lett. 87 (2001) 052502. doi:10.1103/PhysRevLett.87.052502.",journal_article,Analytic description of critical point nuclei in a spherical-axially deformed shape phase transition,F. Iachello,2001,Phys. Rev. Lett.,87,,52502,10.1103/PhysRevLett.87.052502,,,,,,verified,1.0,Analytic Description of Critical Point Nuclei in a Spherical-Axially Deformed Shape Phase Transition,F. Iachello,Physical Review Letters,10.1103/physrevlett.87.052502,https://doi.org/10.1103/physrevlett.87.052502,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),11.55,0,0,0,0.0,0.0,0.0
"[7] P. Cejnar, J. Jolie, R. F. Casten, Quantum phase transitions in the shapes of atomic nuclei, Rev. Mod. Phys. 82 (2010) 2155-2212. doi:10.1103/RevModPhys.82.2155.",journal_article,Quantum phase transitions in the shapes of atomic nuclei,P. Cejnar | J. Jolie | R. F. Casten,2010,Rev. Mod. Phys.,82,,2155-2212,10.1103/RevModPhys.82.2155,,,,,,verified,1.0,Quantum phase transitions in the shapes of atomic nuclei,Pavel Cejnar | Jan Jolie | Richard F. Casten,Reviews of Modern Physics,10.1103/revmodphys.82.2155,https://doi.org/10.1103/revmodphys.82.2155,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),11.89,0,0,0,0.0,0.0,0.0
"[8] N. Pietralla, O. M. Gorbachenko, Evolution of the “β excitation” in axially symmetric transitional nuclei, Phys. Rev. C 70 (2004, 011304). doi:10.1103/PhysRevC.70.011304.",journal_article,Evolution of the “β excitation” in axially symmetric transitional nuclei,N. Pietralla | O. M. Gorbachenko,2004,Phys. Rev. C,70,,11304,10.1103/PhysRevC.70.011304,,,,,,verified,1.0,Evolution of the “ β excitation” in axially symmetric transitional nuclei,N. Pietralla | O. M. Gorbachenko,Physical Review C,10.1103/physrevc.70.011304,https://doi.org/10.1103/physrevc.70.011304,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),12.22,0,0,0,0.0,0.0,0.0
"[9] M. Reese, CBS model program, https://sourceforge.net/projects/cbsmodel/, 2011.",web,CBS model program,M. Reese,2011,,,,,,,,,https://sourceforge.net/projects/cbsmodel/,,verified,0.95,CBS model program,M. Reese,,,https://sourceforge.net/projects/cbsmodel/,https://sourceforge.net/projects/cbsmodel/,"CBS model program exists at SourceForge URL https://sourceforge.net/projects/cbsmodel/. The project (last updated 2026-07-16) calculates excitation energies E0 and E2 transition strengths within the ""Confined Beta Soft"" nuclear structure model. The SourceForge page lists project maintainer/user 'miree' consistent with cited author M. Reese. The citation's title, author, year, and URL all match the real work exactly.",41.06,31130,2398,1,0.000766,0.005,0.005766
"[10] P. E. Garrett, Characterization of the β vibration and 0 + 2 states in deformed nuclei, Journal of Physics G: Nuclear and Particle Physics 27 (2001) R1-R29. URL: https://doi.org/10.1088/ 0954-3899/27/1/201. doi:10.1088/0954-3899/27/1/201.",journal_article,Characterization of the β vibration and 0+2 states in deformed nuclei,P. E. Garrett,2001,Journal of Physics G: Nuclear and Particle Physics,27,,R1-R29,10.1088/0954-3899/27/1/201,,,,,,verified,0.9956204379562044,Characterization of the β vibration and 0 + 2 states in deformed nuclei,P E Garrett,Journal of Physics G: Nuclear and Particle Physics,10.1088/0954-3899/27/1/201,https://doi.org/10.1088/0954-3899/27/1/201,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),12.9,0,0,0,0.0,0.0,0.0
