raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Ahern, J., C. Margerison-Zilko, A. Hubbard, and S. Galea (2013). Alcohol outlets and binge drinking in urban neighborhoods: The implications of nonlinearity for intervention and policy. American Journal of Public Health 103 (4), 81-87.",journal_article,Alcohol outlets and binge drinking in urban neighborhoods: The implications of nonlinearity for intervention and policy,"Ahern, J. | C. Margerison-Zilko | A. Hubbard | S. Galea",2013,American Journal of Public Health,103,4,81-87,,,,,,,verified,1.0,Alcohol Outlets and Binge Drinking in Urban Neighborhoods: The Implications of Nonlinearity for Intervention and Policy,Jennifer Ahern | Claire Margerison-Zilko | Alan Hubbard | Sandro Galea,American Journal of Public Health,10.2105/ajph.2012.301203,https://doi.org/10.2105/ajph.2012.301203,crossref_title_static,Verified via static CrossRef title search (score: 1.00),1.21,0,0,0,0.0,0.0,0.0
"Allison, P. D. (1990). Change scores as dependent variables in regression analysis. Sociological Methodology 20, 93-114.",journal_article,Change scores as dependent variables in regression analysis,"Allison, P. D.",1990,Sociological Methodology,20,,93-114,,,,,,,verified,1.0,Change Scores as Dependent Variables in Regression Analysis,Paul D. Allison,Sociological Methodology,10.2307/271083,https://doi.org/10.2307/271083,crossref_title_static,Verified via static CrossRef title search (score: 1.00),1.49,0,0,0,0.0,0.0,0.0
"Andresen, M. A. (2011). The ambient population and crime analysis. The Professional Geographer 63 (2), 193-212.",journal_article,The ambient population and crime analysis,"Andresen, M. A.",2011,The Professional Geographer,63,2,193-212,,,,,,,verified,1.0,The Ambient Population and Crime Analysis,Martin A. Andresen,The Professional Geographer,10.1080/00330124.2010.547151,https://doi.org/10.1080/00330124.2010.547151,crossref_title_static,Verified via static CrossRef title search (score: 1.00),1.66,0,0,0,0.0,0.0,0.0
"Andresen, M. A. and N. Malleson (2010). Testing the stability of crime patterns: Implications for theory and policy. Journal of Research in Crime and Delinquency 48 (1), 58-82.",journal_article,Testing the stability of crime patterns: Implications for theory and policy,"Andresen, M. A. | N. Malleson",2010,Journal of Research in Crime and Delinquency,48,1,58-82,,,,,,,minor_error,1.0,Testing the Stability of Crime Patterns: Implications for Theory and Policy,Martin A. Andresen | Nicolas Malleson,Journal of Research in Crime and Delinquency,10.1177/0022427810384136,https://doi.org/10.1177/0022427810384136,crossref_title_static,"Verified via static CrossRef title search (score: 1.00) Same work identified, but the citation year (2010) does not match the volume/issue (published-print) year (2011) while volume/article coordinates are present — typically online-first vs issue year; minor_error.",1.95,0,0,0,0.0,0.0,0.0
"Anselin, L. (1988). Spatial Econometrics: Methods and Models. Dordrecht, The Netherlands: Kluwer Academic Publishers.",book,Spatial Econometrics: Methods and Models,"Anselin, L.",1988,,,,,,,,Kluwer Academic Publishers,,,verified,1.0,Spatial Econometrics: Methods and Models,Luc Anselin,Studies in Operational Regional Science,10.1007/978-94-015-7799-1,https://doi.org/10.1007/978-94-015-7799-1,crossref_title_static,Verified via static CrossRef title search (score: 1.00),2.27,0,0,0,0.0,0.0,0.0
"Anselin, L. (1995). Local indicators of spatial association- LISA. Geographical Analysis 27 (2), 93-115.",journal_article,Local indicators of spatial association- LISA,"Anselin, L.",1995,Geographical Analysis,27,2,93-115,,,,,,,verified,0.993103448275862,Local Indicators of Spatial Association—LISA,Luc Anselin,Geographical Analysis,10.1111/j.1538-4632.1995.tb00338.x,https://doi.org/10.1111/j.1538-4632.1995.tb00338.x,crossref_title_static,Verified via static CrossRef title search (score: 0.99),2.73,0,0,0,0.0,0.0,0.0
"Anselin, L. and D. Arribas-Bel (2013). Spatial fixed effects and spatial dependence in a single cross-section. Papers in Regional Science 92 (1), 3-17.",journal_article,Spatial fixed effects and spatial dependence in a single cross-section,"Anselin, L. | D. Arribas-Bel",2013,Papers in Regional Science,92,1,3-17,,,,,,,verified,1.0,Spatial fixed effects and spatial dependence in a single cross‐section,Luc Anselin | Daniel Arribas-Bel,Papers in Regional Science,10.1111/j.1435-5957.2012.00480.x,https://doi.org/10.1111/j.1435-5957.2012.00480.x,crossref_title_static,Verified via static CrossRef title search (score: 1.00),3.06,0,0,0,0.0,0.0,0.0
"Anselin, L. and W. K. Cho (2002). Spatial effects and ecological inference. Political Analysis 10 (1), 276-297.",journal_article,Spatial effects and ecological inference,"Anselin, L. | W. K. Cho",2002,Political Analysis,10,1,276-297,,,,,,,verified,1.0,Spatial Effects and Ecological Inference,Luc Anselin | Wendy K. Tam Cho,Political Analysis,10.1093/pan/10.3.276,https://doi.org/10.1093/pan/10.3.276,crossref_title_static,Verified via static CrossRef title search (score: 1.00),3.35,0,0,0,0.0,0.0,0.0
"Bellair, P. E. and C. R. Browning (2010). Contemporary disorganization research: An assessment and further test of the systemic model of neighborhood crime. Journal of Research in Crime and Delinquency 47 (4), 496-521.",journal_article,Contemporary disorganization research: An assessment and further test of the systemic model of neighborhood crime,"Bellair, P. E. | C. R. Browning",2010,Journal of Research in Crime and Delinquency,47,4,496-521,,,,,,,verified,1.0,Contemporary Disorganization Research: An Assessment and Further Test of the Systemic Model of Neighborhood Crime,Paul E. Bellair | Christopher R. Browning,Journal of Research in Crime and Delinquency,10.1177/0022427810375578,https://doi.org/10.1177/0022427810375578,crossref_title_static,Verified via static CrossRef title search (score: 1.00),3.69,0,0,0,0.0,0.0,0.0
"Berk, R. A. (2005). Knowing when to fold ’em: An essay on evaluating the impact of CEASEFIRE, COMPSTAT, and EXILE*. Criminology & Public Policy 4 (3), 451-466.",journal_article,"Knowing when to fold ’em: An essay on evaluating the impact of CEASEFIRE, COMPSTAT, and EXILE*","Berk, R. A.",2005,Criminology & Public Policy,4,3,451-466,,,,,,,verified,1.0,"KNOWING WHEN TO FOLD 'EM: AN ESSAY ON EVALUATING THE IMPACT OF CEASEFIRE, COMPSTAT, AND EXILE *",RICHARD A. BERK,Criminology &amp; Public Policy,10.1111/j.1745-9133.2005.00314.x,https://doi.org/10.1111/j.1745-9133.2005.00314.x,crossref_title_static,Verified via static CrossRef title search (score: 1.00),3.96,0,0,0,0.0,0.0,0.0
"Berk, R. A. and J. MacDonald (2008). Overdispersion and poisson regression. Journal of Quantitative Criminology 24 (3), 269-284.",journal_article,Overdispersion and poisson regression,"Berk, R. A. | J. MacDonald",2008,Journal of Quantitative Criminology,24,3,269-284,,,,,,,verified,1.0,Overdispersion and Poisson Regression,Richard Berk | John M. MacDonald,Journal of Quantitative Criminology,10.1007/s10940-008-9048-4,https://doi.org/10.1007/s10940-008-9048-4,crossref_title_static,Verified via static CrossRef title search (score: 1.00),4.39,0,0,0,0.0,0.0,0.0
"Bernasco, W. and R. L. Block (2009). Where offenders choose to attack: A discrete choice model of robberies in Chicago. Criminology 47 (1), 93-130.",journal_article,Where offenders choose to attack: A discrete choice model of robberies in Chicago,"Bernasco, W. | R. L. Block",2009,Criminology,47,1,93-130,,,,,,,verified,1.0,WHERE OFFENDERS CHOOSE TO ATTACK: A DISCRETE CHOICE MODEL OF ROBBERIES IN CHICAGO*,WIM BERNASCO | RICHARD BLOCK,Criminology,10.1111/j.1745-9125.2009.00140.x,https://doi.org/10.1111/j.1745-9125.2009.00140.x,crossref_title_static,Verified via static CrossRef title search (score: 1.00),4.71,0,0,0,0.0,0.0,0.0
"Bernasco, W. and R. L. Block (2010). Robberies in Chicago: A block-level analysis of the influence of crime generators, crime attractors, and offender anchor points. Journal of Research in Crime and Delinquency 48 (1), 33-57.",journal_article,"Robberies in Chicago: A block-level analysis of the influence of crime generators, crime attractors, and offender anchor points","Bernasco, W. | R. L. Block",2010,Journal of Research in Crime and Delinquency,48,1,33-57,,,,,,,minor_error,1.0,"Robberies in Chicago: A Block-Level Analysis of the Influence of Crime Generators, Crime Attractors, and Offender Anchor Points",Wim Bernasco | Richard Block,Journal of Research in Crime and Delinquency,10.1177/0022427810384135,https://doi.org/10.1177/0022427810384135,crossref_title_static,"Verified via static CrossRef title search (score: 1.00) Same work identified, but the citation year (2010) does not match the volume/issue (published-print) year (2011) while volume/article coordinates are present — typically online-first vs issue year; minor_error.",5.07,0,0,0,0.0,0.0,0.0
"Beyerlein, K. and J. R. Hipp (2005). Social capital, too much of a good thing? American religous traditions and community crime. Social Forces 84 (2), 995-1013.",journal_article,"Social capital, too much of a good thing? American religous traditions and community crime","Beyerlein, K. | J. R. Hipp",2005,Social Forces,84,2,995-1013,,,,,,,verified,0.9966101694915255,"Social Capital, Too Much of a Good Thing? American Religious Traditions and Community Crime",K. Beyerlein | J. R. Hipp,Social Forces,10.1353/sof.2006.0004,https://doi.org/10.1353/sof.2006.0004,crossref_title_static,Verified via static CrossRef title search (score: 1.00),5.55,0,0,0,0.0,0.0,0.0
"Blalock, Jr., H. M. (1972). Causal inferences in nonexperimental research. New York: W. W. Norton & Company, Inc.",book,Causal inferences in nonexperimental research,"Blalock, Jr., H. M.",1972,,,,,,0393006425,,"W. W. Norton & Company, Inc.",,,verified,0.99,Causal inferences in nonexperimental research,"Blalock, Jr., H. M.","W. W. Norton & Company, Inc.",,,"AbeBooks (https://www.abebooks.com/Causal-inferences-nonexperimental-research-Norton-library/32451484917/bd), Archive.org (https://archive.org/details/causalinferences0000blal_u9z0), Google Books (https://books.google.com/books/about/Causal_Inferences_in_Nonexperimental_Res.html?id=nY7z0QEACAAJ)","The book 'Causal inferences in nonexperimental research' by H. M. Blalock Jr. (1972), published by W. W. Norton & Company, Inc. exists and matches the cited work exactly. Multiple primary sources confirm: AbeBooks listing (1972 Norton edition, ISBN 0393006425/9780393006421), Archive.org copy (1972, Norton Library publisher), and multiple AbeBooks UK listings. The title, author, year, and publisher all match the citation exactly. No discrepancies found.",40.84,31647,1484,1,0.000616,0.005,0.005616
"Block, R. L. and C. R. Block (1995). Space, place, and crime: Hot spot areas and hot places of liquor-related crime. Crime Prevention Studies 4, 145-184.",journal_article,"Space, place, and crime: Hot spot areas and hot places of liquor-related crime","Block, R. L. | C. R. Block",1995,Crime Prevention Studies,4,,145-184,,,,,,,verified,1.0,"Space, place, and crime: Hot spot areas and hot places of liquor-related crime","Block, R. L. | C. R. Block",Crime Prevention Studies,,https://popcenter.asu.edu/sites/g/files/litvpz3631/files/library/CrimePrevention/Volume_04/07-BlockBlock-2.pdf,https://popcenter.asu.edu/sites/g/files/litvpz3631/files/library/CrimePrevention/Volume_04/07-BlockBlock-2.pdf,"VERIFIED. The cited work exists exactly as stated. Title 'Space, place, and crime: Hot spot areas and hot places of liquor-related crime' matches the primary source (ASU PDF: 'Space, Place and Crime: Hot Spot Areas and Hot Places of Liquor-Related Crime') with only cosmetic capitalization differences (Place/place, Spot Areas/spot Areas, Liquor-Related/liquor-Related). Authors Block, R. L. and C. R. Block = Richard L. Block and Carolyn R. Block. Journal 'Crime Prevention Studies' volume 4, pages 145-184, year 1995 all confirmed. Primary source: https://popcenter.asu.edu/sites/g/files/litvpz3631/files/library/CrimePrevention/Volume_04/07-BlockBlock-2.pdf (ASU Center for Problem-Oriented Policing, official institutional repository). No errors — the citation is fully consistent with the real work.",48.29,31458,5215,1,0.001248,0.005,0.006248
"Boggs, S. L. (1965). Urban crime patterns. American Sociological Review 30 (6), 899-908.",journal_article,Urban crime patterns,"Boggs, S. L.",1965,American Sociological Review,30,6,899-908,,,,,,,verified,1.0,Urban Crime Patterns,Sarah L. Boggs,American Sociological Review,10.2307/2090968,https://doi.org/10.2307/2090968,crossref_title_static,Verified via static CrossRef title search (score: 1.00),6.28,0,0,0,0.0,0.0,0.0
"Boots, B. N. (1986). Voronoi (Thiessen) Polygons. Norwich: Geo Books.",book,Voronoi (Thiessen) Polygons,"Boots, B. N.",1986,,,,,,086094221X,,Geo Books,,,verified,1.0,Voronoi (Thiessen) Polygons,"Boots, B. N.",Geo Books,,,Primary evidence from gyanbooks.com publisher page (result [2]) and bibliographic metadata from ScholarWorks (result [3]) and other sources (result [5]) all confirm the cited book exists exactly as written.,"The citation 'Boots, B. N. (1986). Voronoi (Thiessen) Polygons. Norwich: Geo Books.' is verified as existing. Primary evidence from gyanbooks.com (result [2]) shows the book 'Voronoi (Thiessen) Polygons' by Boots, B. N, published 1986-01-01 by Geo Books in Norwich. Additional confirmation from ScholarWorks (result [3]) and other sources (result [5]) showing the same citation: 'Boots, B.N. 1986. Voronoi (Thiessen) Polygons. Concepts and Techniques in Modern Geography (CAROMOG) 45, (Norwich, UK: Geo Books), 51 pages.' The title, author, year, publisher, and location all match exactly as cited. No discrepancies found.",42.74,31354,1183,1,0.000562,0.005,0.005562
