raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Cheong, Yeilim and Stephan Haggard. 2023. ""Political Polarization in Korea."" Democratization 30 (7): 1215-1239.",journal_article,Political Polarization in Korea,"Cheong, Yeilim | Haggard, Stephan",2023,Democratization,30,7,1215-1239,,,,,,,verified,1.0,Political polarization in Korea,Yeilim Cheong | Stephan Haggard,Democratization,10.1080/13510347.2023.2217762,https://doi.org/10.1080/13510347.2023.2217762,crossref_title_static,Verified via static CrossRef title search (score: 1.00),98.65,0,0,0,0.0,0.0,0.0
"Cho, Joan E., and Aram Hur. 2025. ""The Perils of South Korean Democracy."" Journal of Democracy 36 (2): 38-46.",journal_article,The Perils of South Korean Democracy,"Cho, Joan E. | Hur, Aram",2025,Journal of Democracy,36,2,38-46,,,,,,,verified,1.0,The Perils of South Korean Democracy,Joan E. Cho | Aram Hur,Journal of Democracy,10.1353/jod.2025.a954560,https://doi.org/10.1353/jod.2025.a954560,crossref_title_static,Verified via static CrossRef title search (score: 1.00),99.32,0,0,0,0.0,0.0,0.0
"Ghitza, Yair, Andrew Gelman, and Jonathan Auerbach. 2023. ""The Great Society, Reagan's Revolution, and Generations of Presidential Voting."" American Journal of Political Science 67(3): 520-537.",journal_article,"The Great Society, Reagan's Revolution, and Generations of Presidential Voting","Ghitza, Yair | Gelman, Andrew | Auerbach, Jonathan",2023,American Journal of Political Science,67,3,520-537,,,,,,,verified,1.0,"The Great Society, Reagan's Revolution, and Generations of Presidential Voting",Yair Ghitza | Andrew Gelman | Jonathan Auerbach,American Journal of Political Science,10.1111/ajps.12713,https://doi.org/10.1111/ajps.12713,crossref_title_static,Verified via static CrossRef title search (score: 1.00),99.56,0,0,0,0.0,0.0,0.0
"Han, Seungwoo. 2025. ""Martial Law, Democratic Erosion, and Democratic Resilience in South Korea."" Asian Journal of Comparative Politics.",journal_article,"Martial Law, Democratic Erosion, and Democratic Resilience in South Korea","Han, Seungwoo",2025,Asian Journal of Comparative Politics,,,,,,,,,,verified,1.0,"Martial law, democratic erosion, and democratic resilience in South Korea",Seungwoo Han,Asian Journal of Comparative Politics,10.1177/20578911251369983,https://doi.org/10.1177/20578911251369983,crossref_title_static,Verified via static CrossRef title search (score: 1.00),99.86,0,0,0,0.0,0.0,0.0
"Hong, Ji Yeon, and Christopher Paik. 2021. ""Hate Thy Communist Neighbor: Protestants and Politics in South Korea."" Journal of Economic Behavior & Organization 186: 707-723.",journal_article,Hate Thy Communist Neighbor: Protestants and Politics in South Korea,"Hong, Ji Yeon | Paik, Christopher",2021,Journal of Economic Behavior & Organization,186,,707-723,,,,,,,verified,1.0,Hate thy communist neighbor: Protestants and politics in South Korea,Ji Yeon Hong | Christopher Paik,Journal of Economic Behavior &amp; Organization,10.1016/j.jebo.2020.11.004,https://doi.org/10.1016/j.jebo.2020.11.004,crossref_title_static,Verified via static CrossRef title search (score: 1.00),100.23,0,0,0,0.0,0.0,0.0
"Hur, Aram. 2025. ""South Korea's Democracy at a Crossroads."" Korea Observer 56(1): 1-18.",journal_article,South Korea's Democracy at a Crossroads,"Hur, Aram",2025,Korea Observer,56,1,1-18,,,,,,,verified,0.99,South Korea's Democracy at a Crossroads, | Aram Hur Hur,Korea Observer - Institute of Korean Studies,10.29152/koiks.2025.56.1.1,https://doi.org/10.29152/koiks.2025.56.1.1,crossref_title_static,Verified via static CrossRef title search (score: 0.99),100.47,0,0,0,0.0,0.0,0.0
"Hur, Aram, and Andrew Yeo. 2024. ""Democratic Ceilings: The Long Shadow of Nationalist Polarization in East Asia."" Comparative Political Studies 57(4): 584-612.",journal_article,Democratic Ceilings: The Long Shadow of Nationalist Polarization in East Asia,"Hur, Aram | Yeo, Andrew",2024,Comparative Political Studies,57,4,584-612,,,,,,,verified,1.0,Democratic Ceilings: The Long Shadow of Nationalist Polarization in East Asia,Aram Hur | Andrew Yeo,Comparative Political Studies,10.1177/00104140231178724,https://doi.org/10.1177/00104140231178724,crossref_title_static,Verified via static CrossRef title search (score: 1.00),100.86,0,0,0,0.0,0.0,0.0
"Jang, Sung-Min and Doh Chull Shin. 2021. ""The Rise of Generational Politics in South Korea."" The Pacific Review 34(5): 791-817.",journal_article,The Rise of Generational Politics in South Korea,"Jang, Sung-Min | Shin, Doh Chull",2021,The Pacific Review,34,5,791-817,,,,,,,not_found,0.6,The Rise of Generational Politics in South Korea,"Jang, Sung-Min | Shin, Doh Chull",The Pacific Review,,,,"The Taylor Francis result (result 1) appears to be a different chapter about generational politics in South Korea, not the exact cited article. Result 5 from Twitter suggests the article may not exist in The Pacific Review vol 34. Need to search the actual journal.",270.84,31057,878,1,0.000506,0.005,0.005506
"Kang, Won-Taek. 2020. ""Religion, Social Conservatism, and Democratic Discontent in Korea."" Democratization 27(6): 1021-1041.",journal_article,"Religion, Social Conservatism, and Democratic Discontent in Korea","Kang, Won-Taek",2020,Democratization,27,6,1021-1041,,,,,,,not_found,0.8,"""Religion, Social Conservatism, and Democratic Discontent in Korea""","Kang, Won-Taek",Democratization 27(6): 1021-1041,,,search_web,"Search for the exact title 'Religion, Social Conservatism, and Democratic Discontent in Korea' by Kang Won-Taek in Democratization 27(6) 2020 did not return the exact article. Related works by Kang on democratization in Korea were found, but the specific cited article was not confirmed in the search results. The cited article appears to be a real journal article based on the bibliographic details (title, author, journal, volume, issue, pages, year), but I could not locate a primary source confirming its existence at the exact coordinates. Without a primary source (CrossRef, publisher DOI, journal TOC, or institutional repository) confirming this exact work, the verification status should be not_found. However, the search did return many related works by Kang on Korean democratization, which suggests the article may exist but is not easily found via these search terms. I need to try a more specific search.",292.61,31387,777,1,0.000493,0.005,0.005493
"Kim, Jibum, et al. 2025. Korean General Social Survey (KGSS), 2003-2025 Cumulative Dataset. Seoul, Korea: Sungkyunkwan University Survey Research Center.",book,"Korean General Social Survey (KGSS), 2003-2025 Cumulative Dataset","Kim, Jibum",2025,,,,,,,,Sungkyunkwan University Survey Research Center,,,verified,1.0,Korean General Social Survey 2003-2025,"Kim, Jibum",Sungkyunkwan University Survey Research Center,,http://kgss.skku.edu/kgss/data.do,"Search results from kgss.skku.edu, KOSSDA repository, and associated PDF metadata confirming the existence of the Korean General Social Survey 2003-2025 cumulative dataset by Kim Jibum et al. (2025), published by Sungkyunkwan University Survey Research Center.","The cited work exists as confirmed by multiple primary sources: (1) kgss.skku.edu/kgss/data.do data page (updated 2026-08-03) which provides the exact English citation format: 'Jibum Kim, Jeong-han Kang, Seok-ho Kim, ChangHwan Kim, Wonho Park, Jae-Mahn Shim, Yun-Suk Lee, Seulki Choi, Sori Kim, and Worlhwa Kim. (2025). Korean General Social Survey 2003-2025. Seoul, Korea: Sungkyunkwan University'; (2) KOSSDA repository record (doi.org/10.22687/KOSSDA-A1-CUM-0062-V3); (3) PDF metadata (result [5]) confirming 'Jibum Kim et al. (2025). Korean General Survey 2003-2025. Seoul, Korea: Sungkyunkwan University.' The citation's title 'Korean General Social Survey (KGSS), 2003-2025 Cumulative Dataset' substantially matches the real work 'Korean General Social Survey 2003-2025' — the '(KGSS)' prefix and 'Cumulative Dataset' descriptor are cosmetic/identifying qualifiers, not different-topic title changes. The publisher 'Sungkyunkwan University Survey Research Center' matches the real institution exactly. 'et al.' truncation is permitted per hard rules. No volume/issue/pages issues since this is a dataset citation. Year 2025 matches the publication year of the cumulative dataset. All substantive fields match; only cosmetic differences exist.",373.81,31669,2817,1,0.000843,0.005,0.005843
