raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] Davide Maltoni, Dario Maio, Anil K Jain, and Jianjiang Feng. Handbook of fingerprint recognition, volume 3. Springer, 2022. doi: 10.1007/978-3-030-83624-5.",book,Handbook of fingerprint recognition,Davide Maltoni | Dario Maio | Anil K Jain | Jianjiang Feng,2022,,3,,,10.1007/978-3-030-83624-5,9783030836245,,Springer,,,verified,1.0,Handbook of Fingerprint Recognition,Davide Maltoni | Dario Maio | Anil K. Jain | Jianjiang Feng,,10.1007/978-3-030-83624-5,,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),374.36,0,0,0,0.0,0.0,0.0
"[2] Neil Yager and Adnan Amin. Fingerprint classification: a review. Pattern Anal. Appl., 7:77-93, 2004. doi: 10.1007/s10044-004-0204-7.",journal_article,Fingerprint classification: a review,Neil Yager | Adnan Amin,2004,Pattern Anal. Appl.,7,,77-93,10.1007/s10044-004-0204-7,,,,,,verified,1.0,Fingerprint classification: a review,Neil Yager | Adnan Amin,Pattern Analysis &amp; Applications,10.1007/s10044-004-0204-7,https://doi.org/10.1007/s10044-004-0204-7,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),374.7,0,0,0,0.0,0.0,0.0
"[3] Danilo Valdes-Ramirez, Miguel Angel Medina-P´erez, Ra´ul Monroy, Octavio Loyola-Gonz´alez, Jorge Rodr´ıguez, Aythami Morales, and Francisco Herrera. A review of fingerprint feature representations and their applications for latent fingerprint identification: Trends and evaluation. IEEE Access, 7:48484-48499, 2019. doi: 10.1109/ACCESS.2019.2909497.",journal_article,A review of fingerprint feature representations and their applications for latent fingerprint identification: Trends and evaluation,Danilo Valdes-Ramirez | Miguel Angel Medina-Pérez | Raúl Monroy | Octavio Loyola-González | Jorge Rodríguez | Aythami Morales | Francisco Herrera,2019,IEEE Access,7,,48484-48499,10.1109/ACCESS.2019.2909497,,,,,,verified,1.0,A Review of Fingerprint Feature Representations and Their Applications for Latent Fingerprint Identification: Trends and Evaluation,Danilo Valdes-Ramirez | Miguel Angel Medina-Perez | Raul Monroy | Octavio Loyola-Gonzalez | Jorge Rodriguez | Aythami Morales | Francisco Herrera,IEEE Access,10.1109/access.2019.2909497,https://doi.org/10.1109/access.2019.2909497,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),375.03,0,0,0,0.0,0.0,0.0
"[4] Hillary Moses Daluz. Fundamentals of fingerprint analysis. CRC Press, 2 edition, 2018. doi: 10.4324/9781351043205.",book,Fundamentals of fingerprint analysis,Hillary Moses Daluz,2018,,,,,10.4324/9781351043205,9781351043205,,CRC Press,,,verified,1.0,"Fundamentals of Fingerprint Analysis, Second Edition",Hillary Moses Daluz,,10.4324/9781351043205,,"search_web results [1] Taylor Francis publisher page; [3] Berkeley Law catalog; [5] Open Library; all confirming the book Fundamentals of Fingerprint Analysis, Second Edition by Hillary Moses Daluz, CRC Press, 2018, DOI 10.4324/9781351043205.","The citation provides title 'Fundamentals of fingerprint analysis', authors ['Hillary Moses Daluz'], year 2018, DOI 10.4324/9781351043205, publisher CRC Press, edition '2 edition'. CrossRef precheck confirms author_match_score 1.0, title_similarity 0.8276, title_substantially_differs: false. The DOI 10.4324/9781351043205 resolves to 'Fundamentals of Fingerprint Analysis, Second Edition' by Hillary Moses Daluz, CRC Press, 2018 (confirmed via Taylor Francis publisher page and Open Library/WorldCat metadata). The title difference is cosmetic: the citation gives the main title without the 'Second Edition' subtitle, but the edition is explicitly specified as '2 edition' elsewhere in the citation. All substantive fields (author, title topic, publisher, year, DOI) identify the same work. No evidence of fabrication, chimera, or different work. The crossref_precheck metadata_match_score of 0.8966 is below the auto-verify threshold of 0.93, but manual confirmation against the publisher record confirms the work exists as cited.",985.97,32733,5731,1,0.001351,0.005,0.006351
"[5] National Research Council. Strengthening Forensic Science in the United States: A Path Forward. The National Academies Press, Washington, DC, 2009. doi: 10.17226/12589.",book,Strengthening Forensic Science in the United States: A Path Forward,National Research Council,2009,,,,,10.17226/12589,,,The National Academies Press,,,verified,0.95,Strengthening Forensic Science in the United States: A Path Forward,National Research Council,The National Academies Press,10.17226/12589,https://doi.org/10.17226/12589,CrossRef DOI 10.17226/12589 (https://doi.org/10.17226/12589); National Academies Press page https://www.nationalacademies.org/read/12589; OJRS virtual library https://www.ojp.gov/ncjrs/virtual-library/abstracts/strengthening-forensic-science-united-states-path-forward; PDF document https://www.ojp.gov/pdffiles1/nij/grants/228091.pdf,"The citation is verified. The exact title ""Strengthening Forensic Science in the United States: A Path Forward"" matches the work indexed at DOI 10.17226/12589. The year 2009 matches. The publisher The National Academies Press matches. Web search results (OJRS virtual library, National Academies Press page, PDF document) all confirm the work exists by National Research Council, 2009, with the stated DOI. The crossref_precheck's author mismatches (unmatched_cited_authors: [""National Research Council""], authors_substantially_match: false) derive from CrossRef's empty authors array for this book record, not from any actual discrepancy in the cited work. The raw_text citation correctly identifies the work, and the title_similarity of 1.0 confirms exact title match. No title, venue, or year errors exist. The only CrossRef issue is a metadata indexing artifact for this institutional-author book.",826.01,32497,3756,1,0.001012,0.005,0.006012
"[6] President’s Council of Advisors on Science and Technology. Forensic science in criminal courts: Ensuring scientific validity of feature-comparison methods. Technical report, Executive Office of the President, Washington, DC, 2016.",book,Forensic science in criminal courts: Ensuring scientific validity of feature-comparison methods,President’s Council of Advisors on Science and Technology,2016,,,,,,,,Executive Office of the President,,,verified,1.0,Forensic science in criminal courts: Ensuring scientific validity of feature-comparison methods,President’s Council of Advisors on Science and Technology,Executive Office of the President,,https://obamawhitehouse.archives.gov/sites/default/files/microsites/ostp/PCAST/pcast_forensic_science_report_final.pdf,"Primary evidence from search results confirming the PCAST 2016 report exists with matching title, author, year, and publisher.","The citation was verified against primary sources. Search results confirm the PCAST report 'Forensic Science in Criminal Courts: Ensuring Scientific Validity of Feature-Comparison Methods' was published in September 2016 by the Executive Office of the President. The full PDF is available at https://obamawhitehouse.archives.gov/sites/default/files/microsites/ostp/PCAST/pcast_forensic_science_report_final.pdf. The title in the citation matches the real report title with only standard capitalization differences. The report was publicly released and documented by multiple sources including the Obama White House blog, PubMed, and the PDF itself.",769.98,31349,1018,1,0.000534,0.005,0.005534
"[7] Nina Otter, Mason A Porter, Ulrike Tillmann, Peter Grindrod, and Heather A Harrington. A roadmap for the computation of persistent homology. EPJ Data Sci., 6:1-38, 2017. doi: 10.1140/epjds/s13688-017-0109-5.",journal_article,A roadmap for the computation of persistent homology,Nina Otter | Mason A Porter | Ulrike Tillmann | Peter Grindrod | Heather A Harrington,2017,EPJ Data Sci.,6,,1-38,10.1140/epjds/s13688-017-0109-5,,,,,,verified,1.0,A roadmap for the computation of persistent homology,Nina Otter | Mason A Porter | Ulrike Tillmann | Peter Grindrod | Heather A Harrington,EPJ Data Science,10.1140/epjds/s13688-017-0109-5,https://doi.org/10.1140/epjds/s13688-017-0109-5,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),376.85,0,0,0,0.0,0.0,0.0
"[8] Larry Wasserman. Topological data analysis. Ann. Rev. Statistics Appl., 5:501-532, 2018. doi: 10.1146/annurev-statistics-031017-100045.",journal_article,Topological data analysis,Larry Wasserman,2018,Ann. Rev. Statistics Appl.,5,,501-532,10.1146/annurev-statistics-031017-100045,,,,,,verified,1.0,Topological Data Analysis,Larry Wasserman,Annual Review of Statistics and Its Application,10.1146/annurev-statistics-031017-100045,https://doi.org/10.1146/annurev-statistics-031017-100045,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),377.16,0,0,0,0.0,0.0,0.0
"[9] Gunnar Carlsson. Topological methods for data modelling. Nature Rev. Phys., 2(12):697-708, 2020. doi: 10.1038/s42254-020-00249-3.",journal_article,Topological methods for data modelling,Gunnar Carlsson,2020,Nature Rev. Phys.,2,12,697-708,10.1038/s42254-020-00249-3,,,,,,verified,1.0,Topological methods for data modelling,Gunnar Carlsson,Nature Reviews Physics,10.1038/s42254-020-00249-3,https://doi.org/10.1038/s42254-020-00249-3,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),377.5,0,0,0,0.0,0.0,0.0
"[10] Noah Giansiracusa, Robert Giansiracusa, and Chul Moon. Persistent homology machine learning for fingerprint classification. In Proc. 18th IEEE Int. Conf. Machine Learning and Applications (ICMLA), pages 1219-1226. IEEE, 2019. doi: 10.1109/ICMLA.2019.00201.",conference_paper,Persistent homology machine learning for fingerprint classification,Noah Giansiracusa | Robert Giansiracusa | Chul Moon,2019,,,,1219-1226,10.1109/ICMLA.2019.00201,,Proc. 18th IEEE Int. Conf. Machine Learning and Applications (ICMLA),IEEE,,,verified,1.0,Persistent Homology Machine Learning for Fingerprint Classification,Noah Giansiracusa | Robert Giansiracusa | Chul Moon,2019 18th IEEE International Conference On Machine Learning And Applications (ICMLA),10.1109/icmla.2019.00201,https://doi.org/10.1109/icmla.2019.00201,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),377.83,0,0,0,0.0,0.0,0.0
