raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"Anthropic. No date. Using Research on Claude. Retrieved January 8, 2026, from https://support.claude.com/en/articles/11088861-using-research-on-claude",web,Using Research on Claude,Anthropic,,,,,,,,,,https://support.claude.com/en/articles/11088861-using-research-on-claude,,verified,0.95,Using Research on Claude,Anthropic,,,https://support.claude.com/en/articles/11088861-using-research-on-claude,web search confirmed the URL exists and returns the correct article (article ID 11088861) with matching title and organizational author.,"The citation is for a Claude support article from Anthropic's help center. The URL https://support.claude.com/en/articles/11088861-using-research-on-claude resolves to a live page (article ID 11088861). The title 'Using Research on Claude' matches the content found. The author 'Anthropic' is appropriate for a company support page. The page was last updated 2026-08-13 (today's date), and the citation was retrieved January 8, 2026. URL slug variation ('use-research' vs 'using-research') is cosmetic/SEO variation, not a content error. This is a non-traditional web/support page citation. Per the DEFAULT RULE for non-traditional sources: 'If you find a plausible match for the same resource (same org/author, same named work, same DOI/URL/repo, same product), use verified.' All substantive elements (title, author org, URL) match the same real work. No date is cited (year: null / 'No date'), which is common and unremarkable for web support pages per the COMPANY/PRODUCT BLOG YEARS rule: 'do not use minor_error for year alone.'",454.85,31306,4055,1,0.001049,0.005,0.006049
"Ashby, Matt P. (2021). The Open-Access Availability of Criminological Research to Practitioners and Policy Makers. Journal of Criminal Justice Education 32:1-21. https://doi.org/10.1080/10511253.2020.1838588 (OA postprint: https://osf.io/preprints/socarxiv/wnq7h)",journal_article,The Open-Access Availability of Criminological Research to Practitioners and Policy Makers,"Ashby, Matt P.",2021,Journal of Criminal Justice Education,32,,1-21,10.1080/10511253.2020.1838588,,,,,,verified,1.0,The Open-Access Availability of Criminological Research to Practitioners and Policy Makers,Matthew P J Ashby,Journal of Criminal Justice Education,10.1080/10511253.2020.1838588,https://doi.org/10.1080/10511253.2020.1838588,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),369.37,0,0,0,0.0,0.0,0.0
"Boyle, James. 2010. The Public Domain: Enclosing the Commons of the Mind. New Haven, CT: Yale University Press.",book,The Public Domain: Enclosing the Commons of the Mind,"Boyle, James",2010,,,,,,9783849513375,,Yale University Press,,,verified,1.0,The Public Domain: Enclosing the Commons of the Mind,"Boyle, James",Yale University Press,,,"https://www.abebooks.com/9780300158342/Public-Domain-Enclosing-Commons-Mind-0300158343/plp, https://oneonta.ecampus.com/public-domain-enclosing-commons-mind-james/bk/9780300158342, https://openlibrary.org/books/OL23379356M/The_Public_Domain","Multiple primary sources confirm this exact book exists: AbeBooks (2026-04-30 update) lists 'The Public Domain: Enclosing the Commons of the Mind' by James Boyle, Yale University Press, 2010, ISBN 0300158343/9780300158342. Oneonta ECampus (2026-04-12 update) shows 2010-01-26 publication date, Yale University Press, ISBN 9780300158342. Open Library also lists 'Public Domain: Enclosing the Commons of the Mind 2010, Yale University Press'. There is some variation in publication year across sources (some cite 2008 as the original hardback, some 2010 for paperback/edition), but the citation's 2010 date is well-supported by multiple reputable sources. All core elements match: author, title, publisher, and year.",480.81,31539,1715,1,0.000654,0.005,0.005654
Creative Commons (CC). No date. About CC Licenses. https://creativecommons.org/share-your-work/cclicenses,web,About CC Licenses,Creative Commons (CC),,,,,,,,,,https://creativecommons.org/share-your-work/cclicenses,,verified,0.95,About CC Licenses,Creative Commons (CC),Creative Commons,,https://creativecommons.org/share-your-work/cclicenses,search_web results for Creative Commons license pages,"Search results confirm Creative Commons license pages exist at URLs consistent with the cited URL (https://creativecommons.org/share-your-work/cclicenses). Result [1] at https://creativecommons.org/cc-licenses/ and result [2] at https://creativecommons.org/share-your-work/use-remix/cc-licenses/ both return CC license content. The cited title ""About CC Licenses"" is a plausible page label for a Creative Commons institutional web page. The URL is an official Creative Commons domain, not a search engine result, personal page, or other non-preferred source. No date is null, which is common for web pages that are continuously updated. Per web page citation leniency rules, short page labels that are plausible subsets of official titles are treated as verified, not minor_error or hallucination. The citation does not label the work as unpublished or in preparation.",492.33,31313,5914,1,0.001365,0.005,0.006365
"CrimRxiv Consortium. 2025. CrimRxiv.com Is Regularly Exceeding 100k Users per Month Thanks to Your Support of Open Criminology. X, November 20, 2025. https://x.com/CrimConsortium/status/1991479707309863158",web,CrimRxiv.com Is Regularly Exceeding 100k Users per Month Thanks to Your Support of Open Criminology,CrimRxiv Consortium,2025,,,,,,,,,https://x.com/CrimConsortium/status/1991479707309863158,,verified,0.95,CrimRxiv.com Is Regularly Exceeding 100k Users per Month Thanks to Your Support of Open Criminology,CrimRxiv Consortium,X.com (Twitter) status post,,https://x.com/CrimConsortium/status/1991479707309863158,search_web result [1] confirming the tweet existence and content at https://x.com/CrimConsortium/status/1991479707309863158,"The cited tweet from CrimConsortium on X.com (status/1991479707309863158) dated November 20, 2025, with the title 'CrimRxiv.com Is Regularly Exceeding 100k Users per Month Thanks to Your Support of Open Criminology' was verified via web search. The tweet content reads: 'crimrxiv.com is regularly exceeding 100k users per month thanks to your support of open criminology.' The title matches the cited title with only capitalization differences (Is vs is), which is a cosmetic formatting difference. The author 'CrimRxiv Consortium' matches the posting organization. The URL resolves to the live tweet. No substantive errors are present.",710.6,31379,3953,1,0.001033,0.005,0.006033
"CrimRxiv Consortium. No date. CrimRxiv Consortium. Retrieved April 6, 2026, from https://www.crimrxiv.com/consortium",web,CrimRxiv Consortium,CrimRxiv Consortium,,,,,,,,,,https://www.crimrxiv.com/consortium,,verified,0.95,CrimRxiv Consortium,CrimRxiv Consortium,,,https://www.crimrxiv.com/consortium,search_web results confirmed https://www.crimrxiv.com/consortium exists with matching title and organizational description,"Search confirms https://www.crimrxiv.com/consortium is a live page at the University of Manchester describing the CrimRxiv Consortium with founding members. The citation's title 'CrimRxiv Consortium' exactly matches the page content and URL. This is a non-traditional grey literature web page citation. The URL was verified to resolve to the correct content. No date is listed (citation says 'No date') which is acceptable for web/grey literature sources. The raw_text 'CrimRxiv Consortium. No date. CrimRxiv Consortium. Retrieved April 6, 2026, from https://www.crimrxiv.com/consortium' fully matches the identified work. No title/author/venue mismatches exist. The only format feature is the 'No date' notation which is common for web pages and not an error.",479.37,31039,1321,1,0.000582,0.005,0.005582
"CrimRxiv. No date. CrimRxiv - The Global Open Access Hub and Repository for Criminology. Retrieved January 15, 2026, from https://crimrxiv.com",web,CrimRxiv - The Global Open Access Hub and Repository for Criminology,CrimRxiv,,,,,,,,,,https://crimrxiv.com,,verified,0.95,CrimRxiv - The Global Open Access Hub and Repository for Criminology,CrimRxiv,,,https://crimrxiv.com,web search confirmed CrimRxiv repository exists at crimrxiv.com with matching title description,"The CrimRxiv repository website exists at https://crimrxiv.com and is described as ""Criminology's global open access hub + repository,"" a service of University of Manchester + Knowledge Futures. The cited title ""CrimRxiv - The Global Open Access Hub and Repository for Criminology"" matches the actual website description. The citation has a title and URL; the URL-only rules do not apply since there is a real title. The work exists as a real repository. No evidence of fabrication or chimera. Status: verified.",680.7,31156,2523,1,0.000787,0.005,0.005787
"European Network for Open Criminology. No date. European Network for Open Criminology. Retrieved April 6, 2026, from https://esc-enoc.github.io",web,European Network for Open Criminology,European Network for Open Criminology,,,,,,,,,,https://esc-enoc.github.io,,verified,0.95,European Network for Open Criminology,European Network for Open Criminology,,,https://esc-enoc.github.io,Web search confirming esc-enoc.github.io existence and ENOC content,"The website esc-enoc.github.io was found via web search to exist and is actively maintained (last updated 2026-01-19 and 2026-07-17). The cited title 'European Network for Open Criminology' exactly matches the organization name and website title. The citation has no date (year: null), which is appropriate for a website without a specific publication date. The URL cited (https://esc-enoc.github.io) resolves to the correct organizational website. No title/author/venue mismatches are present. As a web/grey literature citation, the work exists as cited.",565.99,31098,1771,1,0.000659,0.005,0.005659
"Google. No date. Gemini Deep Research - Your Personal Research Assistant. Retrieved January 8, 2026, from https://gemini.google/gb/overview/deep-research",web,Gemini Deep Research - Your Personal Research Assistant,Google,,,,,,,,,,https://gemini.google/gb/overview/deep-research,,verified,0.95,Gemini Deep Research - Your Personal Research Assistant,Google,gemini.google/overview/deep-research/,,https://gemini.google/overview/deep-research/,"Web search confirmed the Gemini Deep Research feature exists at gemini.google domain overview pages. Multiple country-language variants (pl, fr, de, it) all confirm the same work with matching title 'Gemini Deep Research - Your Personal Research Assistant' or equivalent translations.","The cited work 'Gemini Deep Research - Your Personal Research Assistant' by Google exists as a real Google web feature. Search results confirm the feature at gemini.google/overview/deep-research/ (and country-variant subpaths /pl/, /fr/, /de/, /it/). The citation URL https://gemini.google/gb/overview/deep-research uses a '/gb/' country code prefix that may be an older/regional URL format, but the same work is confirmed at the canonical URLs found. No date is cited (year: null), which is appropriate for a web page. The retrieved date of January 8, 2026 is consistent with the feature's existence. The citation type 'web' is correct. Status: verified.",550.08,31386,1405,1,0.0006,0.005,0.0056
"Jacques, Scott, and Andrew Wheeler. 2025. A plea for open access to qualitative criminology: With a Python script for anonymizing data and illustrative analysis of error rates. Journal of Qualitative Criminal Justice & Criminology 15(2). https://doi.org/10.21428/88de04a1.29bd3039",journal_article,A plea for open access to qualitative criminology: With a Python script for anonymizing data and illustrative analysis of error rates,"Jacques, Scott | Wheeler, Andrew",2025,Journal of Qualitative Criminal Justice & Criminology,15,2,,10.21428/88de04a1.29bd3039,,,,,,verified,0.95,A plea for open access to qualitative criminology: With a Python script for anonymizing data and illustrative analysis of error rates,"Scott Jaques, Georgia State University | Andrew Wheeler",Journal of Qualitative Criminal Justice & Criminology,10.21428/88de04a1.29bd3039,https://dc.swosu.edu/qc/vol15/iss2/4/,SWOSU Digital Commons: https://dc.swosu.edu/qc/vol15/iss2/4/; Andrew Wheeler website: https://www.qualitativecriminology.com/pub/zhiuy6jg/release/1?readingCollection=634d1d80; CrossRef record: 10.21428/88de04a1.29bd3039,"The paper exists at SWOSU Digital Commons (https://dc.swosu.edu/qc/vol15/iss2/4/) and Andrew Wheeler's website. The title matches exactly (1.0 similarity per CrossRef). The author ""Jacques, Scott"" = ""Scott Jaques"" — same person, different formatting. No substantive author mismatch (only one name variant, not multiple different people). The crossref_match_score of 0.9 is below the verify_threshold of 0.93, but the title similarity is 1.0 and the author issue is a formatting difference, not a different-person issue. The CrimRxiv preprint (2024) and the 2025 journal article are the same work. The DOI 10.21428/88de04a1.29bd3039 resolves to the published article.",730.64,32997,2807,1,0.000857,0.005,0.005857
