raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"1. Chouldechova, A. Fair prediction with disparate impact: A study of bias in recidivism prediction instruments. Big Data 2017, 5, 153-163. [CrossRef] [PubMed]",journal_article,Fair prediction with disparate impact: A study of bias in recidivism prediction instruments,"Chouldechova, A.",2017,Big Data,5,,153-163,,,,,,,verified,1.0,Fair Prediction with Disparate Impact: A Study of Bias in Recidivism Prediction Instruments,Alexandra Chouldechova,Big Data,10.1089/big.2016.0047,https://doi.org/10.1089/big.2016.0047,crossref_title_static,Verified via static CrossRef title search (score: 1.00),80.94,0,0,0,0.0,0.0,0.0
"10. Farayola, M.M.; Tal, I.; Connolly, R.; Saber, T.; Bendechache, M. Ethics and trustworthiness of AI for predicting the risk of recidivism: A systematic literature review. Information 2023, 14, 426. [CrossRef]",journal_article,Ethics and trustworthiness of AI for predicting the risk of recidivism: A systematic literature review,"Farayola, M.M. | Tal, I. | Connolly, R. | Saber, T. | Bendechache, M.",2023,Information,14,,426,,,,,,,verified,1.0,Ethics and Trustworthiness of AI for Predicting the Risk of Recidivism: A Systematic Literature Review,Michael Mayowa Farayola | Irina Tal | Regina Connolly | Takfarinas Saber | Malika Bendechache,Information,10.3390/info14080426,https://doi.org/10.3390/info14080426,crossref_title_static,Verified via static CrossRef title search (score: 1.00),81.29,0,0,0,0.0,0.0,0.0
"11. Farayola, M.M.; Tal, I.; Bendechache, M.; Saber, T.; Connolly, R. Fairness of AI in predicting the risk of recidivism: Review and phase mapping of AI fairness techniques. In Proceedings of the ARES 2023; ACM: New York, NY, USA, 2023.",conference_paper,Fairness of AI in predicting the risk of recidivism: Review and phase mapping of AI fairness techniques,"Farayola, M.M. | Tal, I. | Bendechache, M. | Saber, T. | Connolly, R.",2023,,,,,,,Proceedings of the ARES 2023,ACM,,,verified,1.0,Fairness of AI in Predicting the Risk of Recidivism: Review and Phase Mapping of AI Fairness Techniques,"Farayola, M.M. | Tal, I. | Bendechache, M. | Saber, T. | Connolly, R.","Proceedings of the 18th International Conference on Availability, Reliability and Security",10.1145/3600160.3605033,https://doi.org/10.1145/3600160.3605033,"CrossRef DOI lookup + web search confirming ARES 2023 = 18th International Conference on Availability, Reliability and Security","The cited venue 'Proceedings of the ARES 2023' is the same serial as CrossRef's 'Proceedings of the 18th International Conference on Availability, Reliability and Security' — a cosmetic/abbreviation difference (ARES 2023 = the 18th International Conference on Availability, Reliability and Security), confirmed via web search. Title differences are purely capitalization ('phase mapping' vs 'Phase Mapping', 'predicting' vs 'Predicting'), which are notation/cosmetic per the hard rules and do not downgrade to minor_error. Authors are the same people with format differences (surname/initials vs full names). CrossRef metadata_match_score = 1.0, author_match_score = 1.0, title_similarity = 1.0. DOI 10.1145/3600160.3605033 resolves to the correct work.",315.23,33223,4353,1,0.001122,0.005,0.006122
"12. Cavus, M.; Benli, M.N.; Altuntas, U.; Sari, M.; Ayan, H.; Ugurluoglu, Y.F. Transparent and bias-resilient AI framework for recidivism prediction using deep learning and clustering techniques in criminal justice. Appl. Soft Comput. 2025, 176, 113160. [CrossRef]",journal_article,Transparent and bias-resilient AI framework for recidivism prediction using deep learning and clustering techniques in criminal justice,"Cavus, M. | Benli, M.N. | Altuntas, U. | Sari, M. | Ayan, H. | Ugurluoglu, Y.F.",2025,Appl. Soft Comput.,176,,113160,,,,,,,verified,1.0,Transparent and bias-resilient AI framework for recidivism prediction using deep learning and clustering techniques in criminal justice,Muhammed Cavus | Muhammed Nurullah Benli | Usame Altuntas | Mahmut Sari | Huseyin Ayan | Yusuf Furkan Ugurluoglu,Applied Soft Computing,10.1016/j.asoc.2025.113160,https://doi.org/10.1016/j.asoc.2025.113160,crossref_title_static,Verified via static CrossRef title search (score: 1.00),82.09,0,0,0,0.0,0.0,0.0
"13. Tagliafierro, F.; Caterino, C. Criminal recidivism: Towards reliable and transparent predictive models. Riv. Ital. Econ. Demogr. Stat. 2026, 80, 367-378. [CrossRef]",journal_article,Criminal recidivism: Towards reliable and transparent predictive models,"Tagliafierro, F. | Caterino, C.",2026,Riv. Ital. Econ. Demogr. Stat.,80,,367-378,,,,,,,verified,1.0,Criminal recidivism. Towards reliable and transparent predictive models,Flavia Tagliafierro | Claudio Caterino,Rivista Italiana di Economia Demografia e Statistica,10.71014/sieds.v80i2.509,https://doi.org/10.71014/sieds.v80i2.509,crossref_title_static,Verified via static CrossRef title search (score: 1.00),82.26,0,0,0,0.0,0.0,0.0
"14. Rebitschek, F.G.; Gigerenzer, G.; Wagner, G.G. People underestimate the errors made by algorithms for credit scoring and recidivism prediction but accept even fewer errors. Sci. Rep. 2021, 11, 20171. [CrossRef] [PubMed]",journal_article,People underestimate the errors made by algorithms for credit scoring and recidivism prediction but accept even fewer errors,"Rebitschek, F.G. | Gigerenzer, G. | Wagner, G.G.",2021,Sci. Rep.,11,,20171,,,,,,,verified,1.0,People underestimate the errors made by algorithms for credit scoring and recidivism prediction but accept even fewer errors,Felix G. Rebitschek | Gerd Gigerenzer | Gert G. Wagner,Scientific Reports,10.1038/s41598-021-99802-y,https://doi.org/10.1038/s41598-021-99802-y,crossref_title_static,Verified via static CrossRef title search (score: 1.00),82.59,0,0,0,0.0,0.0,0.0
"15. Cyphert, A.B. Reprogramming recidivism: The First Step Act and algorithmic prediction of risk. Seton Hall Law Rev. 2020, 51, 331-382.",journal_article,Reprogramming recidivism: The First Step Act and algorithmic prediction of risk,"Cyphert, A.B.",2020,Seton Hall Law Rev.,51,,331-382,,,,,,,verified,1.0,Reprogramming Recidivism: The First Step Act and Algorithmic Prediction of Risk,"Cyphert, A.B.",Seton Hall Law Review,10.2139/ssrn.3793685,https://doi.org/10.2139/ssrn.3793685,https://doi.org/10.2139/ssrn.3793685,"The cited title ""Reprogramming recidivism: The First Step Act and algorithmic prediction of risk"" differs from the published title ""Reprogramming Recidivism: The First Step Act and Algorithmic Prediction of Risk"" only in capitalization of ""Recidivism"" and minor capitalization differences - these are cosmetic/notation rendering differences per the math/markup notation hard rule → verified. The cited venue ""Seton Hall Law Rev."" is a standard abbreviation for ""Seton Hall Law Review,"" the same serial (abbreviation vs. full name of the same serial → verified per the guidance). Volume 51, pages 331-382, year 2020 all match the primary record. The CrossRef record shows container ""SSRN Electronic Journal"" but web search confirms the work was published in Seton Hall Law Review Vol. 51, Iss. 2 (2020), with identical title (capitalization aside), author, and page numbers. The venue_container_mismatch in the CrossRef precheck is resolved by confirming the abbreviation is for the same serial.",330.53,32527,5561,1,0.001319,0.005,0.006319
"16. Leng, J.; Xu, W.; Li, T.; Chen, L.; Xu, M. A prediction model of recidivism of specific populations based on Big Data. Wirel. Commun. Mob. Comput. 2022, 2022, 9167590. [CrossRef]",journal_article,A prediction model of recidivism of specific populations based on Big Data,"Leng, J. | Xu, W. | Li, T. | Chen, L. | Xu, M.",2022,Wirel. Commun. Mob. Comput.,2022,,9167590,,,,,,,verified,1.0,A Prediction Model of Recidivism of Specific Populations Based on Big Data,Jing Leng | Wei Xu | Tonghong Li | Likun Chen | Mingwei Xu,Wireless Communications and Mobile Computing,10.1155/2022/9167590,https://doi.org/10.1155/2022/9167590,crossref_title_static,Verified via static CrossRef title search (score: 1.00),83.57,0,0,0,0.0,0.0,0.0
"17. Ingram, E.; Gursoy, F.; Kakadiaris, I.A. Accuracy, fairness, and interpretability of machine learning criminal recidivism models. In 2022 IEEE/ACM International Conference on Big Data Computing, Applications and Technologies (BDCAT); IEEE: Vancouver, WA, USA, 2022.",conference_paper,"Accuracy, fairness, and interpretability of machine learning criminal recidivism models","Ingram, E. | Gursoy, F. | Kakadiaris, I.A.",2022,,,,,,,"2022 IEEE/ACM International Conference on Big Data Computing, Applications and Technologies (BDCAT)",IEEE,,,verified,1.0,"Accuracy, Fairness, and Interpretability of Machine Learning Criminal Recidivism Models",Eric Ingram | Furkan Gursoy | Ioannis A. Kakadiaris,"2022 IEEE/ACM International Conference on Big Data Computing, Applications and Technologies (BDCAT)",10.1109/bdcat56447.2022.00040,https://doi.org/10.1109/bdcat56447.2022.00040,crossref_title_static,Verified via static CrossRef title search (score: 1.00),83.79,0,0,0,0.0,0.0,0.0
"18. Ma, Y.; Nakamura, K.; Lee, E.-J.; Bhattacharyya, S.S. EADTC: An approach to interpretable and accurate crime prediction. In 2022 IEEE International Conference on Systems, Man, and Cybernetics (SMC); IEEE: Prague, Czech Republic, 2022.",conference_paper,EADTC: An approach to interpretable and accurate crime prediction,"Ma, Y. | Nakamura, K. | Lee, E.-J. | Bhattacharyya, S.S.",2022,,,,,,,"2022 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",IEEE,,,verified,1.0,EADTC: An Approach to Interpretable and Accurate Crime Prediction,Yujunrong Ma | Kiminori Nakamura | Eung-Joo Lee | Shuvra S. Bhattacharyya,"2022 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",10.1109/smc53654.2022.9945130,https://doi.org/10.1109/smc53654.2022.9945130,crossref_title_static,Verified via static CrossRef title search (score: 1.00),84.25,0,0,0,0.0,0.0,0.0
