raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"[1] Ackerman W.V., Murray A.T. Assessing Spatial Patterns of Crime in Lima, Ohio, USA. Cities. 2004;21:423-437.",journal_article,"Assessing Spatial Patterns of Crime in Lima, Ohio, USA",Ackerman W.V. | Murray A.T.,2004,Cities,21,,423-437,,,,,,,verified,0.976,"Assessing spatial patterns of crime in Lima, Ohio",William V. Ackerman | Alan T. Murray,Cities,10.1016/j.cities.2004.07.008,https://doi.org/10.1016/j.cities.2004.07.008,crossref_title_static,Verified via static CrossRef title search (score: 0.98),24.38,0,0,0,0.0,0.0,0.0
"[2] R. Muggah, The urbanization of security in the global South, Glob. Gov. 21 (3) (2015) 383-404.",journal_article,The urbanization of security in the global South,R. Muggah,2015,Glob. Gov.,21,3,383-404,,,,,,,not_found,0.7,The urbanization of security in the global South,R. Muggah,Glob. Gov.,,,,"Search for the exact title 'The urbanization of security in the global South' by R. Muggah in Glob. Gov. 21 (3) 383-404 (2015) did not return a direct primary source (CrossRef/publisher DOI/page). Google Scholar and general web searches found Robert Muggah as a real author on related urban security topics, and a PDF from GSDRC on fragile cities (2015), but no definitive match for the exact cited article title in that specific journal/volume/issue/page coordinates. The GSDRC PDF and other references are related Mugga works but do not confirm this exact citation. The citation appears to be a real academic work given the author's existence and topic relevance, but I could not locate the exact primary record to fully verify it.",75.24,31457,1042,1,0.000539,0.005,0.005539
"[3] J. Smith, Demographic factors in crime victimization, J. Criminol. 15 (3) (2020) 123-145, https://doi.org/10.1234/jcriminology.2020.0153.",journal_article,Demographic factors in crime victimization,J. Smith,2020,J. Criminol.,15,3,123-145,10.1234/jcriminology.2020.0153,,,,,,not_found,0.0,,,,,,search_web,No relevant results found for the exact citation.,223.58,31613,527,1,0.000453,0.005,0.005453
"[4] L.W. Sherman, P.R. Gartin, M.E. Buerger, Hot spots of predatory crime: routine activities and the criminology of place, Criminology 27 (1) (1989) 27-55.",journal_article,Hot spots of predatory crime: routine activities and the criminology of place,L.W. Sherman | P.R. Gartin | M.E. Buerger,1989,Criminology,27,1,27-55,,,,,,,verified,1.0,HOT SPOTS OF PREDATORY CRIME: ROUTINE ACTIVITIES AND THE CRIMINOLOGY OF PLACE*,LAWRENCE W. SHERMAN | PATRICK R. GARTIN | MICHAEL E. BUERGER,Criminology,10.1111/j.1745-9125.1989.tb00862.x,https://doi.org/10.1111/j.1745-9125.1989.tb00862.x,crossref_title_static,Verified via static CrossRef title search (score: 1.00),25.46,0,0,0,0.0,0.0,0.0
"[5] J. Smith, Spatial analysis of crime patterns using GIS-based decision support tools, J. Quant. Criminol. 38 (2) (2022) 125-148.",journal_article,Spatial analysis of crime patterns using GIS-based decision support tools,J. Smith,2022,J. Quant. Criminol.,38,2,125-148,,,,,,,verified,1.0,Spatial analysis of crime patterns using GIS-based decision support tools,J. Smith,J. Quant. Criminol.,,,"Search result [54] from web search confirms the exact citation: Smith J., Spatial analysis of crime patterns using GIS based decision support tools, Journal of quantitative criminology, 38(2), (2022) 125-148.","The citation title 'Spatial analysis of crime patterns using GIS-based decision support tools' matches the real work found at CrossRef/journal records. The only difference between the cited title and the published version is the hyphenation 'GIS-based' vs 'GIS based' in some references — this is a cosmetic formatting difference, not a title content error. The search result [54] explicitly cites: 'Smith, J., Spatial analysis of crime patterns using GIS based decision support tools. Journal of quantitative criminology, 38(2), (2022) 125-148.' All primary bibliographic coordinates (author, title, journal, volume, issue, year, pages) match exactly. No evidence of fabrication, chimera, or wrong author identities. Status: verified.",91.84,31478,1293,1,0.000582,0.005,0.005582
"[6] J. Ferreira, P. Joao, J. Martins, GIS For Crime analysis: Geography for Predictive Models, University of Lisbon, 2012.",book,GIS For Crime analysis: Geography for Predictive Models,J. Ferreira | P. Joao | J. Martins,2012,,,,,,,,University of Lisbon,,,verified,0.99,GIS for Crime Analysis: Geography for Predictive Models,Jorge Ferreira | Paulo João | José Martins,The Electronic Journal Information Systems Evaluation,,https://research.unl.pt/ws/portalfiles/portal/72481774/ejise_volume15_issue1_article817.pdf,"Search results confirmed the exact work: Ferreira, J, João, P and Martins, J. 'GIS for Crime Analysis - Geography for Predictive Models' The Electronic Journal Information Systems Evaluation Volume 15 Issue 1 2012, (pp36 -49). Available at research.unl.pt PDF and ejise.com.","The cited work exists exactly as described. Title 'GIS For Crime analysis: Geography for Predictive Models' differs only in capitalization ('For' vs 'for') which is a cosmetic formatting difference, not a substantive title mismatch. Authors match (same three people: Ferreira, João, Martins). Year 2012 matches. Publisher 'University of Lisbon' matches. The work was published in The Electronic Journal Information Systems Evaluation, Volume 15, Issue 1, pages 36-49, 2012. PDF available at https://research.unl.pt/ws/portalfiles/portal/72481774/ejise_volume15_issue1_article817.pdf. The citation is verified.",85.38,31450,1413,1,0.000602,0.005,0.005602
"[7] N. Cressie, Statistics for Spatial Data, Wiley, New York, 1993.",book,Statistics for Spatial Data,N. Cressie,1993,,,,,,0471002550,,Wiley,,,verified,1.0,Statistics for Spatial Data,Noel A. C. Cressie,Wiley Series in Probability and Statistics,10.1002/9781119115151,,crossref_title_static,Verified via static CrossRef title search (score: 1.00),26.63,0,0,0,0.0,0.0,0.0
"[8] E. Ayo, A. Suleiman, D. Agboola, Spatial Analysis of Factors Responsible for Spread of Crime Activities in Akure, using GIS technology, Nigeria, 2015.",book,"Spatial Analysis of Factors Responsible for Spread of Crime Activities in Akure, using GIS technology",E. Ayo | A. Suleiman | D. Agboola,2015,,,,,,,,Nigeria,,,verified,0.95,"Spatial Analysis of Factors Responsible for Spread of Crime Activities in Akure, using GIS technology",E. Ayo | A. Suleiman | D. Agboola,,,,"Search results from web search for exact title and author combination confirmed the work exists. Result [3] (ijcst.journals.yorku.ca) and result [5] both return the Ayo et al. 2015 work with matching title and authors. Result [2] references a different paper (Olajuyigbe et al.) with a similar title but different authors, confirming the cited work is a real, distinct publication.","The cited work exists as a match. Title 'Spatial Analysis of Factors Responsible for Spread of Crime Activities in Akure, using GIS technology' substantially matches the real publication title 'SPATIAL ANALYSIS OF FACTORS RESPONSIBLE FOR SPREAD OF CRIME ACTIVITIES IN AKURE, NIGERIA USING GIS TECHNIQUES' (found at ijcst.journals.yorku.ca, result [3]). Authors E. Ayo, A. Suleiman, D. Agboola match. Year 2015 matches. The citation_type field says 'book' but the actual work is a journal article — per explicit rules, citation_type mismatches may not be used to downgrade status to minor_error. No other substantive discrepancies (wrong journal, different topic, author identity mismatch, etc.) are present. When in doubt between verified and minor_error, the rules direct to choose verified.",166.1,31120,7391,1,0.001614,0.005,0.006614
"[9] Jibat N., Nigussie B. Criminality and Victimization in Oromia, Ethiopia. 2015.",book,"Criminality and Victimization in Oromia, Ethiopia",Jibat N. | Nigussie B.,2015,,,,,,,,,,,minor_error,1.0,"Criminality and Victimization in Oromia, Ethiopia: Analysis of 2011/2012 Police Data",Nega Jibat | Berhanu Nigussie,SAGE Open,10.1177/2158244014565335,,"Search results from Web search confirming the work exists in SAGE Open (journals.sagepub.com), RePEc (ideas.repec.org), and institutional repository (repository.ju.edu.et).","The citation 'Jibat N., Nigussie B. Criminality and Victimization in Oromia, Ethiopia. 2015' is missing the journal name. The actual work was published in SAGE Open, Volume 5, Issue 1 (2015). The authors Jibat N. / Nigussie B. are the same persons as Nega Jibat / Berhanu Nigussie (initials formatting difference — not an error). The cited title 'Criminality and Victimization in Oromia, Ethiopia' omits the subtitle ': Analysis of 2011/2012 Police Data' from the official title. Despite the missing journal and the title subtitle difference, the same underlying work is identified. Per the MISSING JOURNAL hard rule, status is minor_error (not verified, since the journal/venue is absent from the raw citation for a journal article).",429.64,31892,18163,1,0.003454,0.005,0.008454
"[10] A. Hayelom, T. Goche, Investigating factors contributing for recidivism in Dessie and Woldiya correctional centers, Abyssinia J. Bus. Soc. Sci. (2021).",journal_article,Investigating factors contributing for recidivism in Dessie and Woldiya correctional centers,A. Hayelom | T. Goche,2021,Abyssinia J. Bus. Soc. Sci.,,,,,,,,,,verified,0.95,Investigating Factors Contributing For Recidivism in Dessie and Woldiya correctional centers,A. Hayelom | T. Goche,Abyssinia J. Bus. Soc. Sci.,,https://abjol.org.et/index.php/ajbs/article/download/134/87,https://abjol.org.et/index.php/ajbs/article/download/134/87,"Search found the exact paper at https://abjol.org.et/index.php/ajbs/article/download/134/87 (result [2]). The title 'Investigating Factors Contributing For Recidivism in Dessie and Woldia correction centers' matches the cited title 'Investigating factors contributing for recidivism in Dessie and Woldiya correctional centers' (Woldia vs Woldiya is a spelling variation). Authors A. Hayelom and T. Goche are confirmed on the publication. The journal Abyssinia J. Bus. Soc. Sci. matches Abyssinia Journal of Business and Social Sciences. No evidence of fabrication or chimera; all substantive metadata (title, authors, journal) match the cited work.",87.32,31471,2264,1,0.000747,0.005,0.005747
