raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"1. Ahmadnejad A, Darviishani AM, Asadi MM, Saffariyeh S, Yousef P, Fatemizadeh E. TacNet: Temporal audio source counting network. arXiv preprint. 2023.",working_paper,TacNet: Temporal audio source counting network,Ahmadnejad A | Darviishani AM | Asadi MM | Saffariyeh S | Yousef P | Fatemizadeh E,2023,arXiv,,,,,,,,,,verified,1.0,TACNET: Temporal Audio Source Counting Network,Ahmadnejad A | Darviishani AM | Asadi MM | Saffariyeh S | Yousef P | Fatemizadeh E,arXiv,10.48550/arXiv.2311.02369,https://doi.org/10.48550/arXiv.2311.02369,web search for 'TacNet Temporal audio source counting network arXiv Ahmadnejad',"The citation 'TacNet: Temporal audio source counting network. arXiv preprint. 2023' by Ahmadnejad A et al. is verified. An exact-title search on the web found the arXiv preprint with arXiv ID 2311.02369, submitted 4 November 2023. The title on the official record is 'TACNET: Temporal Audio Source Counting Network' (all caps), which differs only in capitalization/notation from the cited 'TacNet: Temporal audio source counting network' — this is a cosmetic title formatting difference, not a substantive title mismatch. The author list fully matches the six named authors. The work exists as an arXiv preprint with DOI 10.48550/arXiv.2311.02369. Capitalization differences between 'TacNet' and 'TACNET' are considered cosmetic notation rendering differences and do not affect verification status. No volume, issue, or page numbers are expected for an arXiv preprint. The citation is fully verified.",211.37,31792,2060,1,0.000716,0.005,0.005716
"10. Ahmadi R, Ahmadnejad A, Koohi S. Free-space optical spiking neural network. PLoS One. 2024;19(12):e0313547. https://doi.org/10.1371/journal.pone.0313547 PMID: 39775193",journal_article,Free-space optical spiking neural network,Ahmadi R | Ahmadnejad A | Koohi S,2024,PLoS One,19,12,e0313547,10.1371/journal.pone.0313547,,,,,,verified,1.0,Free-space optical spiking neural network,Reyhane Ahmadi | Amirreza Ahmadnejad | Somayyeh Koohi,PLOS ONE,10.1371/journal.pone.0313547,https://doi.org/10.1371/journal.pone.0313547,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),116.01,0,0,0,0.0,0.0,0.0
"11. Ahmadnejad A, Koohi S. Training large-scale optical neural networks with two-pass forward propagation. arXiv preprint. 2024. https://doi.org/arXiv:2408.08337",working_paper,Training large-scale optical neural networks with two-pass forward propagation,Ahmadnejad A | Koohi S,2024,arXiv,,2408.08337,,10.48550/arXiv.2408.08337,,,,,,verified,0.95,Training Large-Scale Optical Neural Networks with Two-Pass Forward Propagation,Amirreza Ahmadnejad | Somayyeh Koohi,arXiv,10.48550/arXiv.2408.08337,https://arxiv.org/abs/2408.08337,arxiv_static,Verified via arXiv id 2408.08337.,339.66,0,0,0,0.0,0.0,0.0
12. Miller DAB. Attojoule optoelectronics for low-energy information processing and communications. J Lightwave Technol. 2017;35(3):346-96.,journal_article,Attojoule optoelectronics for low-energy information processing and communications,Miller DAB,2017,J Lightwave Technol,35,3,346-96,,,,,,,verified,1.0,Attojoule Optoelectronics for Low-Energy Information Processing and Communications,David A. B. Miller,Journal of Lightwave Technology,10.1109/jlt.2017.2647779,https://doi.org/10.1109/jlt.2017.2647779,crossref_title_static,Verified via static CrossRef title search (score: 1.00),117.47,0,0,0,0.0,0.0,0.0
"13. Miscuglio M, Sorger VJ. Photonic tensor cores for machine learning. Appl Phys Rev. 2020;7(3).",journal_article,Photonic tensor cores for machine learning,Miscuglio M | Sorger VJ,2020,Appl Phys Rev,7,3,,,,,,,,verified,1.0,Photonic tensor cores for machine learning,Mario Miscuglio | Volker J. Sorger,Applied Physics Reviews,10.1063/5.0001942,https://doi.org/10.1063/5.0001942,crossref_title_static,Verified via static CrossRef title search (score: 1.00),117.88,0,0,0,0.0,0.0,0.0
"14. Shen Y, Harris NC, Skirlo S, Prabhu M, Baehr-Jones T, Hochberg M, et al. Deep learning with coherent nanophotonic circuits. Nature Photon. 2017;11(7):441-6. https://doi.org/10.1038/nphoton.2017.93",journal_article,Deep learning with coherent nanophotonic circuits,Shen Y | Harris NC | Skirlo S | Prabhu M | Baehr-Jones T | Hochberg M,2017,Nature Photon,11,7,441-6,10.1038/nphoton.2017.93,,,,,,verified,1.0,Deep learning with coherent nanophotonic circuits,Shen Y | Harris NC | Skirlo S | Prabhu M | Baehr-Jones T | Hochberg M,Nature Photonics,10.1038/nphoton.2017.93,https://www.nature.com/articles/nphoton.2017.93,"Web search confirmed the paper exists at nature.com/articles/nphoton.2017.93 with matching title, authors, year, volume, issue, pages, and DOI.","Title matches exactly (title_similarity: 1.0). Authors are the same people formatted with initials vs. full names — cosmetic difference per hard rules. 'Nature Photon' is the standard abbreviation for 'Nature Photonics'. Volume 11, Issue 7, pages 441-446, year 2017, DOI 10.1038/nphoton.2017.93 all match. CrossRef metadata match score (0.9091) is below verify_threshold (0.93), but this is due to author formatting differences, not a real mismatch. The 'et al.' truncation is standard and not an error. No evidence of chimera or fabrication.",220.83,32890,3161,1,0.000916,0.005,0.005916
"15. Xu X, Tan M, Corcoran B, Wu J, Boes A, Nguyen TG, et al. 11 TOPS photonic convolutional accelerator for optical neural networks. Nature. 2021;589(7840):44-51. https://doi.org/10.1038/s41586-020-03063-0 PMID: 33408378",journal_article,11 TOPS photonic convolutional accelerator for optical neural networks,Xu X | Tan M | Corcoran B | Wu J | Boes A | Nguyen TG,2021,Nature,589,7840,44-51,10.1038/s41586-020-03063-0,,,,,,verified,1.0,11 TOPS photonic convolutional accelerator for optical neural networks,Xingyuan Xu | Mengxi Tan | Bill Corcoran | Jiayang Wu | Andreas Boes | Thach G. Nguyen | Sai T. Chu | Brent E. Little | Damien G. Hicks | Roberto Morandotti | Arnan Mitchell | David J. Moss,Nature,10.1038/s41586-020-03063-0,https://doi.org/10.1038/s41586-020-03063-0,"crossref_precheck provided DOI 10.1038/s41586-020-03063-0 with crossref_record confirming the work; web search confirmed the paper at PubMed, Nature article page, and Semantic Scholar","The citation and CrossRef/publisher record agree on title, journal (Nature), volume 589, issue 7840, pages 44-51, year 2021, and DOI 10.1038/s41586-020-03063-0. The 6 named authors with ""et al."" match the first 6 of 12 real authors; author format differences (abbreviated vs. full names) are cosmetic, not errors. Confirmed via PubMed (PMID 33408378), Semantic Scholar, and Nature article page. CrossRef metadata match score 0.9 is below the auto-verify threshold, but title_similarity is 1.0 and venue matches exactly. DOI resolves to the correct paper.",241.1,33372,6393,1,0.001471,0.005,0.006471
"16. Zhou T, Lin X, Wu J, Chen Y, Xie H, Li Y, et al. Large-scale neuromorphic optoelectronic computing with a reconfigurable diffractive processing unit. Nat Photonics. 2021;15(5):367-73. https://doi.org/10.1038/s41566-021-00796-w",journal_article,Large-scale neuromorphic optoelectronic computing with a reconfigurable diffractive processing unit,Zhou T | Lin X | Wu J | Chen Y | Xie H | Li Y,2021,Nat Photonics,15,5,367-73,10.1038/s41566-021-00796-w,,,,,,verified,1.0,Large-scale neuromorphic optoelectronic computing with a reconfigurable diffractive processing unit,Zhou T | Lin X | Wu J | Chen Y | Xie H | Li Y,Nat Photonics,10.1038/s41566-021-00796-w,https://doi.org/10.1038/s41566-021-00796-w,search_web results + crossref_precheck metadata,"The citation title, authors (initials mapping to same people), journal abbreviation (Nat Photonics = Nature Photonics), volume (15), issue (5), pages (367-73), and DOI (10.1038/s41566-021-00796-w) all match the primary CrossRef/publisher record. The 'et al.' truncation is standard and not an error. CrossRef metadata match score of 0.92 is below the auto-verify threshold, but manual verification confirms the citation is correct. Web search confirms the paper exists at Nature.com with the exact title, authors, journal, year, volume, issue, and pages. DOI resolves to the correct article. No evidence of fabrication or chimera.",221.27,33030,3904,1,0.001044,0.005,0.006044
"17. Nair V, Hinton GE. Rectified linear units improve restricted Boltzmann machines. In: Proceedings of the 27th International Conference on Machine Learning. 2010. pp. 807-14.",conference_paper,Rectified linear units improve restricted Boltzmann machines,Nair V | Hinton GE,2010,,,,807-14,,,Proceedings of the 27th International Conference on Machine Learning,,,,verified,1.0,Rectified Linear Units Improve Restricted Boltzmann Machines,Nair V | Hinton GE,Proceedings of the 27th International Conference on Machine Learning,,,,"The citation 'Rectified linear units improve restricted Boltzmann machines' by Nair V, Hinton GE (2010, ICML) is verified. Multiple primary sources confirm the work: Semantic Scholar (semanticscholar.org), DBLP (dblp.org/rec/conf/icml/NairH10), ICML 2010 proceedings bibliography, and the PDF at cs.toronto.edu/~hinton/absps/reluICML.pdf. The title differs only in capitalization ('linear' vs 'Linear') which is a cosmetic formatting difference, not a content error. The page range '807-14' is an abbreviated form where the leading '81' is implicit from the start page 807; this is standard citation practice and not an error. No volume, issue, journal, DOI, or ISBN fields are present in the citation, and none are required for verified status. The work exists exactly as cited on primary bibliographic sources.",222.51,31511,1265,1,0.000577,0.005,0.005577
"18. Tait AN, de Lima TF, Zhou E, Wu AX, Nahmias MA, Shastri BJ, et al. Neuromorphic photonic networks using silicon photonic weight banks. Sci Rep. 2017;7(1):7430. https://doi.org/10.1038/s41598-017-07754-z PMID: 28784997",journal_article,Neuromorphic photonic networks using silicon photonic weight banks,Tait AN | de Lima TF | Zhou E | Wu AX | Nahmias MA | Shastri BJ,2017,Sci Rep,7,1,7430,10.1038/s41598-017-07754-z,,,,,,verified,0.9714285714285715,Neuromorphic photonic networks using silicon photonic weight banks,Alexander N. Tait | Thomas Ferreira de Lima | Ellen Zhou | Allie X. Wu | Mitchell A. Nahmias | Bhavin J. Shastri | Paul R. Prucnal,Scientific Reports,10.1038/s41598-017-07754-z,https://doi.org/10.1038/s41598-017-07754-z,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 0.97),120.65,0,0,0,0.0,0.0,0.0
"19. Mourgias-Alexandris G, Tsakyridis A, Passalis N, Tefas A, Vyrsokinos K, Pleros N. An all-optical neuron with sigmoid activation function. Opt Express. 2019;27(7):9620-30. https://doi.org/10.1364/OE.27.009620 PMID: 31045111",journal_article,An all-optical neuron with sigmoid activation function,Mourgias-Alexandris G | Tsakyridis A | Passalis N | Tefas A | Vyrsokinos K | Pleros N,2019,Opt Express,27,7,9620-30,10.1364/OE.27.009620,,,,,,verified,1.0,An all-optical neuron with sigmoid activation function,G. Mourgias-Alexandris | A. Tsakyridis | N. Passalis | A. Tefas | K. Vyrsokinos | N. Pleros,Optics Express,10.1364/oe.27.009620,https://doi.org/10.1364/oe.27.009620,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 1.00),120.98,0,0,0,0.0,0.0,0.0
