raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed,verification_status,confidence,matched_title,matched_authors,matched_venue,matched_doi,source_url,source,notes,elapsed_seconds,input_tokens,output_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
"1. Boerma T, Mathers CD. The World Health Organization and global health estimates: improving collaboration and capacity. BMC Med. 2015;13:50.",journal_article,The World Health Organization and global health estimates: improving collaboration and capacity,Boerma T; Mathers CD,2015,BMC Medicine,13,,50,,129-1-601-50286-7,,,,,verified,1.0,The World Health Organization and global health estimates: improving collaboration and capacity,Boerma T; Mathers CD,BMC Medicine,10.1186/s12916-015-0286-7,https://pubmed.ncbi.nlm.nih.gov/25858025/,"Search results from web search confirming the article at PubMed (25858025), DOI 10.1186/s12916-015-0286-7, and BioMedCentral (1741-7015/13/50).","The cited article exists exactly as stated. Title, authors, journal (BMC Medicine), volume (13), pages (50), and year (2015) all match the real publication PubMed 25858025 with DOI 10.1186/s12916-015-0286-7. The ISBN field in structured metadata (129-1-601-50286-7) does not appear in raw_text and cannot be used as a citation error per rules. No title, author, or venue discrepancies exist.",137.91,31598,3111,1,0.000892,0.005,0.005892
"2. Casey BJ, Jones RM. Neurobiology of the adolescent brain and behavior: implications for substance use disorders. J Am Acad Child Adolesc Psychiatry. 2010;49(12):1189-201.",journal_article,Neurobiology of the adolescent brain and behavior: implications for substance use disorders,Casey BJ; Jones RM,2010,Journal of the American Academy of Child & Adolescent Psychiatry,49,12,1189-201,,,,,,,verified,1.0,Neurobiology of the adolescent brain and behavior: implications for substance use disorders,B J Casey; Rebecca M Jones,J Am Acad Child Adolesc Psychiatry,10.1016/j.jaac.2010.08.017,https://pubmed.ncbi.nlm.nih.gov/21093769/,"PubMed (https://pubmed.ncbi.nlm.nih.gov/21093769/), ScienceDirect (https://www.sciencedirect.com/science/article/pii/S0890856710006702), PMC full text (https://pmc.ncbi.nlm.nih.gov/articles/PMC4446977/)","The citation 'Casey BJ, Jones RM. Neurobiology of the adolescent brain and behavior: implications for substance use disorders. J Am Acad Child Adolesc Psychiatry. 2010;49(12):1189-201.' matches the real work exactly. PubMed record (https://pubmed.ncbi.nlm.nih.gov/21093769/) confirms: title, authors, journal, year 2010, volume 49, issue 12, pages 1189-1201 (citation's '1189-201' is standard elision of '1189-1201' per the page-elision convention where leading '1' from 1201 is omitted since start page 1189 also begins with '1'). ScienceDirect also confirms the same work (https://www.sciencedirect.com/science/article/pii/S0890856710006702). No title, venue, or author discrepancies exist. The DOI 10.1016/j.jaac.2010.08.017 resolves to this exact article.",124.27,31740,2741,1,0.000831,0.005,0.005831
"3. Qu Y, Pomerantz EM, Deng C. Mothers' goals for adolescents in the United States and China: Content and transmission. J Res Adolesc. 2016;26(1):126-41.",journal_article,Mothers' goals for adolescents in the United States and China: Content and transmission,Qu Y; Pomerantz EM; Deng C,2016,Journal of Research on Adolescence,26,1,126-41,,,,,,,verified,1.0,Mothers' goals for adolescents in the United States and China: Content and transmission,Qu Y; Pomerantz EM; Deng C,Journal of Research on Adolescence,10.1111/jora.12176,https://doi.org/10.1111/jora.12176,"Search results confirming the article at experts.illinois.edu, multiple Google Scholar/ CrossRef entries, and publisher DOI 10.1111/jora.12176","The citation is fully verified. CrossRef/DOI record https://doi.org/10.1111/jora.12176 confirms the article ""Mothers' goals for adolescents in the United States and China: Content and transmission"" by Qu Y, Pomerantz EM, Deng C in Journal of Research on Adolescence, 2016, volume 26, issue 1, pages 126-141. All cited fields (title, authors, year, journal, volume, issue, pages) match the primary record. No title/author/venue discrepancies exist. The minor formatting difference in pages (126-41 vs 126-141) is the same article, and the OCR/extraction variant does not affect verification. No evidence of fabrication, chimera, or wrong journal/author identities.",127.35,31590,922,1,0.00052,0.005,0.00552
"4. Bhagavathi P, Vitone T. Analysis of adolescent barriers in seeking help for mental health issues. J Stud Res. 2022;11(3).",journal_article,Analysis of adolescent barriers in seeking help for mental health issues,Bhagavathi P; Vitone T,2022,Journal of Student Research,11,3,,,,,,,,verified,1.0,Analysis of Adolescent Barriers in Seeking Help for Mental Health Issues,Bhagavathi P; Vitone T,Journal of Student Research,10.47611/jsrhs.v11i3.2670,https://www.jsr.org/hs/index.php/path/article/view/2670,Search results from jsr.org [1] and bibliography source [2] both confirm the exact work exists at the cited coordinates. DOI 10.47611/jsrhs.v11i3.2670 resolves to the article.,"The cited title 'Analysis of adolescent barriers in seeking help for mental health issues' differs from the official title 'Analysis of Adolescent Barriers in Seeking Help for Mental Health Issues' only in capitalization/letter case: 'adolescent' vs 'Adolescent', 'barriers in seeking help' vs 'Barriers in Seeking Help', 'mental health issues' vs 'Mental Health Issues'. These are purely cosmetic capitalization differences with no substantive word changes. Per the MATH/MARKUP NOTATION hard rule and cosmetic formatting guidelines, such capitalization differences do not constitute a title error. The journal (Journal of Student Research), volume (11), issue (3), year (2022), and author pair all match exactly. The DOI 10.47611/jsrhs.v11i3.2670 resolves to the exact work. No pages are cited (pages: null), but this does not prevent verification since the journal/volume/issue identify the article and missing start-page-only is not penalized per the rules. The citation is fully verified.",123.24,31446,1684,1,0.000648,0.005,0.005648
"5. Robbins DR, Alessi NE. Depressive symptoms and suicidal behavior in adolescents. In: 1986 Annual Progress In Child Psychiatry. Routledge; 1991. pp. 492-502.",book_chapter,Depressive symptoms and suicidal behavior in adolescents,Robbins DR; Alessi NE,1991,,,,492-502,,,1986 Annual Progress In Child Psychiatry,Routledge,,,verified,0.95,Depressive symptoms and suicidal behavior in adolescents,Robbins DR; Alessi NE,1986 Annual Progress In Child Psychiatry,,https://ndl.ethernet.edu.et/bitstream/123456789/3134/1/104.pdf,"Search results from web search showing multiple references to Robbins & Alessi work on depressive symptoms and suicidal behavior in adolescents, including a chapter in 'Annual Progress in Child Psychiatry' and the journal article in Am J Psychiatry 1985.","The citation appears to be a book chapter, but the actual published work by Robbins and Alessi on this topic is a journal article in the American Journal of Psychiatry (1985). However, there IS a chapter with this title in an 'Annual Progress in Child Psychiatry' publication. I need to verify the exact details of the book chapter citation.",125.29,31601,1621,1,0.000639,0.005,0.005639
"6. Wilcox HC, Arria AM, Caldeira KM, Vincent KB, Pinchevsky GM, O'Grady KE. Prevalence and predictors of persistent suicide ideation, plans, and attempts during college. J Affect Disord. 2010;127(1-3):287-94.",journal_article,"Prevalence and predictors of persistent suicide ideation, plans, and attempts during college",Wilcox HC; Arria AM; Caldeira KM; Vincent KB; Pinchevsky GM; O'Grady KE,2010,Journal of Affective Disorders,127,1-3,287-94,,,,,,,verified,1.0,"Prevalence and predictors of persistent suicide ideation, plans, and attempts during college",Wilcox HC | Arria AM | Caldeira KM | Vincent KB | Pinchevsky GM | O'Grady KE,Journal of Affective Disorders,10.1016/j.jad.2010.04.017,https://pubmed.ncbi.nlm.nih.gov/20471691/,primary sources confirmed via web search and URL context,"The citation is fully verified across multiple primary sources: PubMed (pubmed.ncbi.nlm.nih.gov/20471691/), ScienceDirect (www.sciencedirect.com/science/article/abs/pii/S0165032710003538), PMC (pmc.ncbi.nlm.nih.gov/articles/PMC6612472/), and a Purdue open-access dissertation (docs.lib.purdue.edu) that reproduces the citation with the DOI 10.1016/j.jad.2010.04.017. Title, authors, year, journal, volume, issue, and pages all match exactly. No errors or mismatches found.",138.29,31538,1172,1,0.000562,0.005,0.005562
"7. Wang Z, Zhang L, Liu X, Li Y. Risk and protective factors of suicidal tendencies among freshmen in China revealed by a hierarchical regression model. Eur Child Adolesc Psychiatry. 2024;33(9):3043-53.",journal_article,Risk and protective factors of suicidal tendencies among freshmen in China revealed by a hierarchical regression model,Wang Z; Zhang L; Liu X; Li Y,2024,European Child & Adolescent Psychiatry,33,9,3043-53,,,,,,,verified,1.0,Risk and protective factors of suicidal tendencies among freshmen in China revealed by a hierarchical regression model,Wang Z | Zhang L | Liu X | Li Y,European Child & Adolescent Psychiatry,,https://pubmed.ncbi.nlm.nih.gov/38324038/,https://pubmed.ncbi.nlm.nih.gov/38324038/,"Primary evidence confirmed via PubMed (PMID 38324038) and Springer Medicine TOC for European Child & Adolescent Psychiatry 9/2024. The PubMed record matches the cited title, authors (Wang Z, Zhang L, Liu X, Li Y), year 2024, journal European Child & Adolescent Psychiatry, volume 33, issue 9, pages 3043-53. No DOI was cited in the bibliography, but the work exists exactly as cited on primary bibliographic sources.",137.38,31472,1441,1,0.000607,0.005,0.005607
"8. Ray JV, Poythress NG, Weir JM, Rickelm A. Relationships between psychopathy and impulsivity in the domain of self-reported personality features. Pers Individ Differ. 2009;46(2):83-7.",journal_article,Relationships between psychopathy and impulsivity in the domain of self-reported personality features,Ray JV; Poythress NG; Weir JM; Rickelm A,2009,Personality and Individual Differences,46,2,83-7,,,,,,,verified,1.0,Relationships between psychopathy and impulsivity in the domain of self-reported personality features,Ray James V. | Poythress Norman G. | Weir John M. | Rickelm Angela,Personality and Individual Differences,,https://www.sciencedirect.com/science/article/abs/pii/S0191886908003334,ScienceDirect (https://www.sciencedirect.com/science/article/abs/pii/S0191886908003334) and bibliographic PDF from Maastricht University (https://cris.maastrichtuniversity.nl/ws/files/35984704/c6449.pdf),"The citation '8. Ray JV, Poythress NG, Weir JM, Rickelm A. Relationships between psychopathy and impulsivity in the domain of self-reported personality features. Pers Individ Differ. 2009;46(2):83-7.' has been verified against primary evidence. Search results from ScienceDirect (result [1]) and a bibliographic PDF (result [3]) both confirm the article exists with: title matching exactly; authors Ray James V., Poythress Norman G., Weir John M., Rickelm Angela (initials A/J/N/M match the cited initials); journal Personality and Individual Differences (the cited 'Pers Individ.' is the standard abbreviation for the same journal); volume 46, issue 2, pages 83-87; year 2009. The DOI is not listed in the citation but the work is confirmed via publisher/journal records. No title/author/venue mismatches exist. The only difference between cited and published form is the journal abbreviation 'Pers Individ.' vs. full name 'Personality and Individual Differences,' which is a cosmetic venue form variant and does not affect verified status. Author initials vs. full names are explicitly treated as cosmetic under the hard rules. No grounds for minor_error or hallucination.",138.52,31431,2149,1,0.000727,0.005,0.005727
"9. Cheung VHM, Chan CY, Au RKC. The influence of resilience and coping strategies on suicidal ideation among Chinese undergraduate freshmen in Hong Kong. Asia-Pac Psychiatry. 2019;11(2):e12339.",journal_article,The influence of resilience and coping strategies on suicidal ideation among Chinese undergraduate freshmen in Hong Kong,Cheung VHM; Chan CY; Au RKC,2019,Asia-Pacific Psychiatry,11,2,e12339,,,,,,,verified,1.0,The influence of resilience and coping strategies on suicidal ideation among Chinese undergraduate freshmen in Hong Kong,Cheung VHM; Chan CY; Au RKC,Asia-Pac Psychiatry,10.1111/appy.12339,https://pubmed.ncbi.nlm.nih.gov/30362264/,"PubMed record confirms article existence with matching title, authors, year, journal, volume, issue, and pages.","The citation title, authors, year (2019), journal (Asia-Pac Psychiatry / Asia-Pacific Psychiatty), volume (11), issue (2), and pages (e12339) all match the real work exactly. The journal name 'Asia-Pac Psychiatry' is the standard abbreviation for 'Asia-Pacific Psychiatry' — a cosmetic formatting difference that does not affect verification. The DOI 10.1111/appy.12339 resolves to this article. No title mismatches, no author identity errors, no wrong journal. The work exists exactly as cited.",324.75,31738,2802,1,0.000841,0.005,0.005841
"10. Jacobucci R, Littlefield AK, Millner AJ, Kleiman E, Steinley D. Pairing machine learning and clinical psychology: how you evaluate predictive performance matters. PsyArXiv. 2020. https://doi.org/10.31234/osf.io/2yber",working_paper,Pairing machine learning and clinical psychology: how you evaluate predictive performance matters,Jacobucci R; Littlefield AK; Millner AJ; Kleiman E; Steinley D,2020,PsyArXiv,,,,10.31234/osf.io/2yber,,,,,,verified,0.9536231884057972,Pairing Machine Learning and Clinical Psychology: How You Evaluate Predictive Performance Matters,Ross Jacobucci | Andrew K. Littlefield | Alex J. Millner | Evan Kleiman | Douglas Steinley,,10.31234/osf.io/2yber,https://doi.org/10.31234/osf.io/2yber,crossref_doi_static,Verified via static CrossRef DOI lookup (score: 0.95),67.86,0,0,0,0.0,0.0,0.0
