raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed
"[1] Davide Maltoni, Dario Maio, Anil K Jain, and Jianjiang Feng. Handbook of fingerprint recognition, volume 3. Springer, 2022. doi: 10.1007/978-3-030-83624-5.",book,Handbook of fingerprint recognition,Davide Maltoni | Dario Maio | Anil K Jain | Jianjiang Feng,2022,,3,,,10.1007/978-3-030-83624-5,9783030836245,,Springer,,
"[2] Neil Yager and Adnan Amin. Fingerprint classification: a review. Pattern Anal. Appl., 7:77-93, 2004. doi: 10.1007/s10044-004-0204-7.",journal_article,Fingerprint classification: a review,Neil Yager | Adnan Amin,2004,Pattern Anal. Appl.,7,,77-93,10.1007/s10044-004-0204-7,,,,,
"[3] Danilo Valdes-Ramirez, Miguel Angel Medina-P´erez, Ra´ul Monroy, Octavio Loyola-Gonz´alez, Jorge Rodr´ıguez, Aythami Morales, and Francisco Herrera. A review of fingerprint feature representations and their applications for latent fingerprint identification: Trends and evaluation. IEEE Access, 7:48484-48499, 2019. doi: 10.1109/ACCESS.2019.2909497.",journal_article,A review of fingerprint feature representations and their applications for latent fingerprint identification: Trends and evaluation,Danilo Valdes-Ramirez | Miguel Angel Medina-P´erez | Ra´ul Monroy | Octavio Loyola-Gonz´alez | Jorge Rodr´ıguez | Aythami Morales | Francisco Herrera,2019,IEEE Access,7,,48484-48499,10.1109/ACCESS.2019.2909497,,,,,
"[4] Hillary Moses Daluz. Fundamentals of fingerprint analysis. CRC Press, 2 edition, 2018. doi: 10.4324/9781351043205.",book,Fundamentals of fingerprint analysis,Hillary Moses Daluz,2018,,,,,10.4324/9781351043205,9781351043205,,CRC Press,,
"[5] National Research Council. Strengthening Forensic Science in the United States: A Path Forward. The National Academies Press, Washington, DC, 2009. doi: 10.17226/12589.",book,Strengthening Forensic Science in the United States: A Path Forward,National Research Council,2009,,,,,10.17226/12589,,,The National Academies Press,,
"[6] President’s Council of Advisors on Science and Technology. Forensic science in criminal courts: Ensuring scientific validity of feature-comparison methods. Technical report, Executive Office of the President, Washington, DC, 2016.",book,Forensic science in criminal courts: Ensuring scientific validity of feature-comparison methods,President’s Council of Advisors on Science and Technology,2016,,,,,,,,Executive Office of the President,,
"[7] Nina Otter, Mason A Porter, Ulrike Tillmann, Peter Grindrod, and Heather A Harrington. A roadmap for the computation of persistent homology. EPJ Data Sci., 6:1-38, 2017. doi: 10.1140/epjds/s13688-017-0109-5.",journal_article,A roadmap for the computation of persistent homology,Nina Otter | Mason A Porter | Ulrike Tillmann | Peter Grindrod | Heather A Harrington,2017,EPJ Data Sci.,6,,1-38,10.1140/epjds/s13688-017-0109-5,,,,,
"[8] Larry Wasserman. Topological data analysis. Ann. Rev. Statistics Appl., 5:501-532, 2018. doi: 10.1146/annurev-statistics-031017-100045.",journal_article,Topological data analysis,Larry Wasserman,2018,Ann. Rev. Statistics Appl.,5,,501-532,10.1146/annurev-statistics-031017-100045,,,,,
"[9] Gunnar Carlsson. Topological methods for data modelling. Nature Rev. Phys., 2(12):697-708, 2020. doi: 10.1038/s42254-020-00249-3.",journal_article,Topological methods for data modelling,Gunnar Carlsson,2020,Nature Rev. Phys.,2,12,697-708,10.1038/s42254-020-00249-3,,,,,
"[10] Noah Giansiracusa, Robert Giansiracusa, and Chul Moon. Persistent homology machine learning for fingerprint classification. In Proc. 18th IEEE Int. Conf. Machine Learning and Applications (ICMLA), pages 1219-1226. IEEE, 2019. doi: 10.1109/ICMLA.2019.00201.",conference_paper,Persistent homology machine learning for fingerprint classification,Noah Giansiracusa | Robert Giansiracusa | Chul Moon,2019,Proc. 18th IEEE Int. Conf. Machine Learning and Applications (ICMLA),,,1219-1226,10.1109/ICMLA.2019.00201,,,IEEE,,
"[11] Prasad D. Devkar, Nalini Ajwani, Sudarshan Malla, Aastttha Bhatt, Mahiman Dave, Neha Sharma, Mrityunjoy Panday, and Chittaranjan S. Yajnik. Topological analysis of dermatoglyphic patterns using synthetic and real data. In Proc. 26th Int. Conf. Distributed Computing and Networking (ICDCN), pages 295-301. ACM, 2025. doi: 10.1145/3700838.3703694.",conference_paper,Topological analysis of dermatoglyphic patterns using synthetic and real data,Prasad D. Devkar | Nalini Ajwani | Sudarshan Malla | Aastttha Bhatt | Mahiman Dave | Neha Sharma | Mrityunjoy Panday | Chittaranjan S. Yajnik,2025,Proc. 26th Int. Conf. Distributed Computing and Networking (ICDCN),,,295-301,10.1145/3700838.3703694,,,ACM,,
