raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed
"Rishabh Agarwal, Nino Vieillard, Yongchao Zhou, Piotr Stanczyk, Sabela Ramos, Matthieu Geist, and Olivier Bachem. 2024. On-policy distillation of language models: Learning from self-generated mistakes. Preprint, arXiv:2306.13649.",working_paper,On-policy distillation of language models: Learning from self-generated mistakes,Rishabh Agarwal | Nino Vieillard | Yongchao Zhou | Piotr Stanczyk | Sabela Ramos | Matthieu Geist | Olivier Bachem,2024,arXiv,,2306.13649,,,,,,,
"Victor Barres, Honghua Dong, Soham Ray, Xujie Si, and Karthik Narasimhan. 2025. τ 2 -Bench: Evaluating conversational agents in a dual-control environment. Preprint, arXiv:2506.07982.",working_paper,τ 2 -Bench: Evaluating conversational agents in a dual-control environment,Victor Barres | Honghua Dong | Soham Ray | Xujie Si | Karthik Narasimhan,2025,arXiv,,2506.07982,,,,,,,
"Hao Chen, Yang Li, and Wei Sun. 2026. Reinforcement learning with self-distillation for language-model reasoning. Preprint, arXiv:2604.03128.",working_paper,Reinforcement learning with self-distillation for language-model reasoning,Hao Chen | Yang Li | Wei Sun,2026,arXiv,,2604.03128,,,,,,,
"Yuqian Fu, Wei Li, and Hao Chen. 2026. Revisiting on-policy distillation: Empirical failure modes and simple fixes. Preprint, arXiv:2603.25562.",working_paper,Revisiting on-policy distillation: Empirical failure modes and simple fixes,Yuqian Fu | Wei Li | Hao Chen,2026,arXiv,,2603.25562,,,,,,,
"Geoffrey Hinton, Oriol Vinyals, and Jeff Dean. 2015. Distilling the knowledge in a neural network. Preprint, arXiv:1503.02531.",working_paper,Distilling the knowledge in a neural network,Geoffrey Hinton | Oriol Vinyals | Jeff Dean,2015,arXiv,,1503.02531,,,,,,,
"Jonas Hübotter, Frederike Lübeck, Lejs Behric, Anton Baumann, Marco Bagatella, Daniel Marta, Ido Hakimi, Idan Shenfeld, Thomas Kleine Buening, Carlos Guestrin, and Andreas Krause. 2026. Reinforcement learning via self-distillation. Preprint, arXiv:2601.20802.",working_paper,Reinforcement learning via self-distillation,Jonas Hübotter | Frederike Lübeck | Lejs Behric | Anton Baumann | Marco Bagatella | Daniel Marta | Ido Hakimi | Idan Shenfeld | Thomas Kleine Buening | Carlos Guestrin | Andreas Krause,2026,arXiv,,2601.20802,,,,,,,
"Chen Li, Hao Wang, and Yu Zhang. 2026. The many faces of on-policy distillation. Preprint, arXiv:2605.11182.",working_paper,The many faces of on-policy distillation,Chen Li | Hao Wang | Yu Zhang,2026,arXiv,,2605.11182,,,,,,,
"Jianhua Lin. 1991. Divergence measures based on the Shannon entropy. IEEE Transactions on Information Theory, 37(1):145-151.",journal_article,Divergence measures based on the Shannon entropy,Jianhua Lin,1991,IEEE Transactions on Information Theory,37,1,145-151,,,,,,
"Zhengxi Lu, Zhiyuan Yao, Zhuowen Han, Jun Wang, and Yong Li. 2026. Self-distilled agentic reinforcement learning. Preprint, arXiv:2605.15155.",working_paper,Self-distilled agentic reinforcement learning,Zhengxi Lu | Zhiyuan Yao | Zhuowen Han | Jun Wang | Yong Li,2026,arXiv,,2605.15155,,,,,,,
"John Schulman, Filip Wolski, Prafulla Dhariwal, Alec Radford, and Oleg Klimov. 2017. Proximal policy optimization algorithms. Preprint, arXiv:1707.06347.",working_paper,Proximal policy optimization algorithms,John Schulman | Filip Wolski | Prafulla Dhariwal | Alec Radford | Oleg Klimov,2017,arXiv,,1707.06347,,,,,,,
"Zhihong Shao, Peiyi Wang, Qihao Zhu, Runxin Xu, Junxiao Song, Xiao Bi, Haowei Zhang, Mingchuan Zhang, Y. K. Li, Y. Wu, and Daya Guo. 2024. DeepSeekMath: Pushing the limits of mathematical reasoning in open language models. Preprint, arXiv:2402.03300.",working_paper,DeepSeekMath: Pushing the limits of mathematical reasoning in open language models,Zhihong Shao | Peiyi Wang | Qihao Zhu | Runxin Xu | Junxiao Song | Xiao Bi | Haowei Zhang | Mingchuan Zhang | Y. K. Li | Y. Wu | Daya Guo,2024,arXiv,,2402.03300,,,,,,,
"Wei Sun, Hao Liu, and Yang Zhang. 2026. On the mechanism and phenomenology of on-policy distillation. Preprint, arXiv:2604.13016.",working_paper,On the mechanism and phenomenology of on-policy distillation,Wei Sun | Hao Liu | Yang Zhang,2026,arXiv,,2604.13016,,,,,,,
"Richard S. Sutton, David McAllester, Satinder Singh, and Yishay Mansour. 1999. Policy gradient methods for reinforcement learning with function approximation. In Advances in Neural Information Processing Systems, volume 12.",conference_paper,Policy gradient methods for reinforcement learning with function approximation,Richard S. Sutton | David McAllester | Satinder Singh | Yishay Mansour,1999,,12,,,,,Advances in Neural Information Processing Systems,,,
"Harsh Trivedi, Tushar Khot, Mareike Hartmann, Ruskin Manku, Vinty Dong, Edward Li, Shashank Gupta, Ashish Sabharwal, and Niranjan Balasubramanian. 2024. AppWorld: A controllable world of apps and people for benchmarking interactive coding agents. Preprint, arXiv:2407.18901.",working_paper,AppWorld: A controllable world of apps and people for benchmarking interactive coding agents,Harsh Trivedi | Tushar Khot | Mareike Hartmann | Ruskin Manku | Vinty Dong | Edward Li | Shashank Gupta | Ashish Sabharwal | Niranjan Balasubramanian,2024,arXiv,,2407.18901,,,,,,,
Vladimir Vapnik and Rauf Izmailov. 2015. Learning using privileged information: Similarity control and knowledge transfer.,book,Learning using privileged information: Similarity control and knowledge transfer,Vladimir Vapnik | Rauf Izmailov,2015,,,,,,,,,,
"Ruiyi Wang and Prithviraj Ammanabrolu. 2025. A practitioner’s guide to multi-turn agentic reinforcement learning. Preprint, arXiv:2510.01132.",working_paper,A practitioner’s guide to multi-turn agentic reinforcement learning,Ruiyi Wang | Prithviraj Ammanabrolu,2025,arXiv,,2510.01132,,,,,,,
"Yifan Wang, Hao Liu, and Wei Zhang. 2026. Skillconditioned self-distillation for multi-turn languagemodel agents. Preprint, arXiv:2604.10674.",working_paper,Skillconditioned self-distillation for multi-turn languagemodel agents,Yifan Wang | Hao Liu | Wei Zhang,2026,arXiv,,2604.10674,,,,,,,
"Ronald J. Williams. 1992. Simple statistical gradientfollowing algorithms for connectionist reinforcement learning. Machine Learning, 8(3-4):229-256.",journal_article,Simple statistical gradientfollowing algorithms for connectionist reinforcement learning,Ronald J. Williams,1992,Machine Learning,8,3-4,229-256,,,,,,
"Shunyu Yao, Noah Shinn, Pedram Razavi, and Karthik Narasimhan. 2024. τ -bench: A benchmark for tool-agent-user interaction in real-world domains. Preprint, arXiv:2406.12045.",working_paper,τ -bench: A benchmark for tool-agent-user interaction in real-world domains,Shunyu Yao | Noah Shinn | Pedram Razavi | Karthik Narasimhan,2024,arXiv,,2406.12045,,,,,,,
"Qiying Yu, Zheng Zhang, Ruofei Zhu, Yufeng Yuan, Xiaochen Zuo, Yu Yue, Tiantian Fan, Gaohong Liu, Lingjun Liu, Xin Liu, and 1 others. 2025. DAPO: An open-source LLM reinforcement learning system at scale. Preprint, arXiv:2503.14476.",working_paper,DAPO: An open-source LLM reinforcement learning system at scale,Qiying Yu | Zheng Zhang | Ruofei Zhu | Yufeng Yuan | Xiaochen Zuo | Yu Yue | Tiantian Fan | Gaohong Liu | Lingjun Liu | Xin Liu | 1 others,2025,arXiv,,2503.14476,,,,,,,
"Yifan Zhang, Wei Chen, and Hao Li. 2026. Co-evolving agents: Self-improving tool-use through iterative reinforcement learning. Preprint, arXiv:2604.15840.",working_paper,Co-evolving agents: Self-improving tool-use through iterative reinforcement learning,Yifan Zhang | Wei Chen | Hao Li,2026,arXiv,,2604.15840,,,,,,,
