raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed
"1. Béland L-P, Brodeur A, Haddad J, Mikola D. Determinants of Family Stress and Domestic Violence: Lessons from the COVID-19 Outbreak. Can Public Policy. 2021;47(3):439-59. https://doi.org/10.3138/cpp.2020-119",journal_article,Determinants of Family Stress and Domestic Violence: Lessons from the COVID-19 Outbreak,Béland L-P | Brodeur A | Haddad J | Mikola D,2021,Can Public Policy,47,3,439-59,10.3138/cpp.2020-119,,,,,
"2. Ebert C, Steinert JI. Prevalence and risk factors of violence against women and children during COVID-19, Germany. Bull World Health Organ. 2021;99(6):429-38. https://doi.org/10.2471/BLT.20.270983",journal_article,"Prevalence and risk factors of violence against women and children during COVID-19, Germany",Ebert C | Steinert JI,2021,Bull World Health Organ,99,6,429-38,10.2471/BLT.20.270983,,,,,
"3. Morgan A, Boxall H. Social isolation, time spent at home, financial stress, and domestic violence during the COVID-19 pandemic. Trends Issues Crime Crim Justice. 2020;609:1-18. https://doi.org/10.52922/ti04855",journal_article,"Social isolation, time spent at home, financial stress, and domestic violence during the COVID-19 pandemic",Morgan A | Boxall H,2020,Trends Issues Crime Crim Justice,,609,1-18,10.52922/ti04855,,,,,
"4. Peitzmeier SM, Fedina L, Ashwell L, Herrenkohl TI, Tolman R. Increases in intimate partner violence during COVID-19: prevalence and correlates. J Interpers Violence. 2021;37(21-22):20482-512. https://doi.org/10.1177/08862605211052586",journal_article,Increases in intimate partner violence during COVID-19: prevalence and correlates,Peitzmeier SM | Fedina L | Ashwell L | Herrenkohl TI | Tolman R,2021,J Interpers Violence,37,21-22,20482-512,10.1177/08862605211052586,,,,,
"5. Henke A, Hsu L. COVID-19 and domestic violence: economics or isolation? J Fam Econ Issues. 2022;43(2):296-309. https://doi.org/10.1007/s10834-022-09829-0",journal_article,COVID-19 and domestic violence: economics or isolation?,Henke A | Hsu L,2022,J Fam Econ Issues,43,2,296-309,10.1007/s10834-022-09829-0,,,,,
"6. Leslie E, Wilson R. Sheltering in place and domestic violence: Evidence from calls for service during COVID-19. J Public Econ. 2020;189:104241. https://doi.org/10.1016/j.jpubeco.2020.104241",journal_article,Sheltering in place and domestic violence: Evidence from calls for service during COVID-19,Leslie E | Wilson R,2020,J Public Econ,189,,104241,10.1016/j.jpubeco.2020.104241,,,,,
"7. Conteduca FP, Borin A. A New Dataset for Local and National COVID-19-Related Restrictions in Italy. Ital Econ J. 2022;8(2):435-70. https://doi.org/10.1007/s40797-022-00197-0",journal_article,A New Dataset for Local and National COVID-19-Related Restrictions in Italy,Conteduca FP | Borin A,2022,Ital Econ J,8,2,435-70,10.1007/s40797-022-00197-0,,,,,
"8. Hill R. Families under stress. Westport, CT: Greenwood Press. 1949.",book,Families under stress,Hill R,1949,,,,,,9780833041456,,Greenwood Press,,
"9. Farrington K. The application of stress theory to the study of family violence: Principles, problems, and prospects. J Fam Violence. 1986;1(2):131-47. https://doi.org/10.1007/bf00977249",journal_article,"The application of stress theory to the study of family violence: Principles, problems, and prospects",Farrington K,1986,J Fam Violence,1,2,131-47,10.1007/bf00977249,,,,,
"10. Wu Q, Xu Y. Parenting stress and risk of child maltreatment during the COVID-19 pandemic: A family stress theory-informed perspective. Dev Child Welf. 2020;2(3):180-96. https://doi.org/10.1177/2516103220967937",journal_article,Parenting stress and risk of child maltreatment during the COVID-19 pandemic: A family stress theory-informed perspective,Wu Q | Xu Y,2020,Dev Child Welf,2,3,180-96,10.1177/2516103220967937,,,,,
