raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed
"[1] I. Hamamoto, B. Mottelson, Shape deformations in atomic nuclei, Scholarpedia 7 (2012) 10693. doi:10.4249/scholarpedia.10693",journal_article,Shape deformations in atomic nuclei,I. Hamamoto | B. Mottelson,2012,Scholarpedia,7,,10693,10.4249/scholarpedia.10693,,,,,
"[2] E. Litvinova, Recent advancements in the strongly coupled many-body problem, arXiv (2025). doi:10.48550/arXiv.2512.23644",working_paper,Recent advancements in the strongly coupled many-body problem,E. Litvinova,2025,arXiv,,2512.23644,,10.48550/arXiv.2512.23644,,,,,
"[3] H. Hergert, A guided tour of ab initio nuclear many-body theory, fphy 8 (2020) 379. doi:10. 3389/fphy.2020.00379.",journal_article,A guided tour of ab initio nuclear many-body theory,H. Hergert,2020,fphy,8,,379,10.3389/fphy.2020.00379,,,,,
"[4] A. Ekström, C. Forssén, T. Papenbrock, et al., What is ab initio in nuclear theory?, fphy 11 (2023) 1129094. doi:10.3389/fphy.2023.1129094",journal_article,What is ab initio in nuclear theory?,A. Ekström | C. Forssén | T. Papenbrock | et al.,2023,fphy,11,,1129094,10.3389/fphy.2023.1129094,,,,,
"[5] F. Iachello, Dynamic symmetries at the critical point, Phys. Rev. Lett. 85 (2000) 3580-3583. doi:10.1103/PhysRevLett.85.3580",journal_article,Dynamic symmetries at the critical point,F. Iachello,2000,Phys. Rev. Lett.,85,,3580-3583,10.1103/PhysRevLett.85.3580,,,,,
"[6] F. Iachello, Analytic description of critical point nuclei in a spherical-axially deformed shape phase transition, Phys. Rev. Lett. 87 (2001) 052502. doi:10.1103/PhysRevLett.87.052502",journal_article,Analytic description of critical point nuclei in a spherical-axially deformed shape phase transition,F. Iachello,2001,Phys. Rev. Lett.,87,,052502,10.1103/PhysRevLett.87.052502,,,,,
"[7] P. Cejnar, J. Jolie, R. F. Casten, Quantum phase transitions in the shapes of atomic nuclei, Rev. Mod. Phys. 82 (2010) 2155-2212. doi:10.1103/RevModPhys.82.2155",journal_article,Quantum phase transitions in the shapes of atomic nuclei,P. Cejnar | J. Jolie | R. F. Casten,2010,Rev. Mod. Phys.,82,,2155-2212,10.1103/RevModPhys.82.2155,,,,,
"[8] N. Pietralla, O. M. Gorbachenko, Evolution of the “β excitation” in axially symmetric transitional nuclei, Phys. Rev. C 70 (2004, 011304). doi:10.1103/PhysRevC.70.011304",journal_article,Evolution of the “β excitation” in axially symmetric transitional nuclei,N. Pietralla | O. M. Gorbachenko,2004,Phys. Rev. C,70,,011304,10.1103/PhysRevC.70.011304,,,,,
"[9] M. Reese, CBS model program, https://sourceforge.net/projects/cbsmodel/",web,CBS model program,M. Reese,2011,,,,,,,,,https://sourceforge.net/projects/cbsmodel/,
"[10] P. E. Garrett, Characterization of the β vibration and 0 + states in deformed nuclei, Journal of Physics G: Nuclear and Particle Physics 27 (2001) R1-R29. URL: https://doi.org/10.1088/0954-3899/27/1/201",journal_article,Characterization of the β vibration and 0 + states in deformed nuclei,P. E. Garrett,2001,Journal of Physics G: Nuclear and Particle Physics,27,,R1-R29,10.1088/0954-3899/27/1/201,,,,,
"[11] J. Sharpey-Schafer, R. Bark, S. Bvumbi, E. Lawrie, J. Lawrie, T. Madiba, S. Majola, A. Minkova, S. Mullins, P. Papka, D. Roux, J. Timár, A double vacuum, configuration dependent pairing and lack of β-vibrations in transitional nuclei: Band structure of n = 88 to n = 91 nuclei, Nuclear Physics A 834 (2010) 45c-49c. URL: https://www.sciencedirect.com/science/article/pii/S0375947410000151. doi:https://doi.org/10.1016/j.nuclphysa.2010.01.014",conference_paper,"A double vacuum, configuration dependent pairing and lack of β-vibrations in transitional nuclei: Band structure of n = 88 to n = 91 nuclei",J. Sharpey-Schafer | R. Bark | S. Bvumbi | E. Lawrie | J. Lawrie | T. Madiba | S. Majola | A. Minkova | S. Mullins | P. Papka | D. Roux | J. Timár,2010,Nuclear Physics A,834,,45c-49c,10.1016/j.nuclphysa.2010.01.014,,,,,
"[12] J. Sharpey-Schafer, R. Bark, S. Bvumbi, T. Dinoko, S. Majola, “stiff” deformed nuclei, configuration dependent pairing and the β and γ degrees of freedom, The European Physical Journal A 55 (2019) 15.",journal_article,"“stiff” deformed nuclei, configuration dependent pairing and the β and γ degrees of freedom",J. Sharpey-Schafer | R. Bark | S. Bvumbi | T. Dinoko | S. Majola,2019,The European Physical Journal A,55,,15,,,,,,
"[13] A. Aprahamian, K. Lee, S. R. Lesher and R. Bijker, The nature of 0+ excitations in deformed nuclei, Progress in Particle and Nuclear Physics 143 (2025, 104173). doi:10.1016/j.ppnp.2025.",journal_article,The nature of 0+ excitations in deformed nuclei,A. Aprahamian | K. Lee | S. R. Lesher | R. Bijker,2025,Progress in Particle and Nuclear Physics,143,,104173,10.1016/j.ppnp.2025.104173,,,,,
"[14] K. Dusling, N. Pietralla, Description of ground-state band energies in well-deformed even-even nuclei with the confined β-soft rotor model, Phys. Rev. C 72 (2005) 011303. doi:10.1103/PhysRevC.",journal_article,Description of ground-state band energies in well-deformed even-even nuclei with the confined β-soft rotor model,K. Dusling | N. Pietralla,2005,Phys. Rev. C,72,,011303,10.1103/PhysRevC.72.011303,,,,,
"[15] A. Bohr, The Coupling of Nuclear Surface Oscillations to the Motion of Individual Nucleons, Det Kgl. Danske Videnskabernes Selskab. Matematisk-fysiske meddelelser, Komm. Munksgaard, 1952. URL: https://books.google.gr/books?id=A8QTtQEACAAJ.",book,The Coupling of Nuclear Surface Oscillations to the Motion of Individual Nucleons,A. Bohr,1952,,,,,,,,Komm. Munksgaard,,
"[16] A. Bohr, B. R. Mottelson, Nuclear Structure, World Scientific, New York, 1997.",book,Nuclear Structure,A. Bohr | B. R. Mottelson,1997,,,,,,9789810239800,,World Scientific,,
"[17] A. Bohr, B. Mottelson, Nuclear Structure, Volume II: Nuclear Deformations, W.A. Benjamin, 1975.",book,"Nuclear Structure, Volume II: Nuclear Deformations",A. Bohr | B. Mottelson,1975,,,,,,,,W.A. Benjamin,,
