raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed
"Cheong, Yeilim and Stephan Haggard. 2023. ""Political Polarization in Korea."" Democratization 30 (7): 1215-1239.",journal_article,Political Polarization in Korea,"Cheong, Yeilim | Haggard, Stephan",2023,Democratization,30,7,1215-1239,,,,,,
"Cho, Joan E., and Aram Hur. 2025. ""The Perils of South Korean Democracy."" Journal of Democracy 36 (2): 38-46.",journal_article,The Perils of South Korean Democracy,"Cho, Joan E. | Hur, Aram",2025,Journal of Democracy,36,2,38-46,,,,,,
"Ghitza, Yair, Andrew Gelman, and Jonathan Auerbach. 2023. ""The Great Society, Reagan's Revolution, and Generations of Presidential Voting."" American Journal of Political Science 67(3): 520-537.",journal_article,"The Great Society, Reagan's Revolution, and Generations of Presidential Voting","Ghitza, Yair | Gelman, Andrew | Auerbach, Jonathan",2023,American Journal of Political Science,67,3,520-537,,,,,,
"Han, Seungwoo. 2025. ""Martial Law, Democratic Erosion, and Democratic Resilience in South Korea."" Asian Journal of Comparative Politics.",journal_article,"Martial Law, Democratic Erosion, and Democratic Resilience in South Korea","Han, Seungwoo",2025,Asian Journal of Comparative Politics,,,,,,,,,
"Hong, Ji Yeon, and Christopher Paik. 2021. ""Hate Thy Communist Neighbor: Protestants and Politics in South Korea."" Journal of Economic Behavior & Organization 186: 707-723.",journal_article,Hate Thy Communist Neighbor: Protestants and Politics in South Korea,"Hong, Ji Yeon | Paik, Christopher",2021,Journal of Economic Behavior & Organization,186,,707-723,,,,,,
"Hur, Aram. 2025. ""South Korea's Democracy at a Crossroads."" Korea Observer 56(1): 1-18.",journal_article,South Korea's Democracy at a Crossroads,"Hur, Aram",2025,Korea Observer,56,1,1-18,,,,,,
"Hur, Aram, and Andrew Yeo. 2024. ""Democratic Ceilings: The Long Shadow of Nationalist Polarization in East Asia."" Comparative Political Studies 57(4): 584-612.",journal_article,Democratic Ceilings: The Long Shadow of Nationalist Polarization in East Asia,"Hur, Aram | Yeo, Andrew",2024,Comparative Political Studies,57,4,584-612,,,,,,
"Jang, Sung-Min and Doh Chull Shin. 2021. ""The Rise of Generational Politics in South Korea."" The Pacific Review 34(5): 791-817.",journal_article,The Rise of Generational Politics in South Korea,"Jang, Sung-Min | Shin, Doh Chull",2021,The Pacific Review,34,5,791-817,,,,,,
"Kang, Won-Taek. 2020. ""Religion, Social Conservatism, and Democratic Discontent in Korea."" Democratization 27(6): 1021-1041.",journal_article,"Religion, Social Conservatism, and Democratic Discontent in Korea","Kang, Won-Taek",2020,Democratization,27,6,1021-1041,,,,,,
"Kim, Jibum, et al. 2025. Korean General Social Survey (KGSS), 2003-2025 Cumulative Dataset. Seoul, Korea: Sungkyunkwan University Survey Research Center.",book,"Korean General Social Survey (KGSS), 2003-2025 Cumulative Dataset","Kim, Jibum | et al.",2025,,,,,,,,Sungkyunkwan University Survey Research Center,,
"Koo, Hagen. 1993. State and Society in Contemporary Korea. Ithaca, New York: Cornell University Press.",book,State and Society in Contemporary Korea,"Koo, Hagen",1993,,,,,,080142867X,,Cornell University Press,,
"Lee, Eunwoo. 2025. ""Angry Young Men Amid South Korea's Impeachment Turmoil."" The Diplomat. February 10, 2025.",web,Angry Young Men Amid South Korea's Impeachment Turmoil,"Lee, Eunwoo",2025,The Diplomat,,,,,,,,,
"Lee, Michelle Ye Hee. 2025. ""Charlie Kirk's Death has Fired Up South Korea's 'MAGA' Conservatives."" Washington Post. October 3, 2025.",web,Charlie Kirk's Death has Fired Up South Korea's 'MAGA' Conservatives,"Lee, Michelle Ye Hee",2025,Washington Post,,,,,,,,,
"Lee, Nae-Young. 2018. ""Youth Disillusionment and Democratic Fatigue in South Korea."" Democratization 25(6): 1035-1052.",journal_article,Youth Disillusionment and Democratic Fatigue in South Korea,"Lee, Nae-Young",2018,Democratization,25,6,1035-1052,,,,,,
"Lee, Namhee. 2011. The Making of Minjung: Democracy and the Politics of Representation in South Korea. Ithaca, New York: Cornell University Press.",book,The Making of Minjung: Democracy and the Politics of Representation in South Korea,"Lee, Namhee",2011,,,,,,9780801475733,,Cornell University Press,,
"Lee, Yoonkyung. 2025. ""We are Each Other's Democracy: The Emergence of New Political Subjectivities and Solidarities during the Anti-Martial Law Protests in South Korea."" Critical Asian Studies 57(3): 375-391.",journal_article,We are Each Other's Democracy: The Emergence of New Political Subjectivities and Solidarities during the Anti-Martial Law Protests in South Korea,"Lee, Yoonkyung",2025,Critical Asian Studies,57,3,375-391,,,,,,
