raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed
"[2] Mares, D., & Blackburn, E. (2021). Evaluating the Impact of ShotSpotter Technology on Firearm Homicides and Arrests. Criminal Justice Policy Review. https://doi.org/10.1177/0887403421992907",journal_article,Evaluating the Impact of ShotSpotter Technology on Firearm Homicides and Arrests,"Mares, D. | Blackburn, E.",2021,Criminal Justice Policy Review,,,,10.1177/0887403421992907,,,,,
[11] National Institute of Justice. (2022). Acoustic Gunshot Detection: A Review of the Evidence. https://nij.ojp.gov/library/publications/acoustic-gunshot-detection-review-evidence,web,Acoustic Gunshot Detection: A Review of the Evidence,National Institute of Justice,2022,,,,,,,,,https://nij.ojp.gov/library/publications/acoustic-gunshot-detection-review-evidence,
"[15] Piza, E. L., et al. (2023). Gunshot Detection Technology and Police Response: A Quasi-Experimental Evaluation. Journal of Experimental Criminology. https://doi.org/10.1007/s11292-023-09553-z",journal_article,Gunshot Detection Technology and Police Response: A Quasi-Experimental Evaluation,"Piza, E. L. | et al.",2023,Journal of Experimental Criminology,,,,10.1007/s11292-023-09553-z,,,,,
[19] Dallas Police Department. (2015). ShotSpotter Evaluation Report. https://dallaspolice.net/Reports/shotspotter2015.pdf,web,ShotSpotter Evaluation Report,Dallas Police Department,2015,,,,,,,,,https://dallaspolice.net/Reports/shotspotter2015.pdf,
[22] Government Technology. (2022). ShotSpotter: Technology That Doesn’t Stop Crime? https://www.govtech.com/public-safety/shotspotter-technology-that-doesnt-stop-crime,web,ShotSpotter: Technology That Doesn’t Stop Crime?,Government Technology,2022,,,,,,,,,https://www.govtech.com/public-safety/shotspotter-technology-that-doesnt-stop-crime,
[24] Kansas City Council Budget. (2023). Police Technology Spending Report. https://www.kcmo.gov/Home/Components/News/News/2166/16,web,Police Technology Spending Report,Kansas City Council Budget,2023,,,,,,,,,https://www.kcmo.gov/Home/Components/News/News/2166/16,
[26] Vera Institute of Justice. (2021). Emerging Police Technologies and Their Costs. https://www.vera.org/publications/emerging-police-technologies,web,Emerging Police Technologies and Their Costs,Vera Institute of Justice,2021,,,,,,,,,https://www.vera.org/publications/emerging-police-technologies,
[28] Springfield City Council. (2021). ShotSpotter Contract Approval. https://www.springfield.il.us/Government/ViewOrdinance.aspx?OrdID=37431,web,ShotSpotter Contract Approval,Springfield City Council,2021,,,,,,,,,https://www.springfield.il.us/Government/ViewOrdinance.aspx?OrdID=37431,
[30] Elmwood Park Police Department. (2022). Acoustic Detection Contract Details. https://elmwoodpark.org/wp-content/uploads/2022/03/ShotSpotter-Contract.pdf,web,Acoustic Detection Contract Details,Elmwood Park Police Department,2022,,,,,,,,,https://elmwoodpark.org/wp-content/uploads/2022/03/ShotSpotter-Contract.pdf,
"[41] Piza, E. L., & Welsh, B. C. (2019). The Effects of Gunshot Detection Technology on Gun Violence: A Randomized Controlled Trial. Justice Quarterly. https://doi.org/10.1080/07418825.2018.1488126",journal_article,The Effects of Gunshot Detection Technology on Gun Violence: A Randomized Controlled Trial,"Piza, E. L. | Welsh, B. C.",2019,Justice Quarterly,,,,10.1080/07418825.2018.1488126,,,,,
[44] Urban Institute. (2020). Evaluating the Impact of ShotSpotter in Urban Environments. https://www.urban.org/research/publication/evaluating-impact-shotspotter-urban-environments,web,Evaluating the Impact of ShotSpotter in Urban Environments,Urban Institute,2020,,,,,,,,,https://www.urban.org/research/publication/evaluating-impact-shotspotter-urban-environments,
[48] U.S. Conference of Mayors. (2021). Public Safety Technology Cost Index. https://www.usmayors.org/issues/public-safety/tech-cost-index-2021.pdf,web,Public Safety Technology Cost Index,U.S. Conference of Mayors,2021,,,,,,,,,https://www.usmayors.org/issues/public-safety/tech-cost-index-2021.pdf,
