raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed
"1. Ahmadnejad A, Darviishani AM, Asadi MM, Saffariyeh S, Yousef P, Fatemizadeh E. TacNet: Temporal audio source counting network. arXiv preprint. 2023.",working_paper,TacNet: Temporal audio source counting network.,Ahmadnejad A | Darviishani AM | Asadi MM | Saffariyeh S | Yousef P | Fatemizadeh E,2023,arXiv,,,,,,,,,
"2. LeCun Y, Bengio Y, Hinton G. Deep learning. Nature. 2015;521(7553):436-44.",journal_article,Deep learning.,LeCun Y | Bengio Y | Hinton G,2015,Nature,521,7553,436-44,,,,,,
"3. Aghili S, Alaee R, Ahmadnejad A, Mobini E, Mohammadpour M, Rockstuhl C, et al. Dynamic control of spontaneous emission using magnetized InSb higher-order-mode antennas. J Phys Photonics. 2024;6(3):035011. https://doi.org/10.1088/2515-7647/ad4c34",journal_article,Dynamic control of spontaneous emission using magnetized InSb higher-order-mode antennas.,Aghili S | Alaee R | Ahmadnejad A | Mobini E | Mohammadpour M | Rockstuhl C,2024,J Phys Photonics,6,3,035011,10.1088/2515-7647/ad4c34,,,,https://doi.org/10.1088/2515-7647/ad4c34,
"4. Thompson NC, Spanuth S. The decline of computers as a general purpose technology: Why deep learning and the end of Moore’s Law are fragmenting computing. SSRN Electron J. 2020.",working_paper,The decline of computers as a general purpose technology: Why deep learning and the end of Moore’s Law are fragmenting computing.,Thompson NC | Spanuth S,2020,SSRN Electron J,,,,,,,,,
"5. Patterson D, Gonzalez J, Hölzle U, Le Q, Liang C, Munguia LM, et al. Carbon emissions and large neural network training. arXiv preprint. 2022. https://doi.org/10.48550/arXiv.2104.10350",working_paper,Carbon emissions and large neural network training.,Patterson D | Gonzalez J | Hölzle U | Le Q | Liang C | Munguia LM,2022,arXiv,,,,10.48550/arXiv.2104.10350,,,,https://doi.org/10.48550/arXiv.2104.10350,
"6. Thompson NC, Greenewald K, Lee K, Manso GF. The computational limits of deep learning. Nat Comput Sci. 2022;2(1):14-22.",journal_article,The computational limits of deep learning.,Thompson NC | Greenewald K | Lee K | Manso GF,2022,Nat Comput Sci,2,1,14-22,,,,,,
"7. Schwartz R, Dodge J, Smith NA, Etzioni O. Green AI. Commun ACM. 2020;63(12):54-63.",journal_article,Green AI.,Schwartz R | Dodge J | Smith NA | Etzioni O,2020,Commun ACM,63,12,54-63,,,,,,
"8. Wetzstein G, Ozcan A, Gigan S, Fan S, Englund D, Soljačić M, et al. Inference in artificial intelligence with deep optics and photonics. Nature. 2020;588(7836):39-47. https://doi.org/10.1038/s41586-020-2973-6",journal_article,Inference in artificial intelligence with deep optics and photonics,Wetzstein G | Ozcan A | Gigan S | Fan S | Englund D | Soljačić M | et al.,2020,Nature,588,7836,39-47,10.1038/s41586-020-2973-6,,,,https://doi.org/10.1038/s41586-020-2973-6,
"9. Shastri BJ, Tait AN, de Lima TF, Pernice WHP, Bhaskaran H, Wright CD, et al. Photonics for artificial intelligence and neuromorphic computing. Nat Photonics. 2021;15(2):102-14.",journal_article,Photonics for artificial intelligence and neuromorphic computing,Shastri BJ | Tait AN | de Lima TF | Pernice WHP | Bhaskaran H | Wright CD | et al.,2021,Nat Photonics,15,2,102-14,,,,,,
"10. Ahmadi R, Ahmadnejad A, Koohi S. Free-space optical spiking neural network. PLoS One. 2024;19(12):e0313547. https://doi.org/10.1371/journal.",journal_article,Free-space optical spiking neural network.,Ahmadi R | Ahmadnejad A | Koohi S,2024,PloS One,19,12,e0313547,10.1371/journal.pone.0313547,,,,https://doi.org/10.1371/journal.pone.0313547,
"11. Ahmadnejad A, Koohi S. Training large-scale optical neural networks with two-pass forward propagation. arXiv preprint. 2024. https://doi.org/arXiv:2408.08337",working_paper,Training large-scale optical neural networks with two-pass forward propagation.,Ahmadnejad A | Koohi S,2024,arXiv,,2408.08337,,,,,,https://doi.org/arXiv:2408.08337,
12. Miller DAB. Attojoule optoelectronics for low-energy information processing and communications. J Lightwave Technol. 2017;35(3):346-96.,journal_article,Attojoule optoelectronics for low-energy information processing and communications.,Miller DAB,2017,J Lightwave Technol,35,3,346-96,,,,,,
