document,page_count,text_length,citation_count,ocr_seconds,extract_seconds,input_tokens,output_tokens,total_tokens,cost_usd
13335_Efficient_semantic_uncer,30,98871,74,0.61,99.23,44871,28523,73394,0.044628
1_perspective_PLOSWater_preview,11,45060,67,1.39,159.06,25345,19968,45313,0.030029
23812_Unmasking_Puppeteers_Lev,16,54301,72,1.81,63.45,35996,22731,58727,0.035613
24047_Fourier_Token_Merging_Un,22,68399,32,2.56,37.76,16160,9078,25238,0.01458
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,53,107870,104,16.07,170.63,45945,36037,81982,0.054235
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,68,233788,156,1.56,168.51,33095,32754,65849,0.047561
2606.11565v1,27,56658,40,0.27,34.46,15768,10257,26025,0.015975
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,42,102723,36,1.02,31.56,8766,8205,16971,0.012009
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,99,147798,75,2.12,126.89,16797,14975,31772,0.022078
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,24,45045,35,0.28,93.05,17992,5372,23364,0.010313
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,51,80625,78,0.77,99.92,47460,25374,72834,0.041209
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,22,73163,76,0.32,67.25,29160,23812,52972,0.035597
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,10,38034,32,0.33,45.73,17994,5891,23885,0.010963
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,35,97365,52,0.69,43.61,12519,10872,23391,0.016094
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,13,46208,23,0.24,25.51,12138,5163,17301,0.008881
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",6,27443,31,0.23,39.79,7646,6252,13898,0.009344
AndyW_Dissertation_Limit,50,68507,271,0.37,195.95,67214,58637,125851,0.086739
BD_money_in_bank_preprint,17,80365,85,0.36,73.59,13984,15363,29347,0.022001
Cannabis_in_the_Capital__Manuscript,23,40519,52,0.2,71.51,13046,9906,22952,0.014992
Domestic Politics in 2025_ South Korea's Polarized Democracy After Martial Law,21,50485,24,0.23,27.27,4105,3411,7516,0.005085
Fingerprint_Ridges,34,98423,38,1.46,34.75,16158,10807,26965,0.01674
GenAI_CrimEvidence,14,29961,33,0.25,45.91,11949,6563,18512,0.010594
Gunshot_Detection_Literature_Review_Expanded,2,4345,12,0.02,11.59,3606,1829,5435,0.003007
PredictionMarkets,30,80792,48,0.47,46.09,4407,6037,10444,0.008428
Preprint - The AI Criminal Mastermind - Paper,22,86045,86,0.6,55.55,28286,22074,50360,0.03325
Reimagining-justice-peacemaking-criminology-and-alternative-justice-systems-in-the-Kenyan-context,14,47410,32,0.22,53.32,4491,4713,9204,0.006789
affiliation_errors_openalex,20,61837,34,0.44,31.71,9005,8611,17616,0.012565
algorithms-19-00509,30,90752,52,0.75,56.77,23519,15194,38713,0.023696
hall_next_research,10,54280,84,0.48,75.79,24314,19294,43608,0.02898
journal.pone.0325168,53,148270,116,2.21,92.34,41877,33286,75163,0.049983
journal.pone.0334595,27,91496,43,0.94,43.98,20032,13637,33669,0.021053
journal.pone.0345850,33,114159,90,1.49,74.24,33356,25915,59271,0.039065
journal.pone.0349889,22,94469,91,1.05,83.73,37245,28924,66169,0.043604
journal.pone.0352338,17,67984,43,1.1,67.44,20765,14569,35334,0.022364
preprint-61779311834433-61779357373981,41,106335,42,0.82,278.85,11994,8984,20978,0.013629
s12889-026-27943-8_reference,23,50760,35,0.31,48.32,27022,5790,32812,0.012642
