raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed
"[1] Kumar, P., Debele, S.E., Khalili, S., Halios, C.H., Sahani, J., Aghamohammadi, N., Fatima Andrade, M., Athanassiadou, M., Bhui, K., Calvillo, N., et al.: Urban heat mitigation by green and blue infrastructure: Drivers, effectiveness, and future needs. The Innovation 5(2) (2024) https://doi.org/10.1016/j.xinn.2024.100588",journal_article,"Urban heat mitigation by green and blue infrastructure: Drivers, effectiveness, and future needs","Kumar, P. | Debele, S.E. | Khalili, S. | Halios, C.H. | Sahani, J. | Aghamohammadi, N. | Fatima Andrade, M. | Athanassiadou, M. | Bhui, K. | Calvillo, N. | et al.",2024,The Innovation,5,2,,10.1016/j.xinn.2024.100588,,,,,
"[2] Qi, J., Ding, L., Lim, S.: A decision-making framework to support urban heat mitigation by local governments. Resources, Conservation and Recycling 184, 106420 (2022) https://doi.org/10.1016/j.resconrec.2022.106420",journal_article,A decision-making framework to support urban heat mitigation by local governments,"Qi, J. | Ding, L. | Lim, S.",2022,"Resources, Conservation and Recycling",184,,106420,10.1016/j.resconrec.2022.106420,,,,,
"[3] Memon, R.A., Leung, D.Y., Liu, C.-H.: An investigation of urban heat island intensity (UHII) as an indicator of urban heating. Atmospheric Research 94(3), 491-500 (2009) https://doi.org/10.1016/j.atmosres.2009.07.006",journal_article,An investigation of urban heat island intensity (UHII) as an indicator of urban heating,"Memon, R.A. | Leung, D.Y. | Liu, C.-H.",2009,Atmospheric Research,94,3,491-500,10.1016/j.atmosres.2009.07.006,,,,,
"[4] Bureau, U.S.C.: 2020 Census Urban Areas Facts. Accessed on 6 August 2025 (2023). https://www.census.gov/programs-surveys/geography/guidance/geo-areas/urban-rural/2020-ua-facts.html",web,2020 Census Urban Areas Facts,"Bureau, U.S.C.",2023,,,,,,,,,https://www.census.gov/programs-surveys/geography/guidance/geo-areas/urban-rural/2020-ua-facts.html,6 August 2025
"[5] Rizwan, A.M., Dennis, L.Y., et al.: A review on the generation, determination and mitigation of Urban Heat Island. Journal of environmental sciences 20(1), 120-128 (2008) https://doi.org/10.1016/S1001-0742(08)60019-4",journal_article,"A review on the generation, determination and mitigation of Urban Heat Island","Rizwan, A.M. | Dennis, L.Y. | et al.",2008,Journal of environmental sciences,20,1,120-128,10.1016/S1001-0742(08)60019-4,,,,,
"[6] Wolch, J.R., Byrne, J., Newell, J.P.: Urban green space, public health, and environmental justice: The challenge of making cities ‘just green enough’. Landscape and urban planning 125, 234-244 (2014) https://doi.org/10.1016/j.landurbplan.2014.01.017",journal_article,"Urban green space, public health, and environmental justice: The challenge of making cities ‘just green enough’","Wolch, J.R. | Byrne, J. | Newell, J.P.",2014,Landscape and urban planning,125,,234-244,10.1016/j.landurbplan.2014.01.017,,,,,
"[7] Chakraborty, T., Newman, A.J., Qian, Y., Hsu, A., Sheriff, G.: Residential segregation and outdoor urban moist heat stress disparities in the United States. One Earth 6(6), 738-750 (2023) https://doi.org/10.1016/j.oneear.2023.05.016",journal_article,Residential segregation and outdoor urban moist heat stress disparities in the United States,"Chakraborty, T. | Newman, A.J. | Qian, Y. | Hsu, A. | Sheriff, G.",2023,One Earth,6,6,738-750,10.1016/j.oneear.2023.05.016,,,,,
"[8] Mitchell, B.C., Chakraborty, J.: Landscapes of thermal inequity: disproportionate exposure to urban heat in the three largest US cities. Environmental Research Letters 10(11), 115005 (2015) https://doi.org/10.1088/1748-9326/10/11/115005",journal_article,Landscapes of thermal inequity: disproportionate exposure to urban heat in the three largest US cities,"Mitchell, B.C. | Chakraborty, J.",2015,Environmental Research Letters,10,11,115005,10.1088/1748-9326/10/11/115005,,,,,
"[9] Molina, M.J., O’Brien, T.A., Anderson, G., Ashfaq, M., Bennett, K.E., Collins, W.D., Dagon, K., Restrepo, J.M., Ullrich, P.A.: A review of recent and emerging machine learning applications for climate variability and weather phenomena. Artificial Intelligence for the Earth Systems 2(4), 220086 (2023) https://doi.org/10.1175/AIES-D-22-0086.1",journal_article,A review of recent and emerging machine learning applications for climate variability and weather phenomena,"Molina, M.J. | O’Brien, T.A. | Anderson, G. | Ashfaq, M. | Bennett, K.E. | Collins, W.D. | Dagon, K. | Restrepo, J.M. | Ullrich, P.A.",2023,Artificial Intelligence for the Earth Systems,2,4,220086,10.1175/AIES-D-22-0086.1,,,,,
"[10] Mohamed, O.Y., Zahidi, I.: Artificial intelligence for predicting urban heat island effect and optimising land use/land cover for mitigation: Prospects and recent advancements. Urban Climate 55, 101976 (2024) https://doi.org/10.1016/j.uclim.2024.101976",journal_article,Artificial intelligence for predicting urban heat island effect and optimising land use/land cover for mitigation: Prospects and recent advancements,"Mohamed, O.Y. | Zahidi, I.",2024,Urban Climate,55,,101976,10.1016/j.uclim.2024.101976,,,,,
"[11] Ahmed, A.N., AlDahoul, N., Aziz, N.A., Huang, Y., Sherif, M., El-Shafie, A.: The urban heat Island effect: A review on predictive approaches using artificial intelligence models. City and Environment Interactions, 100234 (2025) https://doi.org/10.1016/j.cacint.2025.100234",journal_article,The urban heat Island effect: A review on predictive approaches using artificial intelligence models,"Ahmed, A.N. | AlDahoul, N. | Aziz, N.A. | Huang, Y. | Sherif, M. | El-Shafie, A.",2025,City and Environment Interactions,,,100234,10.1016/j.cacint.2025.100234,,,,,
