raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed
"Akbaritabar, A., Dańko, M. J., Zhao, X., & Zagheni, E. (2025). Global subnational estimates of migration of scientists reveal large disparities in internal and international flows. Proceedings of the National Academy of Sciences of the United States of America, 122(15), e2424521122. https://doi.org/10.1073/pnas.2424521122",journal_article,Global subnational estimates of migration of scientists reveal large disparities in internal and international flows,A. Akbaritabar | M. J. Dańko | X. Zhao | E. Zagheni,2025,Proceedings of the National Academy of Sciences of the United States of America,122,15,e2424521122,10.1073/pnas.2424521122,,,,,
"Akbaritabar, A., Theile, T., & Zagheni, E. (2024). Bilateral flows and rates of international migration of scholars for 210 countries for the period 1998-2020. Scientific Data, 11(1), 816. https://doi.org/10.1038/s41597-024-03655-9",journal_article,Bilateral flows and rates of international migration of scholars for 210 countries for the period 1998-2020,A. Akbaritabar | T. Theile | E. Zagheni,2024,Scientific Data,11,1,816,10.1038/s41597-024-03655-9,,,,,
"Alperin, J. P., Portenoy, J., Demes, K., Larivière, V., & Haustein, S. (2024). An analysis of the suitability of OpenAlex for bibliometric analyses. arXiv. https://doi.org/10.48550/arXiv.2404.17663",working_paper,An analysis of the suitability of OpenAlex for bibliometric analyses,J. P. Alperin | J. Portenoy | K. Demes | V. Larivière | S. Haustein,2024,arXiv,,2404.17663,,10.48550/arXiv.2404.17663,,,,,
"Chinchilla-Rodríguez, Z., Miao, L., Murray, D., Robinson-García, N., Costas, R., & Sugimoto, C. R. (2018). A global comparison of scientific mobility and collaboration according to national scientific capacities. Frontiers in Research Metrics and Analytics, 3, 17. https://doi.org/10.3389/frma.2018.00017",journal_article,A global comparison of scientific mobility and collaboration according to national scientific capacities,Z. Chinchilla-Rodríguez | L. Miao | D. Murray | N. Robinson-García | R. Costas | C. R. Sugimoto,2018,Frontiers in Research Metrics and Analytics,3,,17,10.3389/frma.2018.00017,,,,,
"Culbert, J. H., Hobert, A., Jahn, N., Haupka, N., Schmidt, M., Donner, P., & Mayr, P. (2025). Reference coverage analysis of OpenAlex compared to Web of Science and Scopus. Scientometrics, 130(4), 2475-2492. https://doi.org/10.1007/s11192-025-05293-3",journal_article,Reference coverage analysis of OpenAlex compared to Web of Science and Scopus,J. H. Culbert | A. Hobert | N. Jahn | N. Haupka | M. Schmidt | P. Donner | P. Mayr,2025,Scientometrics,130,4,2475-2492,10.1007/s11192-025-05293-3,,,,,
"D’Angelo, C. A., & van Eck, N. J. (2020). Collecting large-scale publication data at the level of individual researchers: A practical proposal for author name disambiguation. Scientometrics, 123(2), 883-907. https://doi.org/10.1007/s11192-020-03410-y",journal_article,Collecting large-scale publication data at the level of individual researchers: A practical proposal for author name disambiguation,C. A. D’Angelo | N. J. van Eck,2020,Scientometrics,123,2,883-907,10.1007/s11192-020-03410-y,,,,,
"Donner, P. (2024). Data inaccuracy quantification and uncertainty propagation for bibliometric indicators. Research Evaluation, 33, rvae047. https://doi.org/10.1093/reseval/rvae047",journal_article,Data inaccuracy quantification and uncertainty propagation for bibliometric indicators,P. Donner,2024,Research Evaluation,33,,rvae047,10.1093/reseval/rvae047,,,,,
"Donner, P., Rimmert, C., & van Eck, N. J. (2020). Comparing institutional-level bibliometric research performance indicator values based on different affiliation disambiguation systems. Quantitative Science Studies, 1(1), 150-170. https://doi.org/10.1162/qss_a_00013",journal_article,Comparing institutional-level bibliometric research performance indicator values based on different affiliation disambiguation systems,P. Donner | C. Rimmert | N. J. van Eck,2020,Quantitative Science Studies,1,1,150-170,10.1162/qss_a_00013,,,,,
"Edler, J., Fier, H., & Grimpe, C. (2011). International scientist mobility and the locus of knowledge and technology transfer. Research Policy, 40(6), 791-805. https://doi.org/10.1016/j.respol.2011.03.003",journal_article,International scientist mobility and the locus of knowledge and technology transfer,J. Edler | H. Fier | C. Grimpe,2011,Research Policy,40,6,791-805,10.1016/j.respol.2011.03.003,,,,,
"Elsevier. (2023). Elsevier Scopus APIs: Getting started guide (version 1). Elsevier. Retrieved August 2025, from https://dev.elsevier.com/guides/Scopus",web,Elsevier Scopus APIs: Getting started guide (version 1),Elsevier,2023,,,,,,,,Elsevier,https://dev.elsevier.com/guides/Scopus,August 2025
"Fontes, M. (2007). Scientific mobility policies: How Portuguese scientists envisage the return home. Science and Public Policy, 34(4), 284-298. https://doi.org/10.3152/030234207X214750",journal_article,Scientific mobility policies: How Portuguese scientists envisage the return home,M. Fontes,2007,Science and Public Policy,34,4,284-298,10.3152/030234207X214750,,,,,
